form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00859553,500719147,,,ORG,ActBlue Technical Services,,,,,,366 Summer St,,Somerville,MA,021443132,,,2024-10-20,4656.64,0.00,Credit Card Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00859553,500724135,,,ORG,ActBlue Technical Services,,,,,,366 Summer St,,Somerville,MA,021443132,,,2024-10-27,11213.60,0.00,Credit Card Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00859553,500725904,,,ORG,ActBlue Technical Services,,,,,,366 Summer St,,Somerville,MA,021443132,,,2024-10-30,197.80,0.00,Credit Card Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00859553,500725905,,,ORG,ActBlue Technical Services,,,,,,366 Summer St,,Somerville,MA,021443132,,,2024-10-31,1273.25,0.00,Credit Card Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00859553,500725906,,,ORG,ActBlue Technical Services,,,,,,366 Summer St,,Somerville,MA,021443132,,,2024-11-03,1645.88,0.00,Credit Card Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00859553,500726872,,,ORG,ActBlue Technical Services,,,,,,366 Summer St,,Somerville,MA,021443132,,,2024-11-05,333.95,0.00,Credit Card Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00859553,500728551,,,ORG,ActBlue Technical Services,,,,,,366 Summer St,,Somerville,MA,021443132,,,2024-11-12,98.75,0.00,Credit Card Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00859553,500728552,,,ORG,ActBlue Technical Services,,,,,,366 Summer St,,Somerville,MA,021443132,,,2024-11-17,4.95,0.00,Credit Card Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00859553,500731284,,,ORG,ActBlue Technical Services,,,,,,366 Summer St,,Somerville,MA,021443132,,,2024-11-24,1.98,0.00,Credit Card Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00859553,500731279,,,CCM,ALSOBROOKS FOR SENATE,,,,,,1101 Mercantile Ln,Ste 100,Upper Marlboro,MD,207745360,G2024,,2024-11-20,7785.50,0.00,Staff Allocations,,C00840017,,,ALSOBROOKS,ANGELA,,,,S,MD,00,,,,,,,,
SB21B,C00859553,500725914,,,ORG,Amalgamated Bank,,,,,,1825 K St NW,,Washington,DC,200061202,,,2024-10-25,475.25,0.00,Bank Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00859553,500731281,,,ORG,Campaign Finance Consultants Inc,,,,,,750 1St St NE,Ste 1070,Washington,DC,200028008,,,2024-10-20,25000.00,0.00,Fundraising Consulting,,,,,,,,,,,,,,,,,,,,
SB21B,C00859553,500724133,,,ORG,Checkerspot,,,,,,1421 Ridgely St,,Baltimore,MD,212302011,,,2024-10-23,848.54,0.00,Catering,,,,,,,,,,,,,,,,,,,,
SB21B,C00859553,500725898,,,IND,,Cooper,Daniel,,,,1101 Mercantile Ln,Ste 100,Upper Marlboro,MD,207745360,,,2024-10-30,332.32,0.00,Catering,,,,,,,,,,,,,,,,,,,,
SB21B,C00859553,500724136,,,ORG,Democracy Engine LLC,,,,,,2125 14Th St NW,Apt 101W,Washington,DC,200094497,,,2024-10-28,2.27,0.00,Credit Card Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00859553,500726873,,,ORG,Martin's Catering,,,,,,7400 Greenway Center Dr,,Greenbelt,MD,207703503,,,2024-11-05,2918.43,0.00,Catering,,,,,,,,,,,,,,,,,,,,
SB21B,C00859553,500728553,,,ORG,"Rice Consulting, LLC",,,,,,17 W Courtland St,Ste 210,Bel Air,MD,210143737,,,2024-11-14,8000.00,0.00,Fundraising Consulting,,,,,,,,,,,,,,,,,,,,
SB21B,C00859553,500725917,,,ORG,Von Nida Consulting LLC,,,,,,1349 Jefferson Ave,Apt 3,Brooklyn,NY,112215312,,,2024-11-04,7500.00,0.00,Consulting,,,,,,,,,,,,,,,,,,,,
