form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00011114,500031467,,,ORG,Amalgamated Bank Loans,,,,,,275 7th Street,,New York,NY,100016708,,,2024-11-05,30333.33,0.00,Interest Payment,001,,,,,,,,,,,,,,,,,,,
SB21B,C00011114,500031491,,,ORG,Shopify Inc.,,,,,,33 New Montgomery St,Ste 750,San Francisco,CA,941054537,,,2024-10-21,5.76,0.00,merchant service charge,,,,,,,,,,,,,,,,,,,,
SB21B,C00011114,500031614,,,ORG,Shopify Inc.,,,,,,33 New Montgomery St,Ste 750,San Francisco,CA,941054537,,,2024-10-28,157.37,0.00,merchant service charge,,,,,,,,,,,,,,,,,,,,
SB21B,C00011114,500031492,,,ORG,Shopify Inc.,,,,,,33 New Montgomery St,Ste 750,San Francisco,CA,941054537,,,2024-11-04,20.31,0.00,merchant service charge,,,,,,,,,,,,,,,,,,,,
SB21B,C00011114,500031583,,,ORG,Shopify Inc.,,,,,,33 New Montgomery St,Ste 750,San Francisco,CA,941054537,,,2024-11-12,19.12,0.00,merchant service charge,,,,,,,,,,,,,,,,,,,,
SB21B,C00011114,500031584,,,ORG,Shopify Inc.,,,,,,33 New Montgomery St,Ste 750,San Francisco,CA,941054537,,,2024-11-18,0.52,0.00,merchant service charge,,,,,,,,,,,,,,,,,,,,
SB21B,C00011114,500031585,,,ORG,Shopify Inc.,,,,,,33 New Montgomery St,Ste 750,San Francisco,CA,941054537,,,2024-11-25,6.69,0.00,merchant service charge,,,,,,,,,,,,,,,,,,,,
SB21B,C00011114,500031478,,,ORG,"Square, Inc.",,,,,,1455 Market St,Ste 600,San Francisco,CA,941031332,,,2024-10-25,2.48,0.00,merchant service charge,,,,,,,,,,,,,,,,,,,,
SB21B,C00011114,500031493,,,ORG,"Stripe, Inc.",,,,,,354 Oyster Point Blvd,,South San Francisco,CA,940801912,,,2024-10-17,55.78,0.00,Service Charge,001,,,,,,,,,,,,,,,,,,,
SB21B,C00011114,500031494,,,ORG,"Stripe, Inc.",,,,,,354 Oyster Point Blvd,,South San Francisco,CA,940801912,,,2024-10-18,9.11,0.00,Service Charge,001,,,,,,,,,,,,,,,,,,,
SB21B,C00011114,500031495,,,ORG,"Stripe, Inc.",,,,,,354 Oyster Point Blvd,,South San Francisco,CA,940801912,,,2024-10-21,8.32,0.00,Service Charge,001,,,,,,,,,,,,,,,,,,,
