form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB29,C00648808,500035712,,,ORG,Alexandria Strategies,,,,,,301 Springfield Ave,,Hudson,IA,506439704,,,2024-10-01,7500.00,0.00,Fundraising Consultant,,,,,,,,,,,,,,,,,,,,Non-Contribution Account
SB29,C00648808,500035711,,,ORG,Facebook Inc.,,,,,,1 Hacker Way,,Menlo Park,CA,940251456,,,2024-10-01,24.00,0.00,Digital Ads,,,,,,,,,,,,,,,,,,,,Non-Contribution Account
SB29,C00648808,500035883,,,ORG,Wix.Com,,,,,,235 W 23Rd St,,New York,NY,100112371,,,2024-10-01,40.21,0.00,Web Hosting,,,,,,,,,,,,,,,,,,,,Non-Contribution Account
SB29,C00648808,500035713,,,ORG,Facebook Inc.,,,,,,1 Hacker Way,,Menlo Park,CA,940251456,,,2024-10-02,30.00,0.00,Digital Ads,,,,,,,,,,,,,,,,,,,,Non-Contribution Account
SB29,C00648808,500035714,,,ORG,Facebook Inc.,,,,,,1 Hacker Way,,Menlo Park,CA,940251456,,,2024-10-02,27.00,0.00,Digital Ads,,,,,,,,,,,,,,,,,,,,Non-Contribution Account
SB29,C00648808,500035715,,,ORG,Paragon Payment Solutions,,,,,,2141 E Broadway Rd,Ste 202,Tempe,AZ,852821895,,,2024-10-02,1670.56,0.00,Merchant Fees,,,,,,,,,,,,,,,,,,,,Non-Contribution Account
SB29,C00648808,500035716,,,ORG,Facebook Inc.,,,,,,1 Hacker Way,,Menlo Park,CA,940251456,,,2024-10-03,33.00,0.00,Digital Ads,,,,,,,,,,,,,,,,,,,,Non-Contribution Account
SB29,C00648808,500035718,,,ORG,Facebook Inc.,,,,,,1 Hacker Way,,Menlo Park,CA,940251456,,,2024-10-04,37.00,0.00,Digital Ads,,,,,,,,,,,,,,,,,,,,Non-Contribution Account
SB29,C00648808,500035717,,,ORG,Paragon Payment Solutions,,,,,,2141 E Broadway Rd,Ste 202,Tempe,AZ,852821895,,,2024-10-04,163.64,0.00,Merchant Fees,,,,,,,,,,,,,,,,,,,,Non-Contribution Account
SB29,C00648808,500035721,,,ORG,Facebook Inc.,,,,,,1 Hacker Way,,Menlo Park,CA,940251456,,,2024-10-07,46.00,0.00,Digital Ads,,,,,,,,,,,,,,,,,,,,Non-Contribution Account
SB29,C00648808,500035723,,,ORG,Facebook Inc.,,,,,,1 Hacker Way,,Menlo Park,CA,940251456,,,2024-10-07,41.00,0.00,Digital Ads,,,,,,,,,,,,,,,,,,,,Non-Contribution Account
