form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00761064,500079140,,,ORG,Global Wordsmiths,,,,,,6587 Hamilton Ave,# 1,Pittsburgh,PA,152064147,,,2023-12-07,675.24,0.00,Translation Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00761064,500079150,,,ORG,Amalgamated Bank,,,,,,1875 K St NW,,Washington,DC,200061238,,,2023-11-29,151.45,0.00,Bank Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00761064,500079160,,,ORG,"Spruce Street Consulting, LLC",,,,,,PO Box 22611,,Philadelphia,PA,191102611,,,2023-12-28,4568.04,0.00,Compliance Consulting,,,,,,,,,,,,,,,,,,,,
SB21B,C00761064,500079170,,,ORG,ActBlue Technical Services,,,,,,366 Summer St,,Somerville,MA,021443132,,,2023-10-09,571.37,0.00,Credit Card Processing Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00761064,500079151,,,ORG,Amalgamated Bank,,,,,,1875 K St NW,,Washington,DC,200061238,,,2023-12-29,90.50,0.00,Bank Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00761064,500079161,,,ORG,"Spruce Street Consulting, LLC",,,,,,PO Box 22611,,Philadelphia,PA,191102611,,,2023-09-27,4568.04,0.00,Compliance Consulting,,,,,,,,,,,,,,,,,,,,
SB21B,C00761064,500079171,,,ORG,ActBlue Technical Services,,,,,,366 Summer St,,Somerville,MA,021443132,,,2023-10-16,10.28,0.00,Credit Card Processing Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00761064,500079152,,,ORG,Amalgamated Bank,,,,,,1875 K St NW,,Washington,DC,200061238,,,2023-12-07,15.00,0.00,Check Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00761064,500079162,,,ORG,ActBlue Technical Services,,,,,,366 Summer St,,Somerville,MA,021443132,,,2023-07-03,79.00,0.00,Credit Card Processing Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00761064,500079172,,,ORG,ActBlue Technical Services,,,,,,366 Summer St,,Somerville,MA,021443132,,,2023-11-01,79.00,0.00,Credit Card Processing Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00761064,500079153,,,ORG,"EveryAction, Inc.",,,,,,655 15th St NW,Ste 650,Washington,DC,200055701,,,2023-11-03,324.00,0.00,Database Software,,,,,,,,,,,,,,,,,,,,
SB21B,C00761064,500079163,,,ORG,ActBlue Technical Services,,,,,,366 Summer St,,Somerville,MA,021443132,,,2023-07-17,0.40,0.00,Credit Card Processing Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00761064,500079173,,,ORG,ActBlue Technical Services,,,,,,366 Summer St,,Somerville,MA,021443132,,,2023-11-06,25.53,0.00,Credit Card Processing Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00761064,500079144,,,ORG,Scale to Win,,,,,,13742 Harper St,,Santa Ana,CA,927031419,,,2023-12-11,975.74,0.00,Phonebanking,,,,,,,,,,,,,,,,,,,,
SB21B,C00761064,500079154,,,ORG,"EveryAction, Inc.",,,,,,655 15th St NW,Ste 650,Washington,DC,200055701,,,2023-12-28,324.00,0.00,Database Software,,,,,,,,,,,,,,,,,,,,
SB21B,C00761064,500079164,,,ORG,ActBlue Technical Services,,,,,,366 Summer St,,Somerville,MA,021443132,,,2023-08-21,0.40,0.00,Credit Card Processing Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00761064,500079174,,,ORG,ActBlue Technical Services,,,,,,366 Summer St,,Somerville,MA,021443132,,,2023-11-13,7.53,0.00,Credit Card Processing Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00761064,500079155,,,ORG,"Spruce Street Consulting, LLC",,,,,,PO Box 22611,,Philadelphia,PA,191102611,,,2023-08-02,3593.01,0.00,Compliance Consulting,,,,,,,,,,,,,,,,,,,,
SB21B,C00761064,500079165,,,ORG,ActBlue Technical Services,,,,,,366 Summer St,,Somerville,MA,021443132,,,2023-09-07,79.00,0.00,Credit Card Processing Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00761064,500079175,,,ORG,ActBlue Technical Services,,,,,,366 Summer St,,Somerville,MA,021443132,,,2023-11-20,0.40,0.00,Credit Card Processing Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00761064,500079236,,,ORG,Asian Pacific Islander Political Alliance,,,,,,PO Box 22611,,Philadelphia,PA,191102611,,,2023-11-27,5475.47,0.00,Staff Time and Overhead,,,,,,,,,,,,,,,,,,,,
SB21B,C00761064,500079146,,,ORG,Amalgamated Bank,,,,,,1875 K St NW,,Washington,DC,200061238,,,2023-07-26,51.50,0.00,Bank Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00761064,500079156,,,ORG,"Spruce Street Consulting, LLC",,,,,,PO Box 22611,,Philadelphia,PA,191102611,,,2023-08-23,4564.26,0.00,Compliance Consulting,,,,,,,,,,,,,,,,,,,,
SB21B,C00761064,500079166,,,ORG,ActBlue Technical Services,,,,,,366 Summer St,,Somerville,MA,021443132,,,2023-09-18,1.39,0.00,Credit Card Processing Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00761064,500079176,,,ORG,ActBlue Technical Services,,,,,,366 Summer St,,Somerville,MA,021443132,,,2023-12-01,79.00,0.00,Credit Card Processing Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00761064,500079147,,,ORG,Amalgamated Bank,,,,,,1875 K St NW,,Washington,DC,200061238,,,2023-08-21,65.00,0.00,Bank Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00761064,500079157,,,ORG,"Spruce Street Consulting, LLC",,,,,,PO Box 22611,,Philadelphia,PA,191102611,,,2023-10-30,4568.04,0.00,Compliance Consulting,,,,,,,,,,,,,,,,,,,,
SB21B,C00761064,500079167,,,ORG,ActBlue Technical Services,,,,,,366 Summer St,,Somerville,MA,021443132,,,2023-09-25,21.73,0.00,Credit Card Processing Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00761064,500079177,,,ORG,ActBlue Technical Services,,,,,,366 Summer St,,Somerville,MA,021443132,,,2023-12-18,0.40,0.00,Credit Card Processing Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00761064,500079148,,,ORG,Amalgamated Bank,,,,,,1875 K St NW,,Washington,DC,200061238,,,2023-09-27,35.50,0.00,Bank Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00761064,500079158,,,ORG,"Spruce Street Consulting, LLC",,,,,,PO Box 22611,,Philadelphia,PA,191102611,,,2023-11-27,4573.39,0.00,Compliance Consulting,,,,,,,,,,,,,,,,,,,,
SB21B,C00761064,500079168,,,ORG,ActBlue Technical Services,,,,,,366 Summer St,,Somerville,MA,021443132,,,2023-10-02,267.69,0.00,Credit Card Processing Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00761064,500079178,,,ORG,ActBlue Technical Services,,,,,,366 Summer St,,Somerville,MA,021443132,,,2023-07-31,79.00,0.00,Credit Card Processing Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00761064,500079149,,,ORG,Amalgamated Bank,,,,,,1875 K St NW,,Washington,DC,200061238,,,2023-10-27,85.00,0.00,Bank Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00761064,500079159,,,ORG,"Spruce Street Consulting, LLC",,,,,,PO Box 22611,,Philadelphia,PA,191102611,,,2023-11-30,6000.00,0.00,Compliance Consulting,,,,,,,,,,,,,,,,,,,,
SB21B,C00761064,500079169,,,ORG,ActBlue Technical Services,,,,,,366 Summer St,,Somerville,MA,021443132,,,2023-10-02,31.61,0.00,Credit Card Processing Fees,,,,,,,,,,,,,,,,,,,,
