form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00886093,500113444,,,ORG,Amazon,,,,,,410 Terry Ave N,,Seattle,WA,981095210,G2024,,2024-09-23,408.67,0.00,"Supplies (Balls, Ball Pump, Basketballs, Portable Basket Ball Hoop) for U of M Campus Event.",001,,,,,,,,,,,,,,,,,,,
SB21B,C00886093,500113441,,,ORG,Amazon,,,,,,410 Terry Ave N,,Seattle,WA,981095210,G2024,,2024-09-27,78.28,0.00,"Supply Items (Ponchos, Tarps, Pie Pans) for U Of M Campus Event",001,,,,,,,,,,,,,,,,,,,
SB21B,C00886093,500098129,,,ORG,American Airlines,,,,,,PO Box 619616,,Dallas,TX,752619616,G2024,,2024-09-23,504.69,0.00,Airfare for Staff Training,002,,,,,,,,,,,,,,,,,,,
SB21B,C00886093,500113442,,,ORG,Bakehouse 46 Ann Arbor,,,,,,116 E Liberty St,,Ann Arbor,MI,481042110,G2024,,2024-09-26,300.00,0.00,Food for U of M Event,001,,,,,,,,,,,,,,,,,,,
SB21B,C00886093,500098133,,,ORG,Delta Airelines,,,,,,1030 Delta Blvd,,Atlanta,GA,303541989,G2024,,2024-09-23,527.95,0.00,Airfare for Staff Training,002,,,,,,,,,,,,,,,,,,,
SB21B,C00886093,5313612I,5313612,SA11AI,ORG,For Michigan,,,,,,4158 Washtenaw Ave,,Ann Arbor,MI,481081004,G2024,,2024-08-15,9206.65,0.00,Consulting - Leadership,,,,,,,,,,,,,,,,,,,,* In-Kind Received
SB21B,C00886093,5313613I,5313613,SA11AI,ORG,For Michigan,,,,,,4158 Washtenaw Ave,,Ann Arbor,MI,481081004,G2024,,2024-08-15,7078.96,0.00,Consulting - Organizing,,,,,,,,,,,,,,,,,,,,* In-Kind Received
SB21B,C00886093,5313620I,5313620,SA11AI,ORG,For Michigan,,,,,,4158 Washtenaw Ave,,Ann Arbor,MI,481081004,G2024,,2024-08-30,8209.47,0.00,Consulting - Leadership,,,,,,,,,,,,,,,,,,,,* In-Kind Received
SB21B,C00886093,5313623I,5313623,SA11AI,ORG,For Michigan,,,,,,4158 Washtenaw Ave,,Ann Arbor,MI,481081004,G2024,,2024-08-30,10889.75,0.00,Consulting - Organizing,,,,,,,,,,,,,,,,,,,,* In-Kind Received
SB21B,C00886093,5644138I,5644138,SA11AI,ORG,For Michigan,,,,,,4158 Washtenaw Ave,,Ann Arbor,MI,481081004,G2024,,2024-09-12,6750.00,0.00,Consulting Services - Voter Registration,,,,,,,,,,,,,,,,,,,,* In-Kind Received
SB21B,C00886093,5313624I,5313624,SA11AI,ORG,For Michigan,,,,,,4158 Washtenaw Ave,,Ann Arbor,MI,481081004,G2024,,2024-09-15,9520.36,0.00,Consulting - Leadership,,,,,,,,,,,,,,,,,,,,* In-Kind Received
SB21B,C00886093,5313630I,5313630,SA11AI,ORG,For Michigan,,,,,,4158 Washtenaw Ave,,Ann Arbor,MI,481081004,G2024,,2024-09-15,11523.89,0.00,Consulting - Organizing,,,,,,,,,,,,,,,,,,,,* In-Kind Received
SB21B,C00886093,5644265I,5644265,SA11AI,ORG,For Michigan,,,,,,4158 Washtenaw Ave,,Ann Arbor,MI,481081004,G2024,,2024-09-20,5250.00,0.00,Consulting Services - Voter Registration,,,,,,,,,,,,,,,,,,,,* In-Kind Received
SB21B,C00886093,5644283I,5644283,SA11AI,ORG,For Michigan,,,,,,4158 Washtenaw Ave,,Ann Arbor,MI,481081004,G2024,,2024-09-27,29750.00,0.00,Consulting Services - Voter Registration,,,,,,,,,,,,,,,,,,,,* In-Kind Received
SB21B,C00886093,5313640I,5313640,SA11AI,ORG,For Michigan,,,,,,4158 Washtenaw Ave,,Ann Arbor,MI,481081004,G2024,,2024-09-30,12393.58,0.00,Consulting - Leadership,,,,,,,,,,,,,,,,,,,,* In-Kind Received
