form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB29,C00540443,500026838,,,ORG,"AB Data, Ltd.",,,,,,PO Box 170062,,Milwaukee,WI,532178000,,,2024-11-22,7152.00,0.00,Direct Marketing,,,,,,,,,,,,,,,,,,,,Non-Contributon Account
SB29,C00540443,500026848,,,ORG,ActBlue Technical Services,,,,,,366 Summer St,,Somerville,MA,021443132,,,2024-10-21,1156.92,0.00,Credit Card Processing Fees,,,,,,,,,,,,,,,,,,,,Non-Contributon Account
SB29,C00540443,500026849,,,ORG,ActBlue Technical Services,,,,,,366 Summer St,,Somerville,MA,021443132,,,2024-10-28,3022.60,0.00,Credit Card Processing Fees,,,,,,,,,,,,,,,,,,,,Non-Contributon Account
SB29,C00540443,500026850,,,ORG,ActBlue Technical Services,,,,,,366 Summer St,,Somerville,MA,021443132,,,2024-10-31,2350.92,0.00,Credit Card Processing Fees,,,,,,,,,,,,,,,,,,,,Non-Contributon Account
SB29,C00540443,500026851,,,ORG,ActBlue Technical Services,,,,,,366 Summer St,,Somerville,MA,021443132,,,2024-11-04,858.04,0.00,Credit Card Processing Fees,,,,,,,,,,,,,,,,,,,,Non-Contributon Account
SB29,C00540443,500026852,,,ORG,ActBlue Technical Services,,,,,,366 Summer St,,Somerville,MA,021443132,,,2024-11-05,335.71,0.00,Credit Card Processing Fees,,,,,,,,,,,,,,,,,,,,Non-Contributon Account
SB29,C00540443,500026857,,,ORG,ActBlue Technical Services,,,,,,366 Summer St,,Somerville,MA,021443132,,,2024-11-06,38978.76,0.00,Credit Card Processing Fees,,,,,,,,,,,,,,,,,,,,Non-Contributon Account
SB29,C00540443,500026853,,,ORG,ActBlue Technical Services,,,,,,366 Summer St,,Somerville,MA,021443132,,,2024-11-12,1255.92,0.00,Credit Card Processing Fees,,,,,,,,,,,,,,,,,,,,Non-Contributon Account
SB29,C00540443,500026854,,,ORG,ActBlue Technical Services,,,,,,366 Summer St,,Somerville,MA,021443132,,,2024-11-18,1241.67,0.00,Credit Card Processing Fees,,,,,,,,,,,,,,,,,,,,Non-Contributon Account
SB29,C00540443,500026855,,,ORG,ActBlue Technical Services,,,,,,366 Summer St,,Somerville,MA,021443132,,,2024-11-25,863.36,0.00,Credit Card Processing Fees,,,,,,,,,,,,,,,,,,,,Non-Contributon Account
SB29,C00540443,500026856,,,ORG,ActBlue Technical Services,,,,,,366 Summer St,,Somerville,MA,021443132,,,2024-11-25,327.92,0.00,Credit Card Processing Fees,,,,,,,,,,,,,,,,,,,,Non-Contributon Account
