form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00011114,500031514,,,ORG,Amalgamated Bank Loans,,,,,,275 7th Street,,New York,NY,100016708,,,2024-12-05,22677.08,0.00,Interest Payment,001,,,,,,,,,,,,,,,,,,,
SB21B,C00011114,500031613,,,ORG,"AMERICAN FEDERATION OF STATE, COUNTY AND MUNICIPAL EMPLOYEES",,,,,,1625 L St NW,,Washington,DC,200365665,O2024,2024,2024-12-04,245.50,0.00,PEOPLE Store Merchandise - June 2024,001,,,,,,,,,,,,,,,,,,,
SB21B,C00011114,500031751,,,ORG,Shopify Inc.,,,,,,33 New Montgomery St,Ste 750,San Francisco,CA,941054537,,,2024-12-02,8.63,0.00,merchant service charge,,,,,,,,,,,,,,,,,,,,
SB21B,C00011114,500031752,,,ORG,Shopify Inc.,,,,,,33 New Montgomery St,Ste 750,San Francisco,CA,941054537,,,2024-12-09,2.57,0.00,merchant service charge,,,,,,,,,,,,,,,,,,,,
SB21B,C00011114,500032160,,,ORG,Shopify Inc.,,,,,,33 New Montgomery St,Ste 750,San Francisco,CA,941054537,,,2024-12-16,3.60,0.00,merchant service charge,,,,,,,,,,,,,,,,,,,,
SB21B,C00011114,500031753,,,ORG,Shopify Inc.,,,,,,33 New Montgomery St,Ste 750,San Francisco,CA,941054537,,,2024-12-30,4.52,0.00,merchant service charge,,,,,,,,,,,,,,,,,,,,
SB21B,C00011114,500031743,,,ORG,"Square, Inc.",,,,,,1455 Market St,Ste 600,San Francisco,CA,941031332,,,2024-12-09,2.95,0.00,merchant service charge,,,,,,,,,,,,,,,,,,,,
SB21B,C00011114,500032161,,,ORG,"Stripe, Inc.",,,,,,354 Oyster Point Blvd,,South San Francisco,CA,940801912,,,2024-11-26,20.75,0.00,Service Charge,001,,,,,,,,,,,,,,,,,,,
SB21B,C00011114,500032162,,,ORG,"Stripe, Inc.",,,,,,354 Oyster Point Blvd,,South San Francisco,CA,940801912,,,2024-11-27,21.66,0.00,Service Charge,001,,,,,,,,,,,,,,,,,,,
SB21B,C00011114,500032163,,,ORG,"Stripe, Inc.",,,,,,354 Oyster Point Blvd,,South San Francisco,CA,940801912,,,2024-11-29,3.55,0.00,Service Charge,001,,,,,,,,,,,,,,,,,,,
SB21B,C00011114,500032164,,,ORG,"Stripe, Inc.",,,,,,354 Oyster Point Blvd,,South San Francisco,CA,940801912,,,2024-12-02,7.64,0.00,Service Charge,001,,,,,,,,,,,,,,,,,,,
