form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00770214,SB21B.I30199,,,ORG,CMDI,,,,,,1593 SPRING HILL ROAD,SUITE 400,TYSONS CORNER,VA,22182,,,2024-12-05,6656.85,,COMPLIANCE SOFTWARE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00770214,SB21B.I29665,,,ORG,EMPRISE BANK,,,,,,257 N BROADWAY,,WICHITA,KS,67202,,,2024-11-29,20.00,,BANK FEE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00770214,SB21B.I30201,,,ORG,EMPRISE BANK,,,,,,257 N BROADWAY,,WICHITA,KS,67202,,,2024-12-09,64.00,,BANK FEE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00770214,SB21B.I30193,,,ORG,JONES DAY,,,,,,PO BOX 7805 ,BEN FRANKLIN STATION,WASHINGTON,DC,20044,,,2024-12-02,2475.00,,LEGAL CONSULTING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00770214,SB21B.I30197,,,ORG,"SOCKO STRATEGIES, LLC",,,,,,1101 30TH ST NW,STE 390,WASHINGTON,DC,20007,,,2024-12-02,1250.00,,FUNDRAISING CONSULTING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00770214,SB21B.I30194,,,ORG,TARGETED VICTORY LLC,,,,,,2311 WILSON BLVD,SUITE 200,ARLINGTON,VA,22201,,,2024-12-02,581506.06,,FUNDRAISING CONSULTING & ADVERTISING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00770214,SB21B.I30181,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2024-11-26,346.50,,CONDUIT TRANSACTION FEE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00770214,SB21B.I30182,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2024-11-27,328.68,,CONDUIT TRANSACTION FEE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00770214,SB21B.I30183,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2024-11-28,296.00,,CONDUIT TRANSACTION FEE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00770214,SB21B.I30184,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2024-11-29,379.63,,CONDUIT TRANSACTION FEE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00770214,SB21B.I30185,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2024-11-30,448.69,,CONDUIT TRANSACTION FEE,,,,,,,,,,,,,  ,,,,,,,
