form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB23,C00214148,SB23.11835,,,CAN,,BISHOP FOR CONGRESS,SANFORD D,,,Jr.,1909 DEVON DR,,ALBANY,GA,31707,P2024,,2023-03-15,5000.00,,Campaign Contribution,,,,H2GA02031,,,,,,H,GA,02,,,,,,,,
SB23,C00214148,SB23.11821,,,CCM,DAVID ROUZER FOR CONGRESS,,,,,,PO BOX 3142,,WILMINGTON,NC,28406,P2024,,2023-03-15,2500.00,,Campaign Contribution,,C00501643,,,,,,,,H,NC,,,,,,,,,
SB23,C00214148,SB23.11823,,,CCM,DAVID SCOTT FOR CONGRESS,,,,,,P.O. BOX 960821,,RIVERDALE,GA,30296,P2024,,2023-03-15,5000.00,,Campaign Contribution,,C00369801,,,,,,,,H,GA,13,,,,,,,,
SB23,C00214148,SB23.11826,,,CCM,FRIENDS OF GLENN THOMPSON,,,,,,400 N. MICHAEL STREET,,ST. MARYS,PA,15857,P2024,,2023-03-15,5000.00,,Campaign Contribution,,C00444620,,,,,,,,H,PA,15,,,,,,,,
SB23,C00214148,SB23.11820,,,CCM,JERRY CARL FOR CONGRESS,,,,,,PO BOX 852138,,MOBILE,AL,36685,P2024,,2023-02-10,2500.00,,Campaign Contribution,,C00697789,,,,,,,,H,AL,01,,,,,,,,
SB23,C00214148,SB23.11828,,,CCM,JOHN DUARTE FOR CONGRESS,,,,,,9460 TEGNER ROAD,,HILMAR,CA,95324,P2024,,2023-03-15,2500.00,,,,C00808279,,,,,,,,H,CA,,,,,,,,,
SB23,C00214148,SB23.11824,,,CCM,LUCAS FOR CONGRESS,,,,,,PO BOX 1726,,OKLAHOMA CITY,OK,73101,P2024,,2023-03-15,5000.00,,Campaign Contribution,,C00287912,,,,,,,,H,OK,03,,,,,,,,
SB23,C00214148,SB23.11831,,,CCM,MIKE ROGERS FOR CONGRESS,,,,,,123 EAST 13TH STREET,,ANNISTON,AL,36201,P2024,,2023-03-15,5000.00,,Campaign Contribution,,C00367862,,,,,,,,H,AL,03,,,,,,,,
SB23,C00214148,SB23.11850,,,CCM,People for Ben,,,,,,P.O. Box 25371,,Albuquerque,NM,87125,P2026,,2023-03-15,5000.00,,Campaign Contribution,,C00443689,,,,,,,,,,,,,,,,,,
SB23,C00214148,SB23.11832,,,PAC,SOUTHERN STATES PAC,,,,,,POST OFFICE BOX 905,,TUPELO,MS,38802,,,2023-03-08,1250.00,,PAC Contribution,,C00778308,,,,,,,,,,,,,,,,,,
SB23,C00214148,SB23.11853,,,CCM,WARNOCK FOR GEORGIA,,,,,,PO BOX 52227,,ATLANTA,GA,30355,,,2023-02-15,-5000.00,,Voided contribution form ck #1272 dated 11/28/22 which was returned,,C00736876,,,,,,,,S,GA,00,,,,,,,,
