form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB29,C00225342,SB29.8367,,,CCM,Abe Jones for NC House,,,,,,P.O. Box 326,,Raleigh,NC,21602,,,2024-04-25,-500.00,,Voided check #1002739; dated 12/15/23,,,,,,,,,,,,,,,,,,,,
SB29,C00225342,SB29.8449,,,CCM,Ana Hernandez Campaign,,,,,,P.O. Box 15538,,Houston,TX,77220,,,2024-04-18,500.00,,Non-federal contribution; TX House,,,,,,,,,,,,,,,,,,,,
SB29,C00225342,SB29.8413,,,CCM,Bauer for SC House,,,,,,4133 Pinehaven Court,,Columbia,SC,29205,,,2024-04-24,1000.00,,Non-federal contribution; SC House,,,,,,,,,,,,,,,,,,,,
SB29,C00225342,SB29.8434,,,CCM,Beth Bernstein for House,,,,,,1019 Assembly Street,,Columbia,SC,29201,,,2024-04-24,1000.00,,Non-federal contribution; SC House,,,,,,,,,,,,,,,,,,,,
SB29,C00225342,SB29.8430,,,CCM,Billy Garrett for SC Senate,,,,,,109 Oak Avenue,,Greenwood,SC,29646,,,2024-04-24,1000.00,,Non-federal contribution; SC Senate,,,,,,,,,,,,,,,,,,,,
SB29,C00225342,SB29.8438,,,CCM,Brewer for NC,,,,,,P.O. Box 806,,Rockingham,NC,28380,,,2024-04-24,1000.00,,Non-federal contribution; SC House,,,,,,,,,,,,,,,,,,,,
SB29,C00225342,SB29.8424,,,CCM,Brian Lawson for SC House,,,,,,P.O. Box 189,,Chesnee,SC,29323,,,2024-04-24,1000.00,,Non-federal contribution; SC House,,,,,,,,,,,,,,,,,,,,
SB29,C00225342,SB29.8436,,,CCM,Cal Forrest Campaign,,,,,,P.O. Box 182,,Monetta,SC,29105,,,2024-04-24,1000.00,,Non-federal contribution; SC House,,,,,,,,,,,,,,,,,,,,
SB29,C00225342,SB29.8445,,,CCM,Carla Schuessler for SC House,,,,,,1229 38th Avenue N PMB 392,,Myrtle Beach,SC,29577,,,2024-04-24,1000.00,,Non-federal contribution; SC House,,,,,,,,,,,,,,,,,,,,
SB29,C00225342,SB29.8397,,,CCM,Citizens for Destin Hall,,,,,,606 College Avenue SW,Suite B,Lenoir,NC,28645,,,2024-04-17,6400.00,,Non-federal contribution; NC House,,,,,,,,,,,,,,,,,,,,
SB29,C00225342,SB29.8390,,,CCM,Citizens for Karina Villa,,,,,,P.O. Box 457,,West Chicago,IL,60186,,,2024-04-30,250.00,,Non-federal contribution; IL Senate,,,,,,,,,,,,,,,,,,,,
