form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00757419,500034100,,,ORG,Numero,,,,,,200 Spectrum Center Dr,Ste 300,Irvine,CA,926185004,,,2024-09-03,1000.00,0.00,Software,,,,,,,,,,,,,,,,,,,,
SB21B,C00757419,500035040,,,ORG,Mothership Strategies,,,,,,2121 Ward Pl NW,Fl 3,Washington,DC,200371213,,,2024-09-26,17999.08,0.00,Text Messaging Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00757419,500035050,,,ORG,ActBlue Technical Services,,,,,,366 Summer St,,Somerville,MA,021443132,,,2024-09-24,1218.81,0.00,Merchant Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00757419,500035060,,,ORG,ActBlue Technical Services,,,,,,366 Summer St,,Somerville,MA,021443132,,,2024-09-23,100.00,0.00,Contribution Refund,,,,,,,,,,,,,,,,,,,,
SB21B,C00757419,500035070,,,ORG,Bank Of America,,,,,,201 Pennsylvania Ave SE,,Washington,DC,200031107,,,2024-09-23,5.00,0.00,Bank Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00757419,500034101,,,ORG,Google,,,,,,1600 Amphitheatre Pkwy,,Mountain View,CA,940431351,,,2024-09-03,91.50,0.00,Software,,,,,,,,,,,,,,,,,,,,
SB21B,C00757419,500035041,,,ORG,Mothership Strategies,,,,,,2121 Ward Pl NW,Fl 3,Washington,DC,200371213,,,2024-09-26,50000.00,0.00,Text Messaging Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00757419,500035051,,,ORG,ActBlue Technical Services,,,,,,366 Summer St,,Somerville,MA,021443132,,,2024-09-25,534.54,0.00,Merchant Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00757419,500035061,,,ORG,ActBlue Technical Services,,,,,,366 Summer St,,Somerville,MA,021443132,,,2024-09-24,435.38,0.00,Contribution Refund,,,,,,,,,,,,,,,,,,,,
SB21B,C00757419,500035071,,,ORG,Bank Of America,,,,,,201 Pennsylvania Ave SE,,Washington,DC,200031107,,,2024-09-27,5.00,0.00,Bank Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00757419,500034081,,,ORG,ActBlue Technical Services,,,,,,366 Summer St,,Somerville,MA,021443132,,,2024-09-01,355.81,0.00,Merchant Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00757419,500035042,,,ORG,Mothership Strategies,,,,,,2121 Ward Pl NW,Fl 3,Washington,DC,200371213,,,2024-09-26,50000.00,0.00,Text Messaging Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00757419,500035052,,,ORG,ActBlue Technical Services,,,,,,366 Summer St,,Somerville,MA,021443132,,,2024-09-26,729.47,0.00,Merchant Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00757419,500035062,,,ORG,ActBlue Technical Services,,,,,,366 Summer St,,Somerville,MA,021443132,,,2024-09-25,421.14,0.00,Contribution Refund,,,,,,,,,,,,,,,,,,,,
SB21B,C00757419,500035072,,,ORG,Bank Of America,,,,,,201 Pennsylvania Ave SE,,Washington,DC,200031107,,,2024-09-27,5.00,0.00,Bank Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00757419,500034082,,,ORG,ActBlue Technical Services,,,,,,366 Summer St,,Somerville,MA,021443132,,,2024-09-01,0.40,0.00,Merchant Fee,,,,,,,,,,,,,,,,,,,,
