form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00676247,SB21B.8808,,,ORG,"Anedot, Inc.",,,,,,4017 Buena Vista St,#109,Dallas,TX,75204,,,2024-12-31,149.06,,CC Processing,,,,,,,,,,,,,,,,,,,,
SB21B,C00676247,SB21B.8807,,,ORG,Chick-fil-A,,,,,,5200 Buffington Road,,Atlanta,GA,30349,,,2024-11-29,121.37,,Food/Beverage,,,,,,,,,,,,,,,,,,,,
SB21B,C00676247,SB21B.8788,,,ORG,Chick-fil-A,,,,,,5200 Buffington Road,,Atlanta,GA,30349,,,2024-12-05,147.87,,Food/Beverage,,,,,,,,,,,,,,,,,,,,
SB21B,C00676247,SB21B.8790,,,ORG,Constant Contact,,,,,,1601 Trapelo Rd,,Waltham,MA,02451,,,2024-12-11,460.00,,E-mail Service,,,,,,,,,,,,,,,,,,,,
SB21B,C00676247,SB21B.8793,,,ORG,Constant Contact,,,,,,1601 Trapelo Rd,,Waltham,MA,02451,,,2024-12-19,5.00,,E-mail Service,,,,,,,,,,,,,,,,,,,,
SB21B,C00676247,SB21B.8798,,,ORG,Constant Contact,,,,,,1601 Trapelo Rd,,Waltham,MA,02451,,,2024-12-30,5.00,,E-mail Service,,,,,,,,,,,,,,,,,,,,
SB21B,C00676247,SB21B.8799,,,ORG,Constant Contact,,,,,,1601 Trapelo Rd,,Waltham,MA,02451,,,2024-12-30,5.00,,E-mail Service,,,,,,,,,,,,,,,,,,,,
SB21B,C00676247,SB21B.8800,,,ORG,Constant Contact,,,,,,1601 Trapelo Rd,,Waltham,MA,02451,,,2024-12-30,5.00,,E-mail Service,,,,,,,,,,,,,,,,,,,,
SB21B,C00676247,SB21B.8801,,,ORG,Constant Contact,,,,,,1601 Trapelo Rd,,Waltham,MA,02451,,,2024-12-30,5.00,,E-mail Service,,,,,,,,,,,,,,,,,,,,
SB21B,C00676247,SB21B.8802,,,ORG,Constant Contact,,,,,,1601 Trapelo Rd,,Waltham,MA,02451,,,2024-12-30,5.00,,E-mail Service,,,,,,,,,,,,,,,,,,,,
SB21B,C00676247,SB21B.8794,,,ORG,GoDaddy.com,,,,,,14455 N Hayden Rd,,Scottsdale,AZ,85260,,,2024-12-20,29.99,,Online Service,,,,,,,,,,,,,,,,,,,,
SB21B,C00676247,SB21B.8797,,,ORG,Grasshopper,,,,,,320 Summer Street,,Boston,MA,02210,,,2024-12-23,38.60,,Online Service,,,,,,,,,,,,,,,,,,,,
SB21B,C00676247,SB21B.8787,,,ORG,Lil Havana Cigar Club,,,,,,1355-A Chain Bridge Rd,,McLean,VA,22101,,,2024-12-04,96.52,,Food/Beverage,,,,,,,,,,,,,,,,,,,,
SB21B,C00676247,SB21B.8805,,,ORG,Lil Havana Cigar Club,,,,,,1355-A Chain Bridge Rd,,McLean,VA,22101,,,2024-12-06,200.00,,Food/Beverage,,,,,,,,,,,,,,,,,,,,
SB21B,C00676247,SB21B.8806,,,ORG,Lil Havana Cigar Club,,,,,,1355-A Chain Bridge Rd,,McLean,VA,22101,,,2024-12-19,200.00,,Food/Beverage,,,,,,,,,,,,,,,,,,,,
SB21B,C00676247,SB21B.8791,,,ORG,OptinMonster.com,,,,,,5127 NW 24th Drive,,Gainesville,FL,32605,,,2024-12-13,348.00,,Online Service,,,,,,,,,,,,,,,,,,,,
SB21B,C00676247,SB21B.8786,,,ORG,Tower Club of Tysons Corner,,,,,,8000 Towers Cresecent Dr,Suite 1700,Tysons,VA,22182,,,2024-12-02,2903.17,,Food/Beverage,,,,,,,,,,,,,,,,,,,,
SB21B,C00676247,SB21B.8792,,,ORG,Webflow.com,,,,,,"398 11th Street, 2nd Floor",,San Francisco,CA,94103,,,2024-12-19,28.00,,Online Service,,,,,,,,,,,,,,,,,,,,
