form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,dissemination_date,expenditure_amount,disbursement_date,calendar_y_t_d_per_election_office,expenditure_purpose_descrip,category_code,payee_cmtte_fec_id_number,support_oppose_code,candidate_id_number,candidate_last_name,candidate_first_name,candidate_middle_name,candidate_prefix,candidate_suffix,candidate_office,candidate_district,candidate_state,completing_last_name,completing_first_name,completing_middle_name,completing_prefix,completing_suffix,date_signed,memo_code,memo_text_description
SE,C00802389,500439728,,,ORG,"League of Conservation Voters, Inc.",,,,,,740 15th St NW,Fl 7,Washington,DC,200051048,P2024,,2024-03-02,40.00,2024-03-02,81.25,Staff time and emails for online message (via drawdown),,,S,S4MI00470,Slotkin,Elissa,,,,S,00,MI,Sonekan,Titi,,,,2024-04-19,
SE,C00802389,500437761,,,ORG,"League of Conservation Voters, Inc.",,,,,,740 15th St NW,Fl 7,Washington,DC,200051048,P2024,,2024-03-06,40.00,2024-03-06,136.25,Staff time and emails for online message (via drawdown),,,S,S4AZ00139,GALLEGO,RUBEN,,,,S,00,AZ,Sonekan,Titi,,,,2024-04-19,
SE,C00802389,500438284,,,ORG,"League of Conservation Voters, Inc.",,,,,,740 15th St NW,Fl 7,Washington,DC,200051048,P2024,,2024-03-08,11.09,2024-03-08,501.09,Email services and staff time (via drawdown),,,S,P80000722,BIDEN,JOSEPH R JR,,,,P,,,Sonekan,Titi,,,,2024-04-19,,Nationwide IE
SE,C00802389,500437762,,,ORG,"League of Conservation Voters, Inc.",,,,,,740 15th St NW,Fl 7,Washington,DC,200051048,P2024,,2024-03-11,5.72,2024-03-11,5.72,Staff time and emails for online message (via drawdown),,,S,S2HI00106,HIRONO,MAZIE MRS,,,,S,00,HI,Sonekan,Titi,,,,2024-04-19,
SE,C00802389,500437763,,,ORG,"League of Conservation Voters, Inc.",,,,,,740 15th St NW,Fl 7,Washington,DC,200051048,P2024,,2024-03-11,5.72,2024-03-11,5.72,Staff time and emails for online message (via drawdown),,,S,S6MN00267,Klobuchar,Amy,,,,S,00,MN,Sonekan,Titi,,,,2024-04-19,
SE,C00802389,500437764,,,ORG,"League of Conservation Voters, Inc.",,,,,,740 15th St NW,Fl 7,Washington,DC,200051048,P2024,,2024-03-11,5.72,2024-03-11,5.72,Staff time and emails for online message (via drawdown),,,S,S0NY00410,GILLIBRAND,KIRSTEN ELIZABETH,,,,S,00,NY,Sonekan,Titi,,,,2024-04-19,
SE,C00802389,500437765,,,ORG,"League of Conservation Voters, Inc.",,,,,,740 15th St NW,Fl 7,Washington,DC,200051048,P2024,,2024-03-11,5.71,2024-03-11,5.71,Staff time and emails for online message (via drawdown),,,S,S2MA00170,Warren,Elizabeth,,,,S,00,MA,Sonekan,Titi,,,,2024-04-19,
SE,C00802389,500437766,,,ORG,"League of Conservation Voters, Inc.",,,,,,740 15th St NW,Fl 7,Washington,DC,200051048,P2024,,2024-03-11,5.71,2024-03-11,5.71,Staff time and emails for online message (via drawdown),,,S,S8WA00194,CANTWELL,MARIA,,,,S,00,WA,Sonekan,Titi,,,,2024-04-19,
SE,C00802389,500437767,,,ORG,"League of Conservation Voters, Inc.",,,,,,740 15th St NW,Fl 7,Washington,DC,200051048,P2024,,2024-03-11,5.71,2024-03-11,13.71,Staff time and emails for online message (via drawdown),,,S,S4DE00060,Blunt Rochester,Lisa,,,,S,00,DE,Sonekan,Titi,,,,2024-04-19,
SE,C00802389,500437768,,,ORG,"League of Conservation Voters, Inc.",,,,,,740 15th St NW,Fl 7,Washington,DC,200051048,P2024,,2024-03-11,5.71,2024-03-11,46.96,Staff time and emails for online message (via drawdown),,,S,S4FL00611,MUCARSEL-POWELL,DEBBIE,,,,S,00,FL,Sonekan,Titi,,,,2024-04-19,
SE,C00802389,500437769,,,ORG,"League of Conservation Voters, Inc.",,,,,,740 15th St NW,Fl 7,Washington,DC,200051048,P2024,,2024-03-13,5.00,2024-03-13,281.26,email services (via drawdown),,,S,S2WI00219,BALDWIN,TAMMY,,,,S,00,WI,Sonekan,Titi,,,,2024-04-19,
SE,C00802389,500437770,,,ORG,"League of Conservation Voters, Inc.",,,,,,740 15th St NW,Fl 7,Washington,DC,200051048,P2024,,2024-03-15,1.25,2024-03-15,96.24,email services (via drawdown),,,S,S6OH00163,BROWN,SHERROD,,,,S,00,OH,Sonekan,Titi,,,,2024-04-19,
SE,C00802389,500437771,,,ORG,"League of Conservation Voters, Inc.",,,,,,740 15th St NW,Fl 7,Washington,DC,200051048,P2024,,2024-03-15,1.25,2024-03-15,41.25,email services (via drawdown),,,S,H2OH01194,LANDSMAN,GREG,,,,H,01,OH,Sonekan,Titi,,,,2024-04-19,
SE,C00802389,500437772,,,ORG,"League of Conservation Voters, Inc.",,,,,,740 15th St NW,Fl 7,Washington,DC,200051048,P2024,,2024-03-15,1.25,2024-03-15,41.25,email services (via drawdown),,,S,H2OH09031,KAPTUR,MARCY,M.C.,,,H,09,OH,Sonekan,Titi,,,,2024-04-19,
SE,C00802389,500437773,,,ORG,"League of Conservation Voters, Inc.",,,,,,740 15th St NW,Fl 7,Washington,DC,200051048,P2024,,2024-03-15,1.25,2024-03-15,49.25,email services (via drawdown),,,S,H2OH13264,SYKES,EMILIA,,,,H,13,OH,Sonekan,Titi,,,,2024-04-19,
SE,C00802389,500437774,,,ORG,"League of Conservation Voters, Inc.",,,,,,740 15th St NW,Fl 7,Washington,DC,200051048,P2024,,2024-03-17,1.25,2024-03-17,41.25,email services (via drawdown),,,S,H2IL13153,BUDZINSKI,NIKKI,,,,H,13,IL,Sonekan,Titi,,,,2024-04-19,
SE,C00802389,500437775,,,ORG,"League of Conservation Voters, Inc.",,,,,,740 15th St NW,Fl 7,Washington,DC,200051048,P2024,,2024-03-17,1.25,2024-03-17,41.25,email services (via drawdown),,,S,H8IL14067,FOSTER,G. WILLIAM (BILL),,,,H,11,IL,Sonekan,Titi,,,,2024-04-19,
SE,C00802389,500437776,,,ORG,"League of Conservation Voters, Inc.",,,,,,740 15th St NW,Fl 7,Washington,DC,200051048,P2024,,2024-03-17,1.25,2024-03-17,41.25,email services (via drawdown),,,S,H2IL17147,SORENSEN,ERIC,,,,H,17,IL,Sonekan,Titi,,,,2024-04-19,
SE,C00802389,500437777,,,ORG,"League of Conservation Voters, Inc.",,,,,,740 15th St NW,Fl 7,Washington,DC,200051048,P2024,,2024-03-17,1.25,2024-03-17,49.25,email services (via drawdown),,,S,H8IL14174,UNDERWOOD,LAUREN,A,,,H,14,IL,Sonekan,Titi,,,,2024-04-19,
