form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00758938,SB21B-1015055,,,ORG,AUTHORIZE.NET,,,,,,PO BOX 947,,AMERICAN FORK,UT,840030947,,,2024-12-03,174.40,387.82,CREDIT CARD PROCESSING,003,,,,,,,,,,,,,,,,,00000,,
SB21B,C00758938,SB21B-1015065,,,ORG,DEADWOOD INTERACTIVE SOLUTIONS,,,,,,30 NORTH GOULD ST,,SHERIDAN,WY,82801,,,2024-12-06,2015.50,145945.44,WEBSITE MARKETING,004,,,,,,,,,,,,,,,,,00000,,
SB21B,C00758938,SB21B-1015125,,,ORG,DEADWOOD INTERACTIVE SOLUTIONS,,,,,,30 NORTH GOULD ST,,SHERIDAN,WY,82801,,,2024-12-20,2991.00,145945.44,WEBSITE MARKETING,004,,,,,,,,,,,,,,,,,00000,,
SB21B,C00758938,SB21B-1015023,,,ORG,ELECTRONIC MERCHANT SYSTEMS,,,,,,250 W. HURON RD.,SUITE 400,CLEVELAND,OH,44113,,,2024-12-02,15.02,3596.34,MERCHANT PROCESSOR FEES,003,,,,,,,,,,,,,,,,,00000,,
SB21B,C00758938,SB21B-1015025,,,ORG,ELECTRONIC MERCHANT SYSTEMS,,,,,,250 W. HURON RD.,SUITE 400,CLEVELAND,OH,44113,,,2024-12-02,2540.81,3596.34,MERCHANT PROCESSOR FEES,003,,,,,,,,,,,,,,,,,00000,,
SB21B,C00758938,SB21B-1015061,,,ORG,ELECTRONIC MERCHANT SYSTEMS,,,,,,250 W. HURON RD.,SUITE 400,CLEVELAND,OH,44113,,,2024-12-04,50.04,3596.34,MERCHANT PROCESSOR FEES,003,,,,,,,,,,,,,,,,,00000,,
SB21B,C00758938,SB21B-1015139,,,ORG,ELECTRONIC MERCHANT SYSTEMS,,,,,,250 W. HURON RD.,SUITE 400,CLEVELAND,OH,44113,,,2024-12-26,15.00,3596.34,MERCHANT PROCESSOR FEE,003,,,,,,,,,,,,,,,,,00000,,
SB21B,C00758938,SB21B-1015143,,,ORG,LAV SERVICES LLC,,,,,,1009 WHITNEY RANCH DR.,,HENDERSON,NV,89014,,,2024-12-04,333.00,210276.17,PHONEBANK PAYROLL SERVICES,003,,,,,,,,,,,,,,,,,00000,,
SB21B,C00758938,SB21B-1015019,,,ORG,NORTH AMERICAN FULFILLMENT,,,,,,3245 N. 126TH STREET,,BROOKFIELD,WI,53005,,,2024-11-29,44.91,18023.02,MAILERS AND CAGING,003,,,,,,,,,,,,,,,,,00000,,
SB21B,C00758938,SB21B-1015067,,,ORG,NORTH AMERICAN FULFILLMENT,,,,,,3245 N. 126TH STREET,,BROOKFIELD,WI,53005,,,2024-12-09,45.78,18023.02,MAILERS AND CAGING,003,,,,,,,,,,,,,,,,,00000,,
SB21B,C00758938,SB21B-1015115,,,ORG,NORTH AMERICAN FULFILLMENT,,,,,,3245 N. 126TH STREET,,BROOKFIELD,WI,53005,,,2024-12-13,40.25,18023.02,MAILERS AND CAGING,003,,,,,,,,,,,,,,,,,00000,,
SB21B,C00758938,SB21B-1015121,,,ORG,NORTH AMERICAN FULFILLMENT,,,,,,3245 N. 126TH STREET,,BROOKFIELD,WI,53005,,,2024-12-19,3682.72,18023.02,MAILERS AND CAGING,003,,,,,,,,,,,,,,,,,00000,,
SB21B,C00758938,SB21B-1015123,,,ORG,NORTH AMERICAN FULFILLMENT,,,,,,3245 N. 126TH STREET,,BROOKFIELD,WI,53005,,,2024-12-20,41.70,18023.02,MAILERS AND CAGING,003,,,,,,,,,,,,,,,,,00000,,
SB21B,C00758938,SB21B-1015141,,,ORG,NORTH AMERICAN FULFILLMENT,,,,,,3245 N. 126TH STREET,,BROOKFIELD,WI,53005,,,2024-12-30,54.78,18023.02,MAILERS AND CAGING,003,,,,,,,,,,,,,,,,,00000,,
SB21B,C00758938,SB21B-1015021,,,ORG,PACSMART FILING SERVICES LLC,,,,,,1013 CENTRE ROAD,SUITE 403-A,WILMINGTON,DE,19805,,,2024-11-29,500.00,8600.00,FEC COMPLIANCE REPORTING,001,,,,,,,,,,,,,,,,,00000,,
SB21B,C00758938,SB21B-1015145,,,ORG,STANDARD DATA SERVICES LLC,,,,,,513 MILL AVE SE,SUITE 206,NEW PHILADELPHIA,OH,44663,,,2024-12-04,333.00,155566.35,CAGING AND DATABASE SERVICES,003,,,,,,,,,,,,,,,,,00000,,
SB21B,C00758938,SB21B-1015147,,,ORG,WIRED4DATA,,,,,,55 LAKE HAVASU AVE SOUTH,F-677,LAKE HAVASU CITY,AZ,86403,,,2024-12-04,333.00,404563.56,PHONEBANK IT/TECH SUPPORT,003,,,,,,,,,,,,,,,,,00000,,
