form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB29,C00144345,B890754,,,CCM,Friends of Ken Kerr,,,,,,7412 Skyline Dr.,,Frederick,MD,21702,O2026,Election Cycle,2024-10-25,500.00,,O-2026 State House 3B MD,011,,,,Kerr,Kenneth,,,,H,MD, ,,,,,,,,
SB29,C00144345,B890741,,,CCM,CTE Joseph Aragona,,,,,,42033 Coulon,,Clinton Township,MI,48038,O2024,Election Cycle,2024-10-25,1000.00,,O-2024 State House 60 MI,011,,,,Aragona,Joseph,,,,H,MI,60,,,,,,,,
SB29,C00144345,B890742,,,CCM,Friends of Matthew Bierlein,,,,,,4724 Hanes Road,,Vassar,MI,48767,O2024,Election Cycle,2024-10-25,1000.00,,O-2024 State House 97 MI,011,,,,Bierlein,Matthew,,,,H,MI,97,,,,,,,,
SB29,C00144345,B890743,,,CCM,Committee to Elect Tom Kunse,,,,,,PO Box 506,,Clare,MI,48617,O2024,Election Cycle,2024-10-25,1000.00,,O-2024 State House 100 MI,011,,,,Kunse,Tom,,,,H,MI,10,,,,,,,,
SB29,C00144345,B890739,,,CCM,Bill G. Schuette for State Representative,,,,,,PO Box 2227,,Midland,MI,48641,O2024,Election Cycle,2024-10-25,1000.00,,O-2024 State House 95 MI,011,,,,Schuette,Bill,G,,,H,MI,95,,,,,,,,
SB29,C00144345,B891881,,,CCM,Peterson for Assembly,,,,,,c/o 370 Tall Tree Court,,Jackson,NJ,08527,P2025,,2024-11-19,500.00,,P-2025 State House 23 NJ,011,,,,Peterson,Erik,,,,H,NJ,23,,,,,,,,
SB29,C00144345,B891882,,,CCM,Scutari for Senate,,,,,,20 Kennedy Drive,,Clark,NJ,07066,P2027,,2024-11-19,500.00,,P-2027 State Senate 22 NJ,011,,,,Scutari,Nicholas,P,,,S,NJ,22,,,,,,,,
SB29,C00144345,B890745,,,PTY,Senate Democratic Campaign Committee,,,,,,1 North 2nd Street,,Harrisburg,PA,17101,O2024,Not Applicable,2024-10-25,1000.00,,State Party Cmte,011,,,,,,,,,,, ,,,,,,,,
SB29,C00144345,B890747,,,CCM,Baker for Senate Cmte,,,,,,27 Dallas Shopping Center,,Dallas,PA,18612,P2026,,2024-10-25,1000.00,,P-2026 State Senate 20 PA,011,,,,Baker,Lisa,,,,S,PA,20,,,,,,,,
SB29,C00144345,B890746,,,CCM,Friends of Matt Bradford,,,,,,PO Box 349,,Norristown,PA,19404,G2024,,2024-10-25,1000.00,,G-2024 State House 70 PA,011,,,,Bradford,Matt,,,,H,PA,70,,,,,,,,
SB29,C00144345,B890748,,,CCM,Friends of Rosemary Brown,,,,,,PO Box 17,,Tannerville,PA,18372,P2026,,2024-10-25,1000.00,,P-2026 State Senate 40 PA,011,,,,Brown,Rosemary,,,,S,PA,40,,,,,,,,
SB29,C00144345,B890744,,,CCM,Friends of Joanna McClinton,,,,,,PO Box 16668,,Philadelphia,PA,19139,G2024,,2024-10-25,1000.00,,G-2024 State House 191 PA,011,,,,McClinton,Joanna,,,,H,PA,19,,,,,,,,
SB29,C00144345,B892440,,,CCM,Aument for Senate,,,,,,96 Farmington Pl.,,Landisville,PA,17538,P2026,,2024-11-22,1000.00,,P-2026 State Senate 36 PA,011,,,,Aument,Ryan,,,,S,PA,36,,,,,,,,
SB29,C00144345,B892437,,,CCM,Friends of Camera Bartolotta,,,,,,P.O. Box 25,,Harrisburg,PA,17108,P2026,,2024-11-22,1000.00,,P-2026 State Senate 46 PA,011,,,,Bartolotta,Camera,,,,S,PA,46,,,,,,,,
SB29,C00144345,B892432,,,CCM,Friends of Frank Farry,,,,,,PO Box 231,,Langhorne,PA,19047,P2026,,2024-11-22,1000.00,,P-2026 State Senate 6 PA,011,,,,Farry,Frank,,,,S,PA,06,,,,,,,,
SB29,C00144345,B892435,,,CCM,Friends of Steve Mentzer,,,,,,PO Box 412,,Harrisburg,PA,17108,P2026,,2024-11-22,1000.00,,P-2026 State House 97 PA,011,,,,Mentzer,Steve,,,,H,PA,97,,,,,,,,
SB29,C00144345,B892430,,,CCM,Friends of Pat Stefano,,,,,,PO Box 412,,Harrisburg,PA,17108,P2026,,2024-11-22,1000.00,,P-2026 State Senate 32 PA,011,,,,Stefano,Pat,,,,S,PA,32,,,,,,,,
SB29,C00144345,B890753,,,CCM,Friends of Don Scott,,,,,,355 Crawford Street 704,,Portsmouth,VA,23704,P2025,,2024-10-25,1000.00,,P-2025 State Delegate 80 VA,011,,,,Scott,Don,,,,,VA,80,,,,,,,,
