form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00427435,SB21B.980444,,,ORG,CORCORAN STRATEGIES LLC,,,,,,"602 M STREET, NW",#3,WASHINGTON,DC,20001,,,2024-03-25,20060.04,,FUNDRAISING CONSULTING
SB21B,C00427435,SB21B.974406,,,ORG,PRISM GROUP,,,,,,"1333 H. ST., NW",SUITE 800E,WASHINGTON,DC,20005,,,2024-02-02,8700.50,,COMMUNICATIONS CONSULTING
SB21B,C00427435,SB21B.980082,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2024-02-01,10.87,,MERCHANT FEES
SB21B,C00427435,SB21B.980536,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2024-02-02,2.46,,MERCHANT FEES
SB21B,C00427435,SB21B.981126,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2024-02-05,11.82,,MERCHANT FEES
SB21B,C00427435,SB21B.981129,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2024-02-06,13.81,,MERCHANT FEES
SB21B,C00427435,SB21B.981130,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2024-02-07,4.44,,MERCHANT FEES
SB21B,C00427435,SB21B.981316,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2024-02-08,19.26,,MERCHANT FEES
SB21B,C00427435,SB21B.981663,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2024-02-09,15.27,,MERCHANT FEES
SB21B,C00427435,SB21B.981789,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2024-02-12,5.92,,MERCHANT FEES
SB21B,C00427435,SB21B.983187,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2024-02-13,13.80,,MERCHANT FEES
