form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00825851,SB21B.8357,,,ORG,AMERICAN EXPRESS,,,,,,PO BOX 1270,,NEWARK,NJ,07101,,,2024-10-07,99.00,,CREDIT CARD PAYMENT: SEE MEMO ENTRIES IF REQUIRED,,,,,,,,,,,,,,,,,,,,
SB21B,C00825851,SB21B.8358,,,ORG,CHAIN BRIDGE BANK N.A.,,,,,,1445-A LAUGHLIN AVE.,,MCLEAN,VA,22101,,,2024-10-03,25.00,,BANK FEE,,,,,,,,,,,,,,,,,,,,
SB21B,C00825851,SB21B.8359,,,ORG,CHAIN BRIDGE BANK N.A.,,,,,,1445-A LAUGHLIN AVE.,,MCLEAN,VA,22101,,,2024-10-04,25.00,,BANK FEE,,,,,,,,,,,,,,,,,,,,
SB21B,C00825851,SB21B.8360,,,ORG,CHAIN BRIDGE BANK N.A.,,,,,,1445-A LAUGHLIN AVE.,,MCLEAN,VA,22101,,,2024-10-04,25.00,,BANK FEE,,,,,,,,,,,,,,,,,,,,
SB21B,C00825851,SB21B.8361,,,ORG,CHAIN BRIDGE BANK N.A.,,,,,,1445-A LAUGHLIN AVE.,,MCLEAN,VA,22101,,,2024-10-08,25.00,,BANK FEE,,,,,,,,,,,,,,,,,,,,
SB21B,C00825851,SB21B.8362,,,ORG,CHAIN BRIDGE BANK N.A.,,,,,,1445-A LAUGHLIN AVE.,,MCLEAN,VA,22101,,,2024-10-10,25.00,,BANK FEE,,,,,,,,,,,,,,,,,,,,
SB21B,C00825851,SB21B.8363,,,ORG,CHAIN BRIDGE BANK N.A.,,,,,,1445-A LAUGHLIN AVE.,,MCLEAN,VA,22101,,,2024-10-10,25.00,,BANK FEE,,,,,,,,,,,,,,,,,,,,
SB21B,C00825851,SB21B.8364,,,ORG,CHAIN BRIDGE BANK N.A.,,,,,,1445-A LAUGHLIN AVE.,,MCLEAN,VA,22101,,,2024-10-10,25.00,,BANK FEE,,,,,,,,,,,,,,,,,,,,
SB21B,C00825851,SB21B.8365,,,ORG,CHAIN BRIDGE BANK N.A.,,,,,,1445-A LAUGHLIN AVE.,,MCLEAN,VA,22101,,,2024-10-11,25.00,,BANK FEE,,,,,,,,,,,,,,,,,,,,
SB21B,C00825851,SB21B.8366,,,ORG,CHAIN BRIDGE BANK N.A.,,,,,,1445-A LAUGHLIN AVE.,,MCLEAN,VA,22101,,,2024-10-11,25.00,,BANK FEE,,,,,,,,,,,,,,,,,,,,
SB21B,C00825851,SB21B.8367,,,ORG,CHAIN BRIDGE BANK N.A.,,,,,,1445-A LAUGHLIN AVE.,,MCLEAN,VA,22101,,,2024-10-15,25.00,,BANK FEE,,,,,,,,,,,,,,,,,,,,
SB21B,C00825851,SB21B.8368,,,ORG,CHAIN BRIDGE BANK N.A.,,,,,,1445-A LAUGHLIN AVE.,,MCLEAN,VA,22101,,,2024-10-15,25.00,,BANK FEE,,,,,,,,,,,,,,,,,,,,
SB21B,C00825851,SB21B.8369,,,ORG,CHAIN BRIDGE BANK N.A.,,,,,,1445-A LAUGHLIN AVE.,,MCLEAN,VA,22101,,,2024-10-16,25.00,,BANK FEE,,,,,,,,,,,,,,,,,,,,
SB21B,C00825851,SB21B.8370,,,ORG,EVERGREEN DATA STRATEGIES,,,,,,1712 PIONEER AVE,STE 500,CHEYENNE,WY,82001,,,2024-10-04,5000.00,,DATA ANALYSIS CONSULTING,,,,,,,,,,,,,,,,,,,,
SB21B,C00825851,SB21B.8371,,,ORG,"FABRIZIO, LEE & ASSOCIATES, LLC",,,,,,2624 NE 15TH STREET,,FT. LAUDERDALE,FL,33304,,,2024-10-10,857664.00,,POLLING EXPENSE,,,,,,,,,,,,,,,,,,,,
SB21B,C00825851,SB21B.8372,,,ORG,"FABRIZIO, LEE & ASSOCIATES, LLC",,,,,,2624 NE 15TH STREET,,FT. LAUDERDALE,FL,33304,,,2024-10-15,269667.00,,POLLING EXPENSE,,,,,,,,,,,,,,,,,,,,
