form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB29,C00376376,B875058,,,CCM,Tim Barhorst for Ohio,,,,,,4679 Winterset Drive,,Columbus,OH,43220,G2024,,2024-06-10,1000.00,,G-2024 State House 85 OH,011,,,,Barhorst,Tim,,,,H,OH,85,,,,,,,,
SB29,C00376376,B875042,,,CCM,Friends of Julie Fahey,,,,,,1831 Todd Street,,Eugene,OR,97405,G2024,,2024-06-10,1000.00,,G-2024 State House 14 OR,011,,,,Fahey,Julie,,,,H,OR,14,,,,,,,,
SB29,C00376376,B875041,,,CCM,Gomberg for State Rep,,,,,,PO Box 42307,,Portland,OR,97242,G2024,,2024-06-10,1000.00,,G-2024 State House 10 OR,011,,,,Gomberg,David,,,,H,OR,10,,,,,,,,
SB29,C00376376,B875043,,,CCM,Friends of Janeen Sollman,,,,,,306 NE 64th CT,,Hillsboro,OR,97405,P2026,,2024-06-10,1000.00,,P-2026 State Senate 15 OR,011,,,,Sollman,Janeen,,,,S,OR,15,,,,,,,,
SB29,C00376376,B875050,,,PTY,RACC - Segregated Fund,,,,,,148 East Johnson,,Madison,WI,53703,O2024,Not Applicable,2024-06-10,1000.00,,State Party Non-Fed Admin Acct,011,,,,,,,,,,, ,,,,,,,,
SB29,C00376376,B875053,,,CCM,Citizens for August,,,,,,P.O. Box 572,,Delavan,WI,53115,O2024,Election Cycle,2024-06-10,500.00,,O-2024 State House 32 WI,011,,,,August,Tyler,,,,H,WI,32,,,,,,,,
SB29,C00376376,B875054,,,CCM,Dittrich for WI,,,,,,PO Box 923,,Oconomowoc,WI,53066,O2024,Election Cycle,2024-06-10,500.00,,O-2024 State House 38 WI,011,,,,Dittrich,Barbara,,,,H,WI,38,,,,,,,,
SB29,C00376376,B875055,,,CCM,Friends of Dora Drake,,,,,,PO Box 91912,,Milwaukee,WI,53209,O2024,Election Cycle,2024-06-10,500.00,,O-2024 State House 11 WI,011,,,,Drake,Dora,,,,H,WI,11,,,,,,,,
SB29,C00376376,B875051,,,CCM,Feyen for Senate,,,,,,PO Box 1768,,Fond du Lac,WI,54936,O2024,Election Cycle,2024-06-10,500.00,,O-2024 State Senate 18 WI,011,,,,Feyen,Dan,,,,S,WI,18,,,,,,,,
SB29,C00376376,B875049,,,CCM,Friends of Devin LeMahieu,,,,,,PO Box 700200,,Oostburg,WI,53070,O2026,Election Cycle,2024-06-10,1000.00,,O-2026 State Senate 09 WI,011,,,,LeMahieu,Devin,,,,S,WI,09,,,,,,,,
SB29,C00376376,B875045,,,CCM,Taxpayers for Marklein,,,,,,S11665 Soeldner Road,,Spring Green,WI,53588,O2026,Election Cycle,2024-06-10,1000.00,,O-2026 State Senate 17 WI,011,,,,Marklein,Howard,,,,S,WI,17,,,,,,,,
SB29,C00376376,B875046,,,CCM,Tip for Wisconsin,,,,,,3304 27th Street,,Kenosha,WI,53144,O2024,Election Cycle,2024-06-10,500.00,,O-2024 State House 64 WI,011,,,,McGuire,Tip,,,,H,WI,64,,,,,,,,
SB29,C00376376,B875048,,,CCM,Friends of Kelda Roys,,,,,,P.O. Box 231,,Madison,WI,53701,O2024,Election Cycle,2024-06-10,500.00,,O-2024 State Senate 26 WI,011,,,,Roys,Kelda,,,,S,WI,26,,,,,,,,
SB29,C00376376,B875047,,,CCM,Together with Jeff Smith,,,,,,S7747 Norrish Road,,Eau Claire,WI,54701,O2026,Election Cycle,2024-06-10,1000.00,,O-2026 State Senate 31 WI,011,,,,Smith,Jeff,,,,S,WI,31,,,,,,,,
SB29,C00376376,B875052,,,CCM,Taxpayers for Stafsholt,,,,,,1402 160th Street,,New Richmond,WI,54017,O2024,Election Cycle,2024-06-10,500.00,,O-2024 State House 29 WI,011,,,,Stafsholt,Rob,,,,H,WI,29,,,,,,,,
