form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB23,C00059733,SB23.73903,,,CCM,"ANDY BARR FOR CONGRESS, INC.",,,,,,PO BOX 2059,,LEXINGTON,KY,40588,P2024,,2024-03-26,3500.00,,Contribution,,C00467571,"ANDY BARR FOR CONGRESS, INC.",H0KY06104,BARR,GARLAND ANDY,,,,H,KY,06,,,,,,,,
SB23,C00059733,SB23.73908,,,ORG,Brown-Forman Corporation,,,,,,850 Dixie Hwy,,Louisville,KY,40210,P2024,,2024-03-26,370.25,,In Kind-Catering-Sewell,,,,H0AL07086,SEWELL,TERRI A.,,,,H,AL,07,,,,,,,,
SB23,C00059733,SB23.73908.0,SB23.73908,SB23,CCM,TERRI SEWELL FOR CONGRESS,,,,,,PO BOX 1964,,BIRMINGHAM,AL,35201,G2024,,2024-03-26,370.25,,In Kind Memo-Catering,,C00458976,TERRI SEWELL FOR CONGRESS,H0AL07086,SEWELL,TERRI A.,,,,H,AL,07,,,,,,,X,
SB23,C00059733,SB23.73909,,,ORG,Brown-Forman Corporation,,,,,,850 Dixie Hwy,,Louisville,KY,40210,P2028,,2024-03-26,383.00,,In Kind-Catering-Hassan,,,,S6NH00091,HASSAN,MARGARET WOOD,,,,S,NH,00,,,,,,,,
SB23,C00059733,SB23.73909.0,SB23.73909,SB23,CCM,MAGGIE FOR NH,,,,,,PO BOX 298,,CONCORD,NH,03302,P2028,,2024-03-26,383.00,,In Kind Memo-Catering,,C00588772,MAGGIE FOR NH,S6NH00091,HASSAN,MARGARET WOOD,,,,S,NH,00,,,,,,,X,
SB23,C00059733,SB23.73907,,,CCM,FRIENDS OF JIM CLYBURN,,,,,,PO BOX 12567,,COLUMBIA,SC,29211,P2024,,2024-03-26,1000.00,,Contribution,,C00255562,FRIENDS OF JIM CLYBURN,H2SC02042,CLYBURN,JAMES E,,,,H,SC,06,,,,,,,,
SB23,C00059733,SB23.73902,,,CCM,HAL ROGERS FOR CONGRESS,,,,,,P.O. BOX 1214,EAST MT VERNON ST,SOMERSET,KY,42502,P2024,,2024-03-01,1500.00,,Contribution,,C00116632,HAL ROGERS FOR CONGRESS,H0KY05015,ROGERS,HAROLD DALLAS,,,,H,KY,05,,,,,,,,
SB23,C00059733,SB23.73904,,,CCM,JIMMY PANETTA FOR CONGRESS,,,,,,PO BOX 103,,CARMEL VALLEY,CA,93924,G2024,,2024-03-26,2500.00,,Contribution,,C00592154,JIMMY PANETTA FOR CONGRESS,H6CA20152,PANETTA,JIMMY,,,,H,CA,19,,,,,,,,
SB23,C00059733,SB23.73898,,,CCM,MIKE CRAPO FOR US SENATE,,,,,,PO BOX 1948,,BOISE,ID,83701,P2028,,2024-03-01,2500.00,,Contribution,,C00330886,MIKE CRAPO FOR US SENATE,S8ID00027,CRAPO,MICHAEL D,,,,S,ID,00,,,,,,,,
SB23,C00059733,SB23.73899,,,CCM,MOORE FOR CONGRESS,,,,,,PO BOX 16646,,MILWAUKEE,WI,53216,P2024,,2024-03-01,1000.00,,Contribution,,C00397505,MOORE FOR CONGRESS,H4WI04183,MOORE,GWEN S,,,,H,WI,04,,,,,,,,
SB23,C00059733,SB23.73897,,,CCM,TERRI SEWELL FOR CONGRESS,,,,,,PO BOX 1964,,BIRMINGHAM,AL,35201,P2024,,2024-03-01,3000.00,,Contribution,,C00458976,TERRI SEWELL FOR CONGRESS,H0AL07086,SEWELL,TERRI A.,,,,H,AL,07,,,,,,,,
