form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00030809,V533316C25C929A1A2E5,,,ORG,Bankcard,,,,,,28720 Roadside Dr,#229,Agoura Hills,CA,91301,,,2023-04-03,110.94,,Bank Fees,001,,,,,,,,,,,,,,,,,,,
SB21B,C00030809,VFFFB8265624039C695D,,,ORG,PayPal,,,,,,2211 North First St,,San Jose,CA,95131,,,2023-04-05,2.50,,Credit Card Processing,001,,,,,,,,,,,,,,,,,,,
SB21B,C00030809,VBBA7C11C5C0B9EA5D66,,,ORG,PayPal,,,,,,2211 North First St,,San Jose,CA,95131,,,2023-04-13,6.40,,Credit Card Processing,001,,,,,,,,,,,,,,,,,,,
SB21B,C00030809,VC6A1AB519D59D74B54E,,,ORG,PayPal,,,,,,2211 North First St,,San Jose,CA,95131,,,2023-04-21,400.00,,Credit Card Processing,001,,,,,,,,,,,,,,,,,,,
SB21B,C00030809,VC3E77B9E051375FB1D2,,,ORG,PayPal,,,,,,2211 North First St,,San Jose,CA,95131,,,2023-04-28,78.20,,Credit Card Processing,001,,,,,,,,,,,,,,,,,,,
SB21B,C00030809,VFE4DF97FB30EDB9FCBC,,,ORG,Snowball,,,,,,5600 Wyoming Blvd NE,#270,Albuquerque,NM,87109,,,2023-04-16,2.80,,Credit Card Processing,001,,,,,,,,,,,,,,,,,,,
SB21B,C00030809,V8330190E3DD1C19D434,,,ORG,Snowball,,,,,,5600 Wyoming Blvd NE,#270,Albuquerque,NM,87109,,,2023-04-21,4.75,,Credit Card Processing,001,,,,,,,,,,,,,,,,,,,
SB21B,C00030809,V5E7D88F95C2771786B0,,,ORG,Snowball,,,,,,5600 Wyoming Blvd NE,#270,Albuquerque,NM,87109,,,2023-04-25,6.40,,Credit Card Processing,001,,,,,,,,,,,,,,,,,,,
SB21B,C00030809,VE6E306F3A0ACECF1919,,,ORG,Snowball,,,,,,5600 Wyoming Blvd NE,#270,Albuquerque,NM,87109,,,2023-04-26,22.30,,Credit Card Processing,001,,,,,,,,,,,,,,,,,,,
SB21B,C00030809,V7B620DF59BF68579E4D,,,ORG,Snowball,,,,,,5600 Wyoming Blvd NE,#270,Albuquerque,NM,87109,,,2023-04-27,1.40,,Credit Card Processing,001,,,,,,,,,,,,,,,,,,,
SB21B,C00030809,V9D17B985C55C411D442,,,ORG,Snowball,,,,,,5600 Wyoming Blvd NE,#270,Albuquerque,NM,87109,,,2023-04-28,22.30,,Credit Card Processing,001,,,,,,,,,,,,,,,,,,,
