form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00427435,SB21B.1020997,,,ORG,"CHAIN BRIDGE BANK, N.A.",,,,,,1445-A LAUGHLIN AVENUE,,MCLEAN,VA,22101,,,2024-09-10,25.00,,BANK FEES
SB21B,C00427435,SB21B.1017869,,,ORG,CORCORAN STRATEGIES LLC,,,,,,"602 M STREET, NW",#3,WASHINGTON,DC,20001,,,2024-09-10,9000.00,,FUNDRAISING CONSULTING
SB21B,C00427435,SB21B.1008885,,,ORG,PRISM GROUP,,,,,,"1333 H. ST., NW",SUITE 800E,WASHINGTON,DC,20005,,,2024-08-13,11576.67,,STRATEGY CONSULTING
SB21B,C00427435,SB21B.1017670,,,ORG,PRISM GROUP,,,,,,"1333 H. ST., NW",SUITE 800E,WASHINGTON,DC,20005,,,2024-09-11,7611.18,,STRATEGY CONSULTING
SB21B,C00427435,SB21B.1006749,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2024-07-01,26.10,,MERCHANT FEES
SB21B,C00427435,SB21B.1006750,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2024-07-02,5.43,,MERCHANT FEES
SB21B,C00427435,SB21B.1006753,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2024-07-03,0.99,,MERCHANT FEES
SB21B,C00427435,SB21B.1007436,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2024-07-05,55.18,,MERCHANT FEES
SB21B,C00427435,SB21B.1007437,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2024-07-08,6.90,,MERCHANT FEES
SB21B,C00427435,SB21B.1008909,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2024-07-09,8.88,,MERCHANT FEES
SB21B,C00427435,SB21B.1009027,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2024-07-10,15.31,,MERCHANT FEES
SB21B,C00427435,SB21B.1009028,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2024-07-11,12.82,,MERCHANT FEES
SB21B,C00427435,SB21B.1009029,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2024-07-12,19.72,,MERCHANT FEES
SB21B,C00427435,SB21B.1009031,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2024-07-15,17.25,,MERCHANT FEES
SB21B,C00427435,SB21B.1009032,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2024-07-16,6.91,,MERCHANT FEES
SB21B,C00427435,SB21B.1009237,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2024-07-17,1.98,,MERCHANT FEES
SB21B,C00427435,SB21B.1009238,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2024-07-18,65.01,,MERCHANT FEES
SB21B,C00427435,SB21B.1009678,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2024-07-19,1.98,,MERCHANT FEES
SB21B,C00427435,SB21B.1009679,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2024-07-22,2.97,,MERCHANT FEES
SB21B,C00427435,SB21B.1009992,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2024-07-23,1.98,,MERCHANT FEES
SB21B,C00427435,SB21B.1010168,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2024-07-24,6.91,,MERCHANT FEES
SB21B,C00427435,SB21B.1010487,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2024-07-25,31.58,,MERCHANT FEES
SB21B,C00427435,SB21B.1010625,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2024-07-26,22.34,,MERCHANT FEES
SB21B,C00427435,SB21B.1010886,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2024-07-29,5.92,,MERCHANT FEES
SB21B,C00427435,SB21B.1012193,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2024-07-30,5.92,,MERCHANT FEES
SB21B,C00427435,SB21B.1012195,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2024-07-31,2.46,,MERCHANT FEES
SB21B,C00427435,SB21B.1012196,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2024-08-01,31.05,,MERCHANT FEES
SB21B,C00427435,SB21B.1014429,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2024-08-06,8.88,,MERCHANT FEES
SB21B,C00427435,SB21B.1014430,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2024-08-07,5.91,,MERCHANT FEES
SB21B,C00427435,SB21B.1014431,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2024-08-08,18.27,,MERCHANT FEES
SB21B,C00427435,SB21B.1014432,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2024-08-09,15.27,,MERCHANT FEES
SB21B,C00427435,SB21B.1014433,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2024-08-12,4.93,,MERCHANT FEES
SB21B,C00427435,SB21B.1014435,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2024-08-13,4.44,,MERCHANT FEES
SB21B,C00427435,SB21B.1014996,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2024-08-14,6.91,,MERCHANT FEES
SB21B,C00427435,SB21B.1014999,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2024-08-15,6.93,,MERCHANT FEES
SB21B,C00427435,SB21B.1016047,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2024-08-16,1.98,,MERCHANT FEES
SB21B,C00427435,SB21B.1016048,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2024-08-20,4.92,,MERCHANT FEES
SB21B,C00427435,SB21B.1016049,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2024-08-21,1.98,,MERCHANT FEES
