form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00716423,501222157,,,ORG,ActBlue Technical Services,,,,,,366 Summer St,,Somerville,MA,021443132,,,2024-11-25,429.14,0.00,Credit Card Processing Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00716423,501213085,,,ORG,Democracy Engine,,,,,,2125 14th St NW,,Washington,DC,200094464,,,2024-10-18,75.64,0.00,Credit Card Processing Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00716423,501222162,,,ORG,Democracy Engine,,,,,,2125 14th St NW,,Washington,DC,200094464,,,2024-11-14,2.10,0.00,Credit Card Processing Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00716423,501222160,,,ORG,Friends of Joe Saunders,,,,,,1742 W Flagler St,,Miami,FL,331352017,,,2024-10-24,9000.00,0.00,Non-Federal Contribution,,,,,,,,,,,,,,,,,,,,
SB21B,C00716423,501222170,,,ORG,Wells Fargo Bank,,,,,,1329 Wisconsin Ave NW,,Washington,DC,200073399,,,2024-10-18,25.00,0.00,Bank Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00716423,501222171,,,ORG,Wells Fargo Bank,,,,,,1329 Wisconsin Ave NW,,Washington,DC,200073399,,,2024-10-18,25.00,0.00,Bank Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00716423,501222172,,,ORG,Wells Fargo Bank,,,,,,1329 Wisconsin Ave NW,,Washington,DC,200073399,,,2024-10-18,25.00,0.00,Bank Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00716423,501222173,,,ORG,Wells Fargo Bank,,,,,,1329 Wisconsin Ave NW,,Washington,DC,200073399,,,2024-10-21,25.00,0.00,Bank Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00716423,501222174,,,ORG,Wells Fargo Bank,,,,,,1329 Wisconsin Ave NW,,Washington,DC,200073399,,,2024-10-21,25.00,0.00,Bank Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00716423,501222175,,,ORG,Wells Fargo Bank,,,,,,1329 Wisconsin Ave NW,,Washington,DC,200073399,,,2024-10-21,25.00,0.00,Bank Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00716423,501222176,,,ORG,Wells Fargo Bank,,,,,,1329 Wisconsin Ave NW,,Washington,DC,200073399,,,2024-10-22,25.00,0.00,Bank Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00716423,501222177,,,ORG,Wells Fargo Bank,,,,,,1329 Wisconsin Ave NW,,Washington,DC,200073399,,,2024-10-24,25.00,0.00,Bank Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00716423,501222178,,,ORG,Wells Fargo Bank,,,,,,1329 Wisconsin Ave NW,,Washington,DC,200073399,,,2024-10-28,25.00,0.00,Bank Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00716423,501222179,,,ORG,Wells Fargo Bank,,,,,,1329 Wisconsin Ave NW,,Washington,DC,200073399,,,2024-10-28,25.00,0.00,Bank Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00716423,501222180,,,ORG,Wells Fargo Bank,,,,,,1329 Wisconsin Ave NW,,Washington,DC,200073399,,,2024-10-28,25.00,0.00,Bank Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00716423,501222181,,,ORG,Wells Fargo Bank,,,,,,1329 Wisconsin Ave NW,,Washington,DC,200073399,,,2024-10-28,25.00,0.00,Bank Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00716423,501222182,,,ORG,Wells Fargo Bank,,,,,,1329 Wisconsin Ave NW,,Washington,DC,200073399,,,2024-10-28,25.00,0.00,Bank Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00716423,501222183,,,ORG,Wells Fargo Bank,,,,,,1329 Wisconsin Ave NW,,Washington,DC,200073399,,,2024-10-28,25.00,0.00,Bank Fee,,,,,,,,,,,,,,,,,,,,
