form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB23,C00193631,BA6734D64C2DB42DDAF4,,,CCM,"TUBERVILLE FOR SENATE, INC.",,,,,,PO BOX 590012,,Birmingham,AL,352590012,P2026,,2023-08-15,1000.00,,Contribution to Committee,,C00701672,"TUBERVILLE FOR SENATE, INC.",S0AL00230,Tuberville,Tommy,,,,S,AL,,,,,,,,,,
SB23,C00193631,BC0B34EAD44AF4B659F3,,,CCM,Van Drew For Congress,,,,,,2817 N Jefferson Street,,Arlington,VA,222071463,P2024,,2023-08-02,1000.00,,Contribution to Committee,,C00661868,Van Drew For Congress,H8NJ02166,Van Drew,Jefferson,,,,H,NJ,02,,,,,,,,,
SB23,C00193631,B69E19A83282B4449B66,,,CCM,CAROL FOR CONGRESS,,,,,,1316 12TH STREET,,Huntington,WV,257014015,P2024,,2023-08-02,1500.00,,Contribution to Committee,,C00653220,CAROL FOR CONGRESS,H8WV03097,Miller,Carol,,,,H,WV,01,,,,,,,,,
SB23,C00193631,BEFE8C9A07B534CAF9C1,,,CCM,LISA MURKOWSKI FOR US SENATE,,,,,,PO BOX 65192,,Washington,DC,200355192,P2028,,2023-08-02,1500.00,,Contribution to Committee,,C00384529,LISA MURKOWSKI FOR US SENATE,S4AK00099,Murkowski,Lisa,,,,S,AK,,,,,,,,,,
SB23,C00193631,B1AE93046BE0F42E5810,,,CCM,Kevin McCarthy For Congress,,,,,,"439 New Jersey Ave, SE",,Washington,DC,200034034,P2024,,2023-08-02,2500.00,,Contribution to Committee,,C00420935,Kevin McCarthy For Congress,H6CA22125,McCarthy,Kevin,,,,H,CA,20,,,,,,,,,
SB23,C00193631,BCF59D79EBAE74A9D805,,,CCM,PETE STAUBER FOR CONGRESS,,,,,,5827 Colfax Ave.,,Alexandria,VA,223111013,P2024,,2023-08-02,2500.00,,Contribution to Committee,,C00650697,PETE STAUBER FOR CONGRESS,H8MN08043,Stauber,Pete,,,,H,MN,08,,,,,,,,,
SB23,C00193631,B4B48AEB430EC4F9C9C4,,,CCM,Cathy McMorris For Congress,,,,,,"410 1st Street SE, Second Floor",,Washington,DC,200031867,P2024,,2023-08-02,2500.00,,Contribution to Committee,,C00390476,Cathy McMorris For Congress,H4WA05077,McMorris Rodgers,Cathy,,,,H,WA,05,,,,,,,,,
SB23,C00193631,B881AF1CDB2E347EDBF3,,,CCM,"Ben Cline For Congress, Inc.",,,,,,PO Box 1536,,Leesburg,VA,201771536,P2024,,2023-08-02,2500.00,,Contribution to Committee,,C00661561,"Ben Cline For Congress, Inc.",H8VA06104,Cline,Ben,,,,H,VA,06,,,,,,,,,
SB23,C00193631,B1B4670582DDA4C96A41,,,CCM,Kay Granger Campaign Fund,,,,,,"1701 River Run, Suite 308",,Fort Worth,TX,761076547,P2024,,2023-08-24,2500.00,,Contribution to Committee,,C00310532,Kay Granger Campaign Fund,H6TX12060,Granger,Kay,,,,H,TX,12,,,,,,,,,
SB23,C00193631,B9A615E09352D4ADEBDC,,,CCM,Joni for Iowa,,,,,,PO BOX 93441,,Des Moines,IA,503933441,P2026,,2023-08-02,1000.00,,Contribution to Committee,,C00546788,Joni for Iowa,S4IA00129,Ernst,Joni,,,,S,IA,,,,,,,,,,
SB23,C00193631,BA9A42D896BAF48EE9A3,,,CCM,JOHN DUARTE FOR CONGRESS,,,,,,4202 H Street,,Sacramento,CA,958193425,P2024,,2023-08-02,500.00,,Contribution to Committee,,C00808279,JOHN DUARTE FOR CONGRESS,H2CA13131,Duarte,John,,,,H,CA,13,,,,,,,,,
SB23,C00193631,BC7C7E874F38A4697BD4,,,PAC,Heartland Values PAC,,,,,,P.O. Box 505,,Sioux Falls,SD,571010505,O2023,Other,2023-08-02,2500.00,,Contribution to Committee,,C00409003,Heartland Values PAC,,,,,,,,,,,,,,,,,,
SB23,C00193631,B19D6494704314ADE9A1,,,PAC,Common Sense Colorado PAC,,,,,,PO Box 1978,,Denver,CO,802011978,O2023,Other,2023-08-02,2500.00,,Contribution to Committee,,C00491936,Common Sense Colorado PAC,,,,,,,,,,,,,,,,,,
