form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,dissemination_date,expenditure_amount,disbursement_date,calendar_y_t_d_per_election_office,expenditure_purpose_descrip,category_code,payee_cmtte_fec_id_number,support_oppose_code,candidate_id_number,candidate_last_name,candidate_first_name,candidate_middle_name,candidate_prefix,candidate_suffix,candidate_office,candidate_district,candidate_state,completing_last_name,completing_first_name,completing_middle_name,completing_prefix,completing_suffix,date_signed,memo_code,memo_text_description
SE,C00004036,500019699,,,ORG,FieldCorps,,,,,,49 S Sycamore,Ste 3,Mesa,AZ,852021151,G2024,,2024-09-07,500.00,2024-09-07,1576946.95,Estimated Cost - Voter Canvass Literature,006,,S,P00009423,Harris,Kamala,,,,P,,,Saenz,Rocio,,,,2024-10-20,X,*
SE,C00004036,500019700,,,ORG,FieldCorps,,,,,,49 S Sycamore,Ste 3,Mesa,AZ,852021151,G2024,,2024-09-07,250.00,2024-09-07,13924.00,Estimated Cost - Voter Canvass Literature,006,,S,S4AZ00139,GALLEGO,RUBEN,,,,S,,AZ,Saenz,Rocio,,,,2024-10-20,X,*
SE,C00004036,500019821,,,ORG,FieldCorps,,,,,,49 S Sycamore,Ste 3,Mesa,AZ,852021151,G2024,,2024-09-24,700.00,2024-09-24,1576946.95,Estimated Cost - Canvass Literature,006,,S,P00009423,Harris,Kamala,,,,P,,,Saenz,Rocio,,,,2024-10-20,X,*
SE,C00004036,500019822,,,ORG,FieldCorps,,,,,,49 S Sycamore,Ste 3,Mesa,AZ,852021151,G2024,,2024-09-24,700.00,2024-09-24,13924.00,Estimated Cost - Canvass Literature,006,,S,S4AZ00139,GALLEGO,RUBEN,,,,S,,AZ,Saenz,Rocio,,,,2024-10-20,X,*
SE,C00004036,500019693,,,ORG,M&R Strategic Services,,,,,,1101 Connecticut Ave NW,,Washington,DC,200364303,G2024,,2024-09-05,96000.00,2024-09-05,1576946.95,Estimated Cost - Digital Advertising,004,,S,P00009423,Harris,Kamala,,,,P,,,Saenz,Rocio,,,,2024-10-20,X,*
SE,C00004036,500019713,,,ORG,M&R Strategic Services,,,,,,1101 Connecticut Ave NW,,Washington,DC,200364303,G2024,,2024-09-12,68600.00,2024-09-12,1576946.95,Estimated Cost - Digital Advertising,004,,S,P00009423,Harris,Kamala,,,,P,,,Saenz,Rocio,,,,2024-10-20,X,*
SE,C00004036,500019715,,,ORG,Pennsylvania State Council SEIU,,,,,,1500 N 2nd St,Ste 11,Harrisburg,PA,171011619,G2024,,2024-09-12,7599.00,2024-09-12,148911.67,Estimated Cost - Staff Salaries & Benefits For Canvassing,001,,S,S6PA00217,CASEY JR,ROBERT P,,,,S,,PA,Saenz,Rocio,,,,2024-10-20,
SE,C00004036,500019716,,,ORG,Pennsylvania State Council SEIU,,,,,,1500 N 2nd St,Ste 11,Harrisburg,PA,171011619,G2024,,2024-09-15,131937.67,2024-09-15,148911.67,Estimated Cost - Staff Salaries & Benefits For Canvassing,001,,S,S6PA00217,CASEY JR,ROBERT P,,,,S,,PA,Saenz,Rocio,,,,2024-10-20,
SE,C00004036,500019714,,,ORG,Pennsylvania State Council SEIU,,,,,,1500 N 2nd St,Ste 11,Harrisburg,PA,171011619,G2024,,2024-09-16,9375.00,2024-09-16,148911.67,Estimated Cost - Doorhangers,006,,S,S6PA00217,CASEY JR,ROBERT P,,,,S,,PA,Saenz,Rocio,,,,2024-10-20,
SE,C00004036,500019764,,,ORG,Pennsylvania State Council SEIU,,,,,,1500 N 2nd St,Ste 11,Harrisburg,PA,171011619,G2024,,2024-09-16,9375.00,2024-09-16,1576946.95,Estimated Cost - Doorhangers,006,,S,P00009423,Harris,Kamala,,,,P,,,Saenz,Rocio,,,,2024-10-20,
SE,C00004036,500019765,,,ORG,Pennsylvania State Council SEIU,,,,,,1500 N 2nd St,Ste 11,Harrisburg,PA,171011619,G2024,,2024-09-16,129388.55,2024-09-16,1576946.95,Estimated Cost - Staff Salaries & Benefits For Canvassing,001,,S,P00009423,Harris,Kamala,,,,P,,,Saenz,Rocio,,,,2024-10-20,
SE,C00004036,500019766,,,ORG,Pennsylvania State Council SEIU,,,,,,1500 N 2nd St,Ste 11,Harrisburg,PA,171011619,G2024,,2024-09-16,129388.54,2024-09-16,1576946.95,Estimated Cost - Staff Salaries & Benefits For Canvassing,001,,O,P80001571,TRUMP,DONALD,J.,,,P,,,Saenz,Rocio,,,,2024-10-20,
SE,C00004036,500019970,,,ORG,Red Horse Strategies LLC,,,,,,55 Washington St,Ste 702,Brooklyn,NY,112011063,G2024,,2024-09-29,2397.60,2024-09-29,1576946.95,Estimated Cost - Canvass Literature,006,,S,P00009423,Harris,Kamala,,,,P,,,Saenz,Rocio,,,,2024-10-20,X,*
SE,C00004036,500019794,,,ORG,Scale To Win,,,,,,13742 Harper St,,Santa Ana,CA,927031419,G2024,,2024-09-24,147.00,2024-09-24,1576946.95,Estimated Cost - Phone Calls,001,,S,P00009423,Harris,Kamala,,,,P,,,Saenz,Rocio,,,,2024-10-20,
SE,C00004036,500019818,,,ORG,Scale To Win,,,,,,13742 Harper St,,Santa Ana,CA,927031419,G2024,,2024-09-25,680.05,2024-09-25,1576946.95,Est. Additional Cost for Phone Dialer Disclosed on 10/1 48-HR Rpt.,001,,S,P00009423,Harris,Kamala,,,,P,,,Saenz,Rocio,,,,2024-10-20,
SE,C00004036,500019819,,,ORG,SEIU General Fund,,,,,,1800 Massachusetts Ave NW,,Washington,DC,200361806,G2024,,2024-09-25,990.08,2024-09-25,1576946.95,Estimated Cost - Staff Salaries & Benefits for Phone Banking,001,,S,P00009423,Harris,Kamala,,,,P,,,Saenz,Rocio,,,,2024-10-20,X,*
