form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00852012,SB21B.1,,,ORG,"SOCKO STRATEGIES, LLC",,,,,,1101 30TH ST NW ,STE 125,WASHINGTON,DC,20007,,,2024-07-04,6184.82,,FUNDRAISING CONSULTING / TRAVEL ,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00852012,SB21B.2,,,ORG,WINRED TECHNICAL SERVICES,,,,,,1776 WILSON BLVD SUITE 530,,ARLINGTON,VA,22219,,,2024-07-04,64.00,,CREDIT CARD PROCESSING FEES,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00852012,SB21B.3,,,ORG,WINRED TECHNICAL SERVICES,,,,,,1776 WILSON BLVD SUITE 530,,ARLINGTON,VA,22219,,,2024-07-06,678.40,,CREDIT CARD PROCESSING FEES,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00852012,SB21B.4,,,ORG,WINRED TECHNICAL SERVICES,,,,,,1776 WILSON BLVD SUITE 530,,ARLINGTON,VA,22219,,,2024-07-08,224.00,,CREDIT CARD PROCESSING FEES,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00852012,SB21B.5,,,ORG,WINRED TECHNICAL SERVICES,,,,,,1776 WILSON BLVD SUITE 530,,ARLINGTON,VA,22219,,,2024-07-10,160.00,,CREDIT CARD PROCESSING FEES,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00852012,SB21B.6,,,ORG,"CHALMERS, ADAMS, BACKER, & KAUFMAN, LLC",,,,,,5805 STATE BRIDGE ROAD #G77,,JOHNS CREEK,GA,30097,,,2024-07-11,1420.00,,LEGAL CONSULTING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00852012,SB21B.7,,,ORG,CMDI,,,,,,"1595 SPRING HILL ROAD, SUITE 500",,TYSONS CORNER,VA,22182,,,2024-07-11,120.25,,DATABASE MANAGEMENT,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00852012,SB21B.8,,,ORG,PITTSBURGH VALET,,,,,,461 COCHRAN ROAD,,PITTSBURGH,PA,15228,,,2024-07-11,4275.00,,VALET SERVICES,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00852012,SB21B.9,,,ORG,THE CW GROUP,,,,,,1152 MAE STREET,#129,HUMMELSTOWN,PA,17036,,,2024-07-11,2500.00,,FUNDRAISING CONSULTING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00852012,SB21B.10,,,ORG,WINRED TECHNICAL SERVICES,,,,,,1776 WILSON BLVD SUITE 530,,ARLINGTON,VA,22219,,,2024-07-14,184.00,,CREDIT CARD PROCESSING FEES,,,,,,,,,,,,,  ,,,,,,,
