form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00830620,SB21B.4145,,,ORG,9Seven Consulting,,,,,,PO Box 183,,Hudson,WI,54016,,,2023-03-31,350.00,,Compliance Consulting,001,C00830620,The Montana Way,,,,,,,,,,,,,,,,,
SB21B,C00830620,SB21B.4116,,,ORG,Anedot,,,,,,5555 Hilton Ave,Suite 1770,Baton Rouge,LA,70112,,,2023-01-31,141.20,,Credit Card Fees,001,C00830620,The Montana Way,,,,,,,,,,,,,,,,,
SB21B,C00830620,SB21B.4117,,,ORG,Anedot,,,,,,5555 Hilton Ave,Suite 1770,Baton Rouge,LA,70112,,,2023-02-28,201.50,,Credit Card Fees,001,C00830620,The Montana Way,,,,,,,,,,,,,,,,,
SB21B,C00830620,SB21B.4147,,,ORG,Anedot,,,,,,5555 Hilton Ave,Suite 1770,Baton Rouge,LA,70112,,,2023-03-31,60.60,,Credit Card Fees,001,C00830620,The Montana Way,,,,,,,,,,,,,,,,,
SB21B,C00830620,SB21B.4157,,,ORG,Anedot,,,,,,5555 Hilton Ave,Suite 1770,Baton Rouge,LA,70112,,,2023-04-30,60.60,,Credit Card Fees,001,C00830620,The Montana Way,,,,,,,,,,,,,,,,,
SB21B,C00830620,SB21B.4165,,,ORG,Anedot,,,,,,5555 Hilton Ave,Suite 1770,Baton Rouge,LA,70112,,,2023-05-31,40.30,,Credit Card Fees,001,C00830620,The Montana Way,,,,,,,,,,,,,,,,,
SB21B,C00830620,SB21B.4172,,,ORG,Anedot,,,,,,5555 Hilton Ave,Suite 1770,Baton Rouge,LA,70112,,,2023-06-30,421.80,,Credit Card Fees,001,C00830620,The Montana Way,,,,,,,,,,,,,,,,,
SB21B,C00830620,SB21B.4149,,,ORG,"AxCapital, LLC",,,,,,800 W 47th St,Ste 200,Kansas City,MO,64112,,,2023-04-06,500.00,,Compliance Consulting,001,C00830620,The Montana Way,,,,,,,,,,,,,,,,,
SB21B,C00830620,SB21B.4163,,,ORG,"AxCapital, LLC",,,,,,800 W 47th St,Ste 200,Kansas City,MO,64112,,,2023-05-10,300.00,,Compliance Consulting,001,C00830620,The Montana Way,,,,,,,,,,,,,,,,,
SB21B,C00830620,SB21B.4168,,,ORG,"AxCapital, LLC",,,,,,800 W 47th St,Ste 200,Kansas City,MO,64112,,,2023-06-04,550.00,,Compliance Consulting,001,C00830620,The Montana Way,,,,,,,,,,,,,,,,,
SB21B,C00830620,SB21B.4101,,,ORG,McShane LLC,,,,,,6950 Obannon Drive,Ste 100,Las Vegas,NV,89117,,,2023-01-21,1500.00,,Website,001,C00830620,The Montana Way,,,,,,,,,,,,,,,,,
SB21B,C00830620,SB21B.4141,,,ORG,McShane LLC,,,,,,6950 Obannon Drive,Ste 100,Las Vegas,NV,89117,,,2023-01-30,12.17,,Website,001,C00830620,The Montana Way,,,,,,,,,,,,,,,,,
SB21B,C00830620,SB21B.4140,,,ORG,McShane LLC,,,,,,6950 Obannon Drive,Ste 100,Las Vegas,NV,89117,,,2023-03-07,300.00,,Website,001,C00830620,The Montana Way,,,,,,,,,,,,,,,,,
SB21B,C00830620,SB21B.4142,,,ORG,McShane LLC,,,,,,6950 Obannon Drive,Ste 100,Las Vegas,NV,89117,,,2023-03-23,99.99,,Email,001,C00830620,The Montana Way,,,,,,,,,,,,,,,,,
SB21B,C00830620,SB21B.4156,,,ORG,McShane LLC,,,,,,6950 Obannon Drive,Ste 100,Las Vegas,NV,89117,,,2023-03-31,5000.00,,Web Ads 4/21/2023,001,C00830620,The Montana Way,,,,,,,,,,,,,,,,,
SB21B,C00830620,SB21B.4162,,,ORG,McShane LLC,,,,,,6950 Obannon Drive,Ste 100,Las Vegas,NV,89117,,,2023-05-05,99.99,,Website,001,C00830620,The Montana Way,,,,,,,,,,,,,,,,,
SB21B,C00830620,SB21B.4164,,,ORG,McShane LLC,,,,,,6950 Obannon Drive,Ste 100,Las Vegas,NV,89117,,,2023-05-26,149.00,,Emails,001,C00830620,The Montana Way,,,,,,,,,,,,,,,,,
SB21B,C00830620,SB21B.4171,,,ORG,McShane LLC,,,,,,6950 Obannon Drive,Ste 100,Las Vegas,NV,89117,,,2023-06-26,149.00,,Website,001,C00830620,The Montana Way,,,,,,,,,,,,,,,,,
