form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00871236,SB21B.4187,,,ORG,NORTHEAST STRATEGIES LLC,,,,,,P.O BOX. 1392,,MARBLEHEAD,MA,01945,,,2024-09-27,2341.25,,FUNDRAISING CONSULTING,,,,,,,,,,,,,,,,,,,,
SB21B,C00871236,SB21B.4160,,,ORG,"RED CURVE SOLUTIONS, LLC",,,,,,"138 CONANT ST, STE 401",,BEVERLY,MA,01915,,,2024-07-02,1500.00,,COMPLIANCE CONSULTING,,,,,,,,,,,,,,,,,,,,
SB21B,C00871236,SB21B.4173,,,ORG,"RED CURVE SOLUTIONS, LLC",,,,,,"138 CONANT ST, STE 401",,BEVERLY,MA,01915,,,2024-08-14,1504.36,,COMPLIANCE CONSULTING,,,,,,,,,,,,,,,,,,,,
SB21B,C00871236,SB21B.4174,,,ORG,"RED CURVE SOLUTIONS, LLC",,,,,,"138 CONANT ST, STE 401",,BEVERLY,MA,01915,,,2024-08-19,2.56,,POSTAGE,,,,,,,,,,,,,,,,,,,,
SB21B,C00871236,SB21B.4186,,,ORG,"RED CURVE SOLUTIONS, LLC",,,,,,"138 CONANT ST, STE 401",,BEVERLY,MA,01915,,,2024-09-25,1500.00,,COMPLIANCE CONSULTING,,,,,,,,,,,,,,,,,,,,
SB21B,C00871236,SB21B.4213,,,ORG,SPOT HERO,,,,,,125 S CLARK STREET,#1300,CHICAGO,IL,60603,,,2024-09-26,34.29,,TRAVEL:PARKING,,,,,,,,,,,,,,,,,,,,
SB21B,C00871236,SB21B.4214,,,ORG,SPOT HERO,,,,,,125 S CLARK STREET,#1300,CHICAGO,IL,60603,,,2024-09-27,30.86,,TRAVEL: PARKING,,,,,,,,,,,,,,,,,,,,
SB21B,C00871236,SB21B.4215,,,ORG,SPOT HERO,,,,,,125 S CLARK STREET,#1300,CHICAGO,IL,60603,,,2024-09-30,32.97,,TRAVEL:PARKING,,,,,,,,,,,,,,,,,,,,
SB21B,C00871236,SB21B.4157,,,ORG,THE INN AT HASTINGS PARK,,,,,,2027 MASSACHUSETTS AVE,,LEXINGTON,MA,02421,,,2024-07-17,4500.00,,FACILITIES RENTAL/CATERING SERVICES,,,,,,,,,,,,,,,,,,,,
SB21B,C00871236,SB21B.4159,,,ORG,THE INN AT HASTINGS PARK,,,,,,2027 MASSACHUSETTS AVE,,LEXINGTON,MA,02421,,,2024-07-25,1968.29,,FACILITIES RENTAL/CATERING SERVICES,,,,,,,,,,,,,,,,,,,,
SB21B,C00871236,SB21B.4153,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22209,,,2024-07-22,32.00,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00871236,SB21B.4154,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22209,,,2024-07-23,48.00,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00871236,SB21B.4155,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22209,,,2024-07-31,80.00,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00871236,SB21B.4191,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22209,,,2024-09-10,32.00,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00871236,SB21B.4194,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22209,,,2024-09-11,108.80,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00871236,SB21B.4200,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22209,,,2024-09-18,109.09,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00871236,SB21B.4201,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22209,,,2024-09-19,105.60,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00871236,SB21B.4211,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22209,,,2024-09-25,336.00,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
