form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00830687,500917635,,,ORG,3Rd Street Market Hall,,,,,,275 W Wisconsin Ave,Ste 100,Milwaukee,WI,532033304,P2024,,2024-02-16,1077.27,0.00,Fundraising Event Catering,,,,,,,,,,,,,,,,,,,,
SB21B,C00830687,500916320,,,ORG,ActBlue,,,,,,PO Box 441146,,West Somerville,MA,021440031,,,2024-01-07,1410.17,0.00,credit card processing,,,,,,,,,,,,,,,,,,,,
SB21B,C00830687,500916321,,,ORG,ActBlue,,,,,,PO Box 441146,,West Somerville,MA,021440031,,,2024-01-14,805.84,0.00,credit card processing,,,,,,,,,,,,,,,,,,,,
SB21B,C00830687,500916322,,,ORG,ActBlue,,,,,,PO Box 441146,,West Somerville,MA,021440031,,,2024-01-21,487.34,0.00,credit card processing,,,,,,,,,,,,,,,,,,,,
SB21B,C00830687,500916323,,,ORG,ActBlue,,,,,,PO Box 441146,,West Somerville,MA,021440031,,,2024-01-28,803.00,0.00,credit card processing,,,,,,,,,,,,,,,,,,,,
SB21B,C00830687,500916324,,,ORG,ActBlue,,,,,,PO Box 441146,,West Somerville,MA,021440031,,,2024-01-31,625.73,0.00,credit card processing,,,,,,,,,,,,,,,,,,,,
SB21B,C00830687,500916325,,,ORG,ActBlue,,,,,,PO Box 441146,,West Somerville,MA,021440031,,,2024-02-04,722.17,0.00,credit card processing,,,,,,,,,,,,,,,,,,,,
SB21B,C00830687,500916326,,,ORG,ActBlue,,,,,,PO Box 441146,,West Somerville,MA,021440031,,,2024-02-11,580.63,0.00,credit card processing,,,,,,,,,,,,,,,,,,,,
SB21B,C00830687,500916327,,,ORG,ActBlue,,,,,,PO Box 441146,,West Somerville,MA,021440031,,,2024-02-18,1367.96,0.00,credit card processing,,,,,,,,,,,,,,,,,,,,
SB21B,C00830687,500916328,,,ORG,ActBlue,,,,,,PO Box 441146,,West Somerville,MA,021440031,,,2024-02-25,1989.21,0.00,credit card processing,,,,,,,,,,,,,,,,,,,,
