form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00828608,SB21B.5424,,,ORG,Ascent Media LLC,,,,,,7600 E Eastman Ave,Ste 405,Denver,CO,80231,,,2024-03-01,7500.00,,PAC Strategy Consulting,,,,,,,,,,,,,,,,,,,,
SB21B,C00828608,SB21B.5502,,,ORG,CCR Strategies LLC,,,,,,3609 Cloudland Drive,,Atlanta,GA,30327,,,2024-03-14,588.20,,PAC Fundraising Consulting,,,,,,,,,,,,,,,,,,,,
SB21B,C00828608,SB21B.5488,,,ORG,CCR Strategies LLC,,,,,,3609 Cloudland Drive,,Atlanta,GA,30327,,,2024-03-15,2500.00,,PAC Fundraising Consulting,,,,,,,,,,,,,,,,,,,,
SB21B,C00828608,SB21B.5501,,,ORG,CCR Strategies LLC,,,,,,3609 Cloudland Drive,,Atlanta,GA,30327,,,2024-03-20,10000.00,,PAC Event Facility Rental,,,,,,,,,,,,,,,,,,,,
SB21B,C00828608,SB21B.5425,,,ORG,Drucker Lawhon LLP,,,,,,530 10th Street NE,,Washington,DC,20002,,,2024-03-01,5000.00,,PAC Fundraising Consulting,,,,,,,,,,,,,,,,,,,,
SB21B,C00828608,SB21B.5517,,,ORG,Professional Data Services,,,,,,824 S. Milledge Ave.,Ste. 101,Athens,GA,30605,,,2024-03-26,2542.64,,PAC Compliance Consulting,,,,,,,,,,,,,,,,,,,,
SB21B,C00828608,SB21B.5426,,,ORG,Repubclick,,,,,,PO Box 570532,,Atlanta,GA,30357,,,2024-03-01,3000.00,,PAC Digital Consulting,,,,,,,,,,,,,,,,,,,,
SB21B,C00828608,SB21B.5485,,,ORG,"Winred Technical Services, LLC",,,,,,1776 Wilson Blvd Ste 530,,Arlington,VA,22209,,,2024-03-11,4.53,,PAC CC Transaction Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00828608,SB21B.5500,,,ORG,"Winred Technical Services, LLC",,,,,,1776 Wilson Blvd Ste 530,,Arlington,VA,22209,,,2024-03-18,33.42,,PAC CC Transaction Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00828608,SB21B.5510,,,ORG,"Winred Technical Services, LLC",,,,,,1776 Wilson Blvd Ste 530,,Arlington,VA,22209,,,2024-03-25,3.32,,PAC CC Transaction Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00828608,SB21B.5524,,,ORG,"Winred Technical Services, LLC",,,,,,1776 Wilson Blvd Ste 530,,Arlington,VA,22209,,,2024-03-31,4.97,,PAC CC Transaction Fees,,,,,,,,,,,,,,,,,,,,
