form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00776526,SB21B.1042788,,,ORG,"CHAIN BRIDGE BANK, N.A.",,,,,,1445-A LAUGHLIN AVE,,MCLEAN,VA,22101,,,2024-12-18,35.00,,BANK FEES
SB21B,C00776526,SB21B.1042784,,,ORG,PITNEY BOWES,,,,,,PO BOX 371874,,PITTSBURGH,PA,15250,,,2024-12-18,19.61,,POSTAGE EXPENSE
SB21B,C00776526,SB21B.1040433,,,ORG,"RED CURVE SOLUTIONS, LLC",,,,,,138 CONANT ST,STE 401,BEVERLY,MA,01915,,,2024-12-03,1012.73,,COMPLIANCE CONSULTING
SB21B,C00776526,SB21B.1040733,,,ORG,"STACY E. WIGGINS, CPA, PC",,,,,,1409 ASHLEY RIVER ROAD,,CHARLESTON,SC,29407,,,2024-12-04,3000.00,,TREASURER SERVICES
SB21B,C00776526,SB21B.1039996,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2024-11-27,1.47,,MERCHANT FEES
SB21B,C00776526,SB21B.1040105,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2024-11-29,4.85,,MERCHANT FEES
SB21B,C00776526,SB21B.1040325,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2024-12-02,0.29,,MERCHANT FEES
SB21B,C00776526,SB21B.1040636,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2024-12-03,2.40,,MERCHANT FEES
SB21B,C00776526,SB21B.1040880,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2024-12-04,4.52,,MERCHANT FEES
SB21B,C00776526,SB21B.1043654,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2024-12-30,35.83,,MERCHANT FEES
SB21B,C00776526,SB21B.1043895,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2024-12-31,0.08,,MERCHANT FEES
