form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB29,C00682211,500082055,,,ORG,Adobe,,,,,,345 Park Ave,,San Jose,CA,951102704,,,2024-09-23,33.09,0.00,Software,,,,,,,,,,,,,,,,,,,,Non-Contribution Account
SB29,C00682211,500082051,,,ORG,Bank of America,,,,,,100 N Tryon St,,Charlotte,NC,282022135,,,2024-09-03,15.00,0.00,Bank Fee,,,,,,,,,,,,,,,,,,,,Non-Contribution Account
SB29,C00682211,500082052,,,ORG,Bank of America,,,,,,100 N Tryon St,,Charlotte,NC,282022135,,,2024-09-16,34.76,0.00,"Credit Card Payment, See Below",,,,,,,,,,,,,,,,,,,,Non-Contribution Account
SB29,C00682211,500082257,,,ORG,Bank of America,,,,,,100 N Tryon St,,Charlotte,NC,282022135,,,2024-09-16,2055.58,0.00,"Credit Card Payment, See Below",,,,,,,,,,,,,,,,,,,,
SB29,C00682211,500082256,500082257,SB29,ORG,Marriott International,,,,,,7750 Wisconsin Ave,,Bethesda,MD,208143522,,,2024-09-16,2055.58,0.00,Non-Federal In-kind Travel to Ohio Democratic Party,,,,,,,,,,,,,,,,,,,X,*
SB29,C00682211,500082207,,,ORG,Bank of America,,,,,,100 N Tryon St,,Charlotte,NC,282022135,,,2024-09-30,379.55,0.00,"Credit Card Payment, See Below",,,,,,,,,,,,,,,,,,,,Non-Contribution Account
SB29,C00682211,500082208,500082207,SB29,ORG,Holiday Inn,,,,,,3 Ravinia Dr,Ste 100,Atlanta,GA,303462121,,,2024-09-30,379.55,0.00,Non-Federal in-kind Travel to Maria Beltran for State Senate (WA-14),,,,,,,,,,,,,,,,,,,X,*
SB29,C00682211,500082237,,,ORG,Bank of America,,,,,,100 N Tryon St,,Charlotte,NC,282022135,,,2024-09-30,7951.47,0.00,"Credit Card Payment, See Below",,,,,,,,,,,,,,,,,,,,
SB29,C00682211,500082240,500082237,SB29,ORG,Alaska Airlines,,,,,,19300 International Blvd,,Seatac,WA,981885304,,,2024-09-30,2749.49,0.00,Non-Federal In-Kind Travel to PA Democratic Party,,,,,,,,,,,,,,,,,,,X,*
SB29,C00682211,500082243,500082237,SB29,ORG,Alaska Airlines,,,,,,19300 International Blvd,,Seatac,WA,981885304,,,2024-09-30,530.39,0.00,Non-Federal In-Kind Travel to Nevada Democratic Party,,,,,,,,,,,,,,,,,,,X,*
SB29,C00682211,500082247,500082237,SB29,ORG,Alaska Airlines,,,,,,19300 International Blvd,,Seatac,WA,981885304,,,2024-09-30,105.41,0.00,Non-Federal In-Kind Travel to Ohio Democratic Party,,,,,,,,,,,,,,,,,,,X,*
SB29,C00682211,500082249,500082237,SB29,ORG,Alaska Airlines,,,,,,19300 International Blvd,,Seatac,WA,981885304,,,2024-09-30,733.62,0.00,Non-Federal In-Kind Travel to Arizona Democratic Party,,,,,,,,,,,,,,,,,,,X,*
SB29,C00682211,500082250,500082237,SB29,ORG,American Airlines,,,,,,1 Skyview Dr,,Fort Worth,TX,761551801,,,2024-09-30,242.60,0.00,Non-Federal In-Kind Travel to Arizona Democratic Party,,,,,,,,,,,,,,,,,,,X,*
SB29,C00682211,500082251,500082237,SB29,ORG,American Airlines,,,,,,1 Skyview Dr,,Fort Worth,TX,761551801,,,2024-09-30,697.95,0.00,Non-Federal In-Kind Travel to Michigan Democratic Party,,,,,,,,,,,,,,,,,,,X,*
SB29,C00682211,500082238,500082237,SB29,ORG,Delta Airlines,,,,,,1030 Delta Blvd,,Atlanta,GA,303541989,,,2024-09-30,753.68,0.00,Non-Federal In-Kind Travel to PA Democratic Party,,,,,,,,,,,,,,,,,,,X,*
SB29,C00682211,500082242,500082237,SB29,ORG,Delta Airlines,,,,,,1030 Delta Blvd,,Atlanta,GA,303541989,,,2024-09-30,302.21,0.00,Non-Federal In-Kind Travel to Nevada Democratic Party,,,,,,,,,,,,,,,,,,,X,*
SB29,C00682211,500082245,500082237,SB29,ORG,Delta Airlines,,,,,,1030 Delta Blvd,,Atlanta,GA,303541989,,,2024-09-30,332.21,0.00,Non-Federal In-Kind Travel to Wisconsin Democratic Party,,,,,,,,,,,,,,,,,,,X,*
SB29,C00682211,500082248,500082237,SB29,ORG,Delta Airlines,,,,,,1030 Delta Blvd,,Atlanta,GA,303541989,,,2024-09-30,112.49,0.00,Non-Federal In-Kind Travel to Arizona Democratic Party,,,,,,,,,,,,,,,,,,,X,*
SB29,C00682211,500082252,500082237,SB29,ORG,Delta Airlines,,,,,,1030 Delta Blvd,,Atlanta,GA,303541989,,,2024-09-30,463.47,0.00,Non-Federal In-Kind Travel to Michigan Democratic Party,,,,,,,,,,,,,,,,,,,X,*
SB29,C00682211,500082239,500082237,SB29,ORG,Southwest Airlines,,,,,,2702 Love Field Dr,,Dallas,TX,752351908,,,2024-09-30,253.18,0.00,Non-Federal In-Kind Travel to PA Democratic Party,,,,,,,,,,,,,,,,,,,X,*
SB29,C00682211,500082244,500082237,SB29,ORG,Southwest Airlines,,,,,,2702 Love Field Dr,,Dallas,TX,752351908,,,2024-09-30,320.61,0.00,Non-Federal In-Kind Travel to Wisconsin Democratic Party,,,,,,,,,,,,,,,,,,,X,*
SB29,C00682211,500082241,500082237,SB29,ORG,United Airlines,,,,,,233 S Wacker Dr,,Chicago,IL,606067147,,,2024-09-30,44.36,0.00,Non-Federal In-Kind Travel to Nevada Democratic Party,,,,,,,,,,,,,,,,,,,X,*
