form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB29,C00004036,500019021,,,ORG,"Corsair Communications, LLC",,,,,,8244 Boone Trce,,Nashville,TN,372216540,,,2024-01-18,19000.00,0.00,"Digital Advertising Production for Houston, TX Non-Federal Election",,,,,,,,,,,,,,,,,,,,
SB29,C00004036,500019022,,,ORG,Red Horse Strategies LLC,,,,,,55 Washington St,Ste 702,Brooklyn,NY,112011063,,,2024-01-18,36313.00,0.00,Digital/Radio Ad Buys & Doorhangers for Charlotte City Council Elections,,,,,,,,,,,,,,,,,,,,
SB29,C00004036,500019018,,,ORG,Scale To Win,,,,,,13742 Harper St,,Santa Ana,CA,927031419,,,2024-01-16,316.12,0.00,Dialer Fees for Non-Federal Text Messaging Services,,,,,,,,,,,,,,,,,,,,
SB29,C00004036,500018935,,,ORG,SEIU General Fund,,,,,,1800 Massachusetts Ave NW,,Washington,DC,200361806,,,2024-01-11,4993.95,0.00,Transfer of Mis-Deposit to Connected Organization,,,,,,,,,,,,,,,,,,,,
SB29,C00004036,500018992,,,ORG,SEIU General Fund,,,,,,1800 Massachusetts Ave NW,,Washington,DC,200361806,,,2024-01-22,556.67,0.00,Transfer of Mis-Deposit To Connected Organization,,,,,,,,,,,,,,,,,,,,
SB29,C00004036,500019028,,,ORG,SEIU General Fund,,,,,,1800 Massachusetts Ave NW,,Washington,DC,200361806,,,2024-01-23,9031.77,0.00,Transfer of Mis-Deposit To Connected Organization,,,,,,,,,,,,,,,,,,,,
SB29,C00004036,500018959,,,ORG,SEIU General Fund,,,,,,1800 Massachusetts Ave NW,,Washington,DC,200361806,,,2024-01-26,81.50,0.00,Transfer of Mis-Deposit To Connected Organization,,,,,,,,,,,,,,,,,,,,
SB29,C00004036,500018997,,,ORG,SEIU General Fund,,,,,,1800 Massachusetts Ave NW,,Washington,DC,200361806,,,2024-01-30,42348.52,0.00,Transfer of Mis-Deposit to Connected Organization,,,,,,,,,,,,,,,,,,,,
SB29,C00004036,500018937,,,ORG,SEIU Local 1 Political Education Committee,,,,,,111 E Wacker Dr,Ste 2500,Chicago,IL,606014200,,,2024-01-23,175895.67,0.00,Non-Federal Contribution,,,,,,,,,,,,,,,,,,,,
SB29,C00004036,500018928,,,ORG,SEIU Local 221 Independent Expenditure PAC,,,,,,420 Montgomery St,,San Francisco,CA,941041207,,,2024-01-04,55229.46,0.00,Non-Federal Contribution,,,,,,,,,,,,,,,,,,,,
SB29,C00004036,500018936,,,ORG,SEIU Local 221 Independent Expenditure PAC,,,,,,420 Montgomery St,,San Francisco,CA,941041207,,,2024-01-18,63253.53,0.00,Non-Federal Contribution,,,,,,,,,,,,,,,,,,,,
