form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00763797,SB21B.47101,,,ORG,A&R PROTECTION SERVICES LLC,,,,,,1913 W BALTIMORE ST,APT F,BALTIMORE,MD,21223,,,2024-01-03,1500.00,,EVENT EXPENSE: SECURITY SERVICES,,,,,,,,,,,,,,,,,,,,
SB21B,C00763797,SB21B.47157,,,ORG,COMCAST,,,,,,1701 JFK BOULEVARD,,PHILADELPHIA,PA,19103,,,2024-01-04,1259.65,,BROADBAND SERVICES,,,,,,,,,,,,,,,,,,,,
SB21B,C00763797,SB21B.47158,,,ORG,COMCAST,,,,,,1701 JFK BOULEVARD,,PHILADELPHIA,PA,19103,,,2024-02-16,417.67,,BROADBAND SERVICES,,,,,,,,,,,,,,,,,,,,
SB21B,C00763797,SB21B.47159,,,ORG,COMCAST,,,,,,1701 JFK BOULEVARD,,PHILADELPHIA,PA,19103,,,2024-03-18,450.79,,BROADBAND SERVICES,,,,,,,,,,,,,,,,,,,,
SB21B,C00763797,SB21B.47161,,,ORG,"CONSTANT CONTACT, INC.",,,,,,1601 TRAPELO ROAD,,WALTHAM,MA,02451,,,2024-02-23,116.88,,SOFTWARE SUBSCRIPTION,,,,,,,,,,,,,,,,,,,,
SB21B,C00763797,SB21B.47162,,,ORG,"CONSTANT CONTACT, INC.",,,,,,1601 TRAPELO ROAD,,WALTHAM,MA,02451,,,2024-03-25,116.88,,SOFTWARE SUBSCRIPTION,,,,,,,,,,,,,,,,,,,,
SB21B,C00763797,SB21B.47169,,,ORG,DELTA AIR LINES,,,,,,1030 DELTA BOULEVARD,,ATLANTA,GA,30354,,,2024-01-07,508.20,,TRAVEL: AIR,,,,,,,,,,,,,,,,,,,,
SB21B,C00763797,SB21B.47107,,,IND,,FAHMY,ALEXANDER,,,,21392 TOWN LAKES DR,APT #1033,BOCA RATON,FL,33486,,,2024-01-17,1500.00,,EVENT CONSULTING,,,,,,,,,,,,,,,,,,,,
SB21B,C00763797,SB21B.47176,,,ORG,"FRUIT FLY, INC.",,,,,,9000 SUNSET BLVD,#709,WEST HOLLYWOOD,CA,90069,,,2024-01-04,1500.00,,FUNDRAISING EXPENSE: ENTERTAINMENT,,,,,,,,,,,,,,,,,,,,
SB21B,C00763797,SB21B.47177,,,ORG,"FRUIT FLY, INC.",,,,,,9000 SUNSET BLVD,#709,WEST HOLLYWOOD,CA,90069,,,2024-01-12,6000.00,,FUNDRAISING EXPENSE: ENTERTAINMENT,,,,,,,,,,,,,,,,,,,,
SB21B,C00763797,SB21B.47184,,,ORG,GODADDY.COM,,,,,,14455 NORTH HAYDEN RD,STE 219,SCOTTSDALE,AZ,85260,,,2024-03-25,11.65,,WEB HOSTING,,,,,,,,,,,,,,,,,,,,
