form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB29,C00160986,SB29.12675,,,CCM,Alma for Arizona,,,,,,5158 S. 17th Ave,,Tucson,AZ,85706,,,2023-11-02,300.00,,Candidate for AZ State House of Representatives,011,,Alma for Arizona,,Hernandez,Alma,,,,,,,,,,,,,,
SB29,C00160986,SB29.12696,,,CCM,Bennett for Senate,,,,,,2150 Ewin Drive,,Prescott,AZ,86305,,,2023-11-14,400.00,,Candidate for AZ State Senate,011,,Bennett for Senate,,Bennett,Ken,,,,,,,,,,,,,,
SB29,C00160986,SB29.12694,,,CCM,Catherine Miranda for State Senate,,,,,,5412 W. Ellis Drive,,Laveen,AZ,85339,,,2023-11-14,300.00,,Candidate for AZ State Senate,011,,Catherine Miranda for State Senate,,Miranda,Catherine,,,,,,,,,,,,,,
SB29,C00160986,SB29.12705,,,CCM,Cesar Aguilar for State Representative - District 26,,,,,,2201 W. Hayward Ave.,,Phoenix,AZ,85021,,,2023-11-29,300.00,,Candidate for AZ State House of Representatives,011,,Cesar Aguilar for State Representative - District 26,,Aguilar,Cesar,,,,,,,,,,,,,,
SB29,C00160986,SB29.12711,,,CCM,Conservatives for Diaz,,,,,,P.O. Box 58,,Benson,AZ,85602,,,2023-11-29,300.00,,Candidate for AZ House of Representatives,011,,Conservatives for Diaz,,Diaz,Lupe,,,,,,,,,,,,,,
SB29,C00160986,SB29.12676,,,CCM,Consuelo for Arizona,,,,,,2230 E. Nevada Street,,Tucson,AZ,85706,,,2023-11-02,300.00,,Candidate for AZ State House of Representatives,011,,Consuelo for Arizona,,Hernandez,Consuelo,,,,,,,,,,,,,,
SB29,C00160986,SB29.12681,,,CCM,Contreras for House,,,,,,12204 West Mohave St,,Avondale,AZ,85323,,,2023-11-02,500.00,,Candidate for AZ State House of Representatives,011,,Contreras for House,,Contreras,Lupe,,,,,,,,,,,,,,
SB29,C00160986,SB29.12691,,,CCM,Eva Diaz for State Senate LD 22,,,,,,901 N. Christa Way,,Tolleson,AZ,85353,,,2023-11-14,300.00,,Candidate for AZ State Senate,011,,Eva Diaz for State Senate LD 22,,Diaz,Eva,,,,,,,,,,,,,,
SB29,C00160986,SB29.12712,,,CCM,Gowan for Senate,,,,,,PO Box 1985,,Sierra Vista,AZ,85636,,,2023-11-29,400.00,,Candidate for AZ State Senate,011,,Gowan for Senate,,Gowan,David,,,,,,,,,,,,,,
SB29,C00160986,SB29.12699,,,CCM,Griffin for House 2024,,,,,,P.O. Box 628,,Hereford,AZ,85615,,,2023-11-14,400.00,,Candidate for AZ State House of Representatives,011,,Griffin for House 2024,,Griffin,Gail,,,,,,,,,,,,,,
SB29,C00160986,SB29.12682,,,CCM,Jeff for AZ,,,,,,1360 S. Camellia Ct.,,Chandler,AZ,85286,,,2023-11-02,300.00,,Candidate for AZ State House of Representatives,011,,Jeff for AZ,,Weninger,Jeff,,,,,,,,,,,,,,
SB29,C00160986,SB29.12701,,,CCM,Quang Nguyen for State Representative - District 1,,,,,,1975 N Fence Line Drive,,Prescott Valley,AZ,86314,,,2023-11-14,300.00,,Candidate for AZ State House of Representatives,011,,Quang Nguyen for State Representative - District 1,,Nguyen,Quang,,,,,,,,,,,,,,
SB29,C00160986,SB29.12702,,,CCM,Selina Bliss,,,,,,1560 Sportsfan Court,,Prescott,AZ,86301,,,2023-11-14,300.00,,Candidate for AZ House of Representatives,011,,Selina Bliss,,Bliss,Selina,,,,,,,,,,,,,,
SB29,C00160986,SB29.12684,,,CCM,Vote Mesnard,,,,,,1427 W Homestead Ct,,Chandler,AZ,85286,,,2023-11-02,500.00,,Candidate for AZ State Senate,011,,Vote Mesnard,,Mesnard,J.D.,,,,,,,,,,,,,,
