form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB29,C00489252,SB29.7592,,,ORG,Allegra Print & Imaging,,,,,,114 Lisle Industrial Ave,,Lexington,KY,40511,G2024,,2024-10-21,2410.43,,postcard printing and postage for local candidates in KY,004,,,,,,,,,,,,,,,,,,,
SB29,C00489252,SB29.7603,,,ORG,Fed Ex - NKY,,,,,,2412 Baxter Ave,,Crescent Springs,KY,41017,G2024,,2024-10-17,378.95,,flyers for state & local candidates in KY,004,,,,,,,,,,,,,,,,,,,
SB29,C00489252,SB29.7622,,,ORG,Get Thru,,,,,,PO Box 2690,,Alameda,CA,94501,G2024,,2024-10-31,3856.02,,texting service for state & local candidates,004,,,,,,,,,,,,,,,,,,,
SB29,C00489252,SB29.7623,,,ORG,Get Thru,,,,,,PO Box 2690,,Alameda,CA,94501,G2024,,2024-11-21,425.00,,text banking platform,,,,,,,,,,,,,,,,,,,,
SB29,C00489252,SB29.7597,,,ORG,Meta for Business (Facebook),,,,,,1 Meta Way,,Menlo Park,CA,94025,G2024,,2024-10-19,736.44,,facebook ads for state & local candidates in KY,004,,,,,,,,,,,,,,,,,,,
SB29,C00489252,SB29.7598,,,ORG,Meta for Business (Facebook),,,,,,1 Meta Way,,Menlo Park,CA,94025,G2024,,2024-10-20,720.99,,facebook ads for state & local candidates in KY,004,,,,,,,,,,,,,,,,,,,
SB29,C00489252,SB29.7594,,,ORG,Meta for Business (Facebook),,,,,,1 Meta Way,,Menlo Park,CA,94025,G2024,,2024-10-22,728.83,,facebook ads for state & local candidates in KY,004,,,,,,,,,,,,,,,,,,,
SB29,C00489252,SB29.7590,,,ORG,Meta for Business (Facebook),,,,,,1 Meta Way,,Menlo Park,CA,94025,G2024,,2024-10-23,853.01,,facebook ads for state and local candidates in KY,004,,,,,,,,,,,,,,,,,,,
SB29,C00489252,SB29.7587,,,ORG,Meta for Business (Facebook),,,,,,1 Meta Way,,Menlo Park,CA,94025,G2024,,2024-10-25,868.06,,facebook ads for state and local candidates in KY,004,,,,,,,,,,,,,,,,,,,
SB29,C00489252,SB29.7586,,,ORG,Meta for Business (Facebook),,,,,,1 Meta Way,,Menlo Park,CA,94025,G2024,,2024-10-26,878.44,,facebook ads for state and local candidates in KY,004,,,,,,,,,,,,,,,,,,,
SB29,C00489252,SB29.7616,,,ORG,Meta for Business (Facebook),,,,,,1 Meta Way,,Menlo Park,CA,94025,G2024,,2024-10-28,392.28,,facebook ads for state & local candidates,004,,,,,,,,,,,,,,,,,,,
SB29,C00489252,SB29.7617,,,ORG,Meta for Business (Facebook),,,,,,1 Meta Way,,Menlo Park,CA,94025,G2024,,2024-10-28,899.34,,facebook ads for state & local candidates,004,,,,,,,,,,,,,,,,,,,
SB29,C00489252,SB29.7615,,,ORG,Meta for Business (Facebook),,,,,,1 Meta Way,,Menlo Park,CA,94025,G2024,,2024-10-30,900.00,,facebook ads for state & local candidates,004,,,,,,,,,,,,,,,,,,,
SB29,C00489252,SB29.7612,,,ORG,Meta for Business (Facebook),,,,,,1 Meta Way,,Menlo Park,CA,94025,G2024,,2024-11-01,900.00,,facebook ads for state & local candidates,004,,,,,,,,,,,,,,,,,,,
SB29,C00489252,SB29.7611,,,ORG,Meta for Business (Facebook),,,,,,1 Meta Way,,Menlo Park,CA,94025,G2024,,2024-11-02,900.00,,facebook ads for state & local candidates,004,,,,,,,,,,,,,,,,,,,
SB29,C00489252,SB29.7610,,,ORG,Meta for Business (Facebook),,,,,,1 Meta Way,,Menlo Park,CA,94025,G2024,,2024-11-04,900.00,,facebook ads for state & local candidates,004,,,,,,,,,,,,,,,,,,,
SB29,C00489252,SB29.7609,,,ORG,Meta for Business (Facebook),,,,,,1 Meta Way,,Menlo Park,CA,94025,G2024,,2024-11-05,887.35,,facebook ads for state and local candidates,004,,,,,,,,,,,,,,,,,,,
SB29,C00489252,SB29.7601,,,ORG,Office Depot - Shelbyville Rd,,,,,,4515 Shelbyville Rd,,Louisville,KY,40207,G2024,,2024-10-17,1526.89,,flyers for state & local candidates in KY,004,,,,,,,,,,,,,,,,,,,
