form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00469429,SB21B.I57743,,,ORG,AMERICAN EXPRESS,,,,,,P.O. BOX 1270,,NEWARK,NJ,07101,,,2023-06-26,2174.90,,CREDIT CARD PAYMENT,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00469429,SB21B.I57747,SB21B.I57743,SB21B,ORG,UNITED AIRLINES,,,,,,233 SOUTH WACKER DRIVE,,CHICAGO,IL,60606,,,2023-06-12,1787.90,,AIRFARE,,,,,,,,,,,,,  ,,,,,,X,
SB21B,C00469429,SB21B.I51596,,,ORG,"ANEDOT, INC.",,,,,,1340 POYDRAS STREET,SUITE 1770,NEW ORLEANS,LA,70112,,,2023-02-15,148.30,,CREDIT CARD MERCHANT FEE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00469429,SB21B.I52640,,,ORG,"ANEDOT, INC.",,,,,,1340 POYDRAS STREET,SUITE 1770,NEW ORLEANS,LA,70112,,,2023-02-27,20.30,,CREDIT CARD MERCHANT FEE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00469429,SB21B.I57738,,,ORG,"ANEDOT, INC.",,,,,,1340 POYDRAS STREET,SUITE 1770,NEW ORLEANS,LA,70112,,,2023-06-26,40.30,,CREDIT CARD MERCHANT FEE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00469429,SB21B.I51235,,,ORG,BERKE FARAH LLP,,,,,,"701 8TH STREET, NW",SUITE 620,WASHINGTON,DC,20001,,,2023-01-03,2000.00,,LEGAL CONSULTING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00469429,SB21B.I51507,,,ORG,BERKE FARAH LLP,,,,,,"701 8TH STREET, NW",SUITE 620,WASHINGTON,DC,20001,,,2023-02-01,2000.00,,LEGAL CONSULTING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00469429,SB21B.I52645,,,ORG,BERKE FARAH LLP,,,,,,"701 8TH STREET, NW",SUITE 620,WASHINGTON,DC,20001,,,2023-03-01,2000.00,,LEGAL CONSULTING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00469429,SB21B.I53100,,,ORG,BERKE FARAH LLP,,,,,,"701 8TH STREET, NW",SUITE 620,WASHINGTON,DC,20001,,,2023-04-03,2000.00,,LEGAL CONSULTING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00469429,SB21B.I53292,,,ORG,BERKE FARAH LLP,,,,,,"701 8TH STREET, NW",SUITE 620,WASHINGTON,DC,20001,,,2023-05-01,2000.00,,LEGAL CONSULTING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00469429,SB21B.I54453,,,ORG,BERKE FARAH LLP,,,,,,"701 8TH STREET, NW",SUITE 620,WASHINGTON,DC,20001,,,2023-06-01,2000.00,,LEGAL CONSULTING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00469429,SB21B.I51301,,,ORG,CMDI,,,,,,1593 SPRING HILL ROAD,SUITE 400,TYSONS CORNER,VA,22182,,,2023-01-03,250.00,,COMPLIANCE SOFTWARE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00469429,SB21B.I51519,,,ORG,CMDI,,,,,,1593 SPRING HILL ROAD,SUITE 400,TYSONS CORNER,VA,22182,,,2023-02-03,250.00,,COMPLIANCE SOFTWARE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00469429,SB21B.I52660,,,ORG,CMDI,,,,,,1593 SPRING HILL ROAD,SUITE 400,TYSONS CORNER,VA,22182,,,2023-03-03,250.00,,COMPLIANCE SOFTWARE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00469429,SB21B.I53102,,,ORG,CMDI,,,,,,1593 SPRING HILL ROAD,SUITE 400,TYSONS CORNER,VA,22182,,,2023-04-03,250.00,,COMPLIANCE SOFTWARE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00469429,SB21B.I53310,,,ORG,CMDI,,,,,,1593 SPRING HILL ROAD,SUITE 400,TYSONS CORNER,VA,22182,,,2023-05-03,250.00,,COMPLIANCE SOFTWARE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00469429,SB21B.I54469,,,ORG,CMDI,,,,,,1593 SPRING HILL ROAD,SUITE 400,TYSONS CORNER,VA,22182,,,2023-06-03,250.00,,COMPLIANCE SOFTWARE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00469429,SB21B.I51509,,,ORG,"CONCENTRIC OFFICE, LLC",,,,,,8136 OLD KEENE MILL ROAD,SUITE A300,SPRINGFIELD,VA,22152,,,2023-02-01,2272.88,,COMPLIANCE CONSULTING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00469429,SB21B.I53259,,,ORG,"CONCENTRIC OFFICE, LLC",,,,,,8136 OLD KEENE MILL ROAD,SUITE A300,SPRINGFIELD,VA,22152,,,2023-04-27,1515.95,,COMPLIANCE CONSULTING,,,,,,,,,,,,,  ,,,,,,,
