form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00011114,500026797,,,ORG,Amalgamated Bank Loans,,,,,,275 7th Street,,New York,NY,100016708,,,2023-03-20,14173.07,0.00,Interest Payment,001,,,,,,,,,,,,,,,,,,,
SB21B,C00011114,500026759,,,ORG,UnionWare,,,,,,P.O. Box 930473,,Atlanta,GA,311930473,,,2023-03-27,790.11,0.00,Merchant Service Charge,001,,,,,,,,,,,,,,,,,,,
SB21B,C00011114,500026839,,,ORG,"WEPAY, Inc.",,,,,,350 Convention Way,Suite 200,Redwood City,CA,940631436,,,2023-03-01,183.76,0.00,Service Charge,001,,,,,,,,,,,,,,,,,,,
SB21B,C00011114,500026840,,,ORG,"WEPAY, Inc.",,,,,,350 Convention Way,Suite 200,Redwood City,CA,940631436,,,2023-03-02,58.95,0.00,Service Charge,001,,,,,,,,,,,,,,,,,,,
SB21B,C00011114,500026841,,,ORG,"WEPAY, Inc.",,,,,,350 Convention Way,Suite 200,Redwood City,CA,940631436,,,2023-03-03,2.35,0.00,Service Charge,001,,,,,,,,,,,,,,,,,,,
SB21B,C00011114,500026842,,,ORG,"WEPAY, Inc.",,,,,,350 Convention Way,Suite 200,Redwood City,CA,940631436,,,2023-03-06,51.78,0.00,Service Charge,001,,,,,,,,,,,,,,,,,,,
SB21B,C00011114,500026843,,,ORG,"WEPAY, Inc.",,,,,,350 Convention Way,Suite 200,Redwood City,CA,940631436,,,2023-03-07,26.51,0.00,Service Charge,001,,,,,,,,,,,,,,,,,,,
SB21B,C00011114,500026844,,,ORG,"WEPAY, Inc.",,,,,,350 Convention Way,Suite 200,Redwood City,CA,940631436,,,2023-03-08,4.51,0.00,Service Charge,001,,,,,,,,,,,,,,,,,,,
SB21B,C00011114,500026845,,,ORG,"WEPAY, Inc.",,,,,,350 Convention Way,Suite 200,Redwood City,CA,940631436,,,2023-03-09,12.52,0.00,Service Charge,001,,,,,,,,,,,,,,,,,,,
SB21B,C00011114,500026846,,,ORG,"WEPAY, Inc.",,,,,,350 Convention Way,Suite 200,Redwood City,CA,940631436,,,2023-03-10,9.42,0.00,Service Charge,001,,,,,,,,,,,,,,,,,,,
SB21B,C00011114,500026847,,,ORG,"WEPAY, Inc.",,,,,,350 Convention Way,Suite 200,Redwood City,CA,940631436,,,2023-03-13,16.36,0.00,Service Charge,001,,,,,,,,,,,,,,,,,,,
SB21B,C00011114,500026848,,,ORG,"WEPAY, Inc.",,,,,,350 Convention Way,Suite 200,Redwood City,CA,940631436,,,2023-03-15,13.38,0.00,Service Charge,001,,,,,,,,,,,,,,,,,,,
SB21B,C00011114,500026849,,,ORG,"WEPAY, Inc.",,,,,,350 Convention Way,Suite 200,Redwood City,CA,940631436,,,2023-03-16,5.30,0.00,Service Charge,001,,,,,,,,,,,,,,,,,,,
