form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00765453,EB793,,,ORG,ActBlue of California,,,,,,366 Summer Street,,Somerville,MA,021443132,,,2024-04-07,0.20,,Processing Fees,001,,,,,,,,,,,,,,,,,,,
SB21B,C00765453,EB802,,,ORG,ActBlue of California,,,,,,366 Summer Street,,Somerville,MA,021443132,,,2024-04-14,9.97,,Processing Fees,001,,,,,,,,,,,,,,,,,,,
SB21B,C00765453,EB806,,,ORG,ActBlue of California,,,,,,366 Summer Street,,Somerville,MA,021443132,,,2024-04-21,26.68,,Processing Fees,001,,,,,,,,,,,,,,,,,,,
SB21B,C00765453,EB823,,,ORG,ActBlue of California,,,,,,366 Summer Street,,Somerville,MA,021443132,,,2024-04-28,24.11,,Processing Fees,001,,,,,,,,,,,,,,,,,,,
SB21B,C00765453,EB833,,,ORG,ActBlue of California,,,,,,366 Summer Street,,Somerville,MA,021443132,,,2024-05-05,26.67,,Processing Fees,001,,,,,,,,,,,,,,,,,,,
SB21B,C00765453,EB836,,,ORG,ActBlue of California,,,,,,366 Summer Street,,Somerville,MA,021443132,,,2024-05-12,18.07,,Processing Fees,001,,,,,,,,,,,,,,,,,,,
SB21B,C00765453,EB840,,,ORG,ActBlue of California,,,,,,366 Summer Street,,Somerville,MA,021443132,,,2024-05-19,83.63,,Processing Fees,001,,,,,,,,,,,,,,,,,,,
SB21B,C00765453,EB842,,,ORG,ActBlue of California,,,,,,366 Summer Street,,Somerville,MA,021443132,,,2024-05-26,121.09,,Processing Fees,001,,,,,,,,,,,,,,,,,,,
SB21B,C00765453,EB848,,,ORG,ActBlue of California,,,,,,366 Summer Street,,Somerville,MA,021443132,,,2024-05-31,1.78,,Processing Fees,001,,,,,,,,,,,,,,,,,,,
SB21B,C00765453,EB853,,,ORG,ActBlue of California,,,,,,366 Summer Street,,Somerville,MA,021443132,,,2024-06-02,0.20,,Processing Fees,001,,,,,,,,,,,,,,,,,,,
SB21B,C00765453,EB859,,,ORG,ActBlue of California,,,,,,366 Summer Street,,Somerville,MA,021443132,,,2024-06-09,1.98,,Processing Fees,001,,,,,,,,,,,,,,,,,,,
SB21B,C00765453,EB863,,,ORG,ActBlue of California,,,,,,366 Summer Street,,Somerville,MA,021443132,,,2024-06-16,2.07,,Processing Fees,001,,,,,,,,,,,,,,,,,,,
SB21B,C00765453,EB864,,,ORG,ActBlue of California,,,,,,366 Summer Street,,Somerville,MA,021443132,,,2024-06-23,1.99,,Processing Fees,001,,,,,,,,,,,,,,,,,,,
