form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00770214,SB21B.I15614,,,ORG,ANEDOT,,,,,,1340 POYDRAS STREET,SUITE 1770,NEW ORLEANS,LA,70112,,,2023-03-29,0.70,,CREDIT CARD TRANSACTION FEE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00770214,SB21B.I15353,,,ORG,JONES DAY,,,,,,PO BOX 7805 ,BEN FRANKLIN STATION,WASHINGTON,DC,20044,,,2023-03-01,1690.00,,LEGAL CONSULTING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00770214,SB21B.I15356,,,ORG,"SOCKO STRATEGIES, LLC",,,,,,1101 30TH ST NW,STE 125,WASHINGTON,DC,20007,,,2023-03-01,2500.00,,FUNDRAISING CONSULTING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00770214,SB21B.I15428,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2023-03-01,243.13,,CONDUIT TRANSACTION FEE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00770214,SB21B.I15429,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2023-03-02,254.78,,CONDUIT TRANSACTION FEE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00770214,SB21B.I15430,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2023-03-03,303.23,,CONDUIT TRANSACTION FEE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00770214,SB21B.I15431,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2023-03-04,305.61,,CONDUIT TRANSACTION FEE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00770214,SB21B.I15432,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2023-03-05,374.66,,CONDUIT TRANSACTION FEE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00770214,SB21B.I15512,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2023-03-06,256.92,,CONDUIT TRANSACTION FEE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00770214,SB21B.I15513,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2023-03-07,503.58,,CONDUIT TRANSACTION FEE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00770214,SB21B.I15514,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2023-03-08,289.35,,CONDUIT TRANSACTION FEE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00770214,SB21B.I15515,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2023-03-09,358.53,,CONDUIT TRANSACTION FEE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00770214,SB21B.I15516,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2023-03-10,293.16,,CONDUIT TRANSACTION FEE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00770214,SB21B.I15517,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2023-03-11,252.33,,CONDUIT TRANSACTION FEE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00770214,SB21B.I15518,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2023-03-12,282.21,,CONDUIT TRANSACTION FEE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00770214,SB21B.I15519,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2023-03-13,228.34,,CONDUIT TRANSACTION FEE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00770214,SB21B.I15546,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2023-03-14,375.00,,CONDUIT TRANSACTION FEE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00770214,SB21B.I15547,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2023-03-15,371.69,,CONDUIT TRANSACTION FEE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00770214,SB21B.I15548,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2023-03-16,221.34,,CONDUIT TRANSACTION FEE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00770214,SB21B.I15549,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2023-03-17,294.27,,CONDUIT TRANSACTION FEE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00770214,SB21B.I15550,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2023-03-18,262.93,,CONDUIT TRANSACTION FEE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00770214,SB21B.I15551,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2023-03-19,224.04,,CONDUIT TRANSACTION FEE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00770214,SB21B.I15567,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2023-03-20,292.82,,CONDUIT TRANSACTION FEE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00770214,SB21B.I15568,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2023-03-21,285.60,,CONDUIT TRANSACTION FEE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00770214,SB21B.I15595,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2023-03-22,333.19,,CONDUIT TRANSACTION FEE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00770214,SB21B.I15596,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2023-03-23,358.17,,CONDUIT TRANSACTION FEE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00770214,SB21B.I15597,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2023-03-24,460.54,,CONDUIT TRANSACTION FEE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00770214,SB21B.I15598,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2023-03-25,465.38,,CONDUIT TRANSACTION FEE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00770214,SB21B.I15599,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2023-03-26,398.72,,CONDUIT TRANSACTION FEE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00770214,SB21B.I15600,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2023-03-27,309.46,,CONDUIT TRANSACTION FEE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00770214,SB21B.I15616,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2023-03-28,665.46,,CONDUIT TRANSACTION FEE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00770214,SB21B.I15617,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2023-03-29,381.43,,CONDUIT TRANSACTION FEE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00770214,SB21B.I15618,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2023-03-30,608.17,,CONDUIT TRANSACTION FEE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00770214,SB21B.I15669,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2023-03-31,585.60,,CONDUIT TRANSACTION FEE,,,,,,,,,,,,,  ,,,,,,,
