form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00838805,SB21B.7829,,,ORG,BEEFREE,,,,,,450 TOWNSEND STREET,,SAN FRANCISCO,CA,94107,,,2024-10-01,30.00,,DIGITAL CONTENT DESIGN,004,,,,,,,,,,,,,,,,,,,
SB21B,C00838805,SB21B.7795,,,ORG,COMERICA BANK,,,,,,1717 MAIN ST.,,DALLAS,TX,75201,,,2024-10-11,317.75,,BANK FEES,001,,,,,,,,,,,,,,,,,,,
SB21B,C00838805,SB21B.7825,,,ORG,COMERICA BANK,,,,,,1717 MAIN ST.,,DALLAS,TX,75201,,,2024-10-15,50.00,,BANK FEES,001,,,,,,,,,,,,,,,,,,,
SB21B,C00838805,SB21B.7835,,,ORG,COMERICA BANK,,,,,,1717 MAIN ST.,,DALLAS,TX,75201,,,2024-11-14,358.64,,BANK FEES,001,,,,,,,,,,,,,,,,,,,
SB21B,C00838805,SB21B.7841,,,ORG,COMERICA BANK,,,,,,1717 MAIN ST.,,DALLAS,TX,75201,,,2024-11-25,286.90,,CREDIT CARD PAYMENT,009,,,,,,,,,,,,,,,,,,,
SB21B,C00838805,SB21B.7842,,,ORG,COMERICA BANK,,,,,,1717 MAIN ST.,,DALLAS,TX,75201,,,2024-11-25,2885.57,,CREDIT CARD PAYMENT,009,,,,,,,,,,,,,,,,,,,
SB21B,C00838805,SB21B.7831,,,ORG,GODADDY,,,,,,2155 E GODADDY WAY,,TEMPE,AZ,85284,,,2024-10-08,91.02,,WEBSITE HOSTING,001,,,,,,,,,,,,,,,,,,,
SB21B,C00838805,SB21B.7839,,,ORG,GODADDY,,,,,,2155 E GODADDY WAY,,TEMPE,AZ,85284,,,2024-11-01,48.68,,WEBSITE HOSTING,001,,,,,,,,,,,,,,,,,,,
SB21B,C00838805,SB21B.7800,,,ORG,HOLLOWAY LAW,,,,,,6710 OXON HILL RD SUITE 210,,OXON HILL,MD,20745,,,2024-10-15,225.00,,LEGAL FEES,001,,,,,,,,,,,,,,,,,,,
SB21B,C00838805,SB21B.7823,,,ORG,STAG SOLUTIONS LLC,,,,,,1501 COMMERCE DR,,ELGIN,IL,60123,,,2024-10-15,30000.00,,FUNDRAISING CAMPAIGN EXPENSE,003,,,,,,,,,,,,,,,,,,,
SB21B,C00838805,SB21B.7821,,,ORG,STAG SOLUTIONS LLC,,,,,,1501 COMMERCE DR,,ELGIN,IL,60123,,,2024-10-16,30000.00,,FUNDRAISING CAMPAIGN EXPENSE,003,,,,,,,,,,,,,,,,,,,
