form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00410621,SB21B.7729,,,ORG,Apple Corporate,,,,,,1 Infinite Loop,,Cupertino,CA,95014,,,2023-01-15,9.99,,Office & Shipping,,,,,,,,,,,,,,,,,,,X,
SB21B,C00410621,SB21B.7731,,,ORG,BEYOND MENU,,,,,,115 Perimeter Center Pl #1025,,Atlanta,GA,30346,,,2023-02-03,42.61,,Food & Drink,,,,,,,,,,,,,,,,,,,X,
SB21B,C00410621,SB21B.7645,,,ORG,Cardmember Service,,,,,,P.O. Box 94014,,Wilmington,DE,198505298,,,2023-02-07,2270.63,,CREDT CARD PMT,,,,,,,,,,,,,,,,,,,,
SB21B,C00410621,SB21B.7649,,,ORG,Cardmember Service,,,,,,P.O. Box 94014,,Wilmington,DE,198505298,,,2023-03-13,716.15,,CREDT CARD PMT,,,,,,,,,,,,,,,,,,,,
SB21B,C00410621,SB21B.7724,,,ORG,Cardmember Service,,,,,,P.O. Box 94014,,Wilmington,DE,198505298,,,2023-04-06,500.00,,CREDT CARD PMT,,,,,,,,,,,,,,,,,,,,
SB21B,C00410621,SB21B.7714,,,ORG,Cardmember Service,,,,,,P.O. Box 94014,,Wilmington,DE,198505298,,,2023-04-07,73.61,,CREDIT CARD PROCESSING FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00410621,SB21B.7715,,,ORG,Cardmember Service,,,,,,P.O. Box 94014,,Wilmington,DE,198505298,,,2023-05-04,2145.52,,CREDT CARD PMT,,,,,,,,,,,,,,,,,,,,
SB21B,C00410621,SB21B.7727,,,ORG,Cardmember Service,,,,,,P.O. Box 94014,,Wilmington,DE,198505298,P2024,,2023-05-19,2145.52,,CREDT CARD PMT,,,,,,,,,,,,,,,,,,,,
SB21B,C00410621,SB21B.7747,,,ORG,Congressional Sportsmen's Foundation,,,,,,110 North Carolina Ave. SE,,Washington,DC,20003,,,2023-03-22,2000.00,,Gifts & Donations,,,,,,,,,,,,,,,,,,,X,
SB21B,C00410621,SB21B.7748,,,ORG,Congressional Sportsmen's Foundation,,,,,,110 North Carolina Ave. SE,,Washington,DC,20003,,,2023-04-25,2000.00,,Gifts & Donations,,,,,,,,,,,,,,,,,,,X,
SB21B,C00410621,SB21B.7762,,,ORG,Enterprise Rent a Car,,,,,,600 Terminal Dr Ste 404,,Fort Lauderdale,FL,33315,,,2023-01-13,278.65,,Travel,,,,,,,,,,,,,,,,,,,X,
SB21B,C00410621,SB21B.7763,,,ORG,Enterprise Rent a Car,,,,,,600 Terminal Dr Ste 404,,Fort Lauderdale,FL,33315,,,2023-01-20,1528.85,,Travel,,,,,,,,,,,,,,,,,,,X,
SB21B,C00410621,SB21B.7750,,,ORG,FLOWER MILL,,,,,,5020 Shreve Ave,,St. Louis,MO,63115,,,2023-01-12,88.95,,Merchandise & Inventory,,,,,,,,,,,,,,,,,,,X,
SB21B,C00410621,SB21B.7754,,,ORG,GOOGLE,,,,,,1600 Amphitheatre Parkway,,Mountain View,CA,94043,,,2023-01-18,120.00,,Office & Shipping,,,,,,,,,,,,,,,,,,,X,
SB21B,C00410621,SB21B.7733,,,ORG,HELLOFRESH,,,,,,28 Liberty Street,,New York,NY,10005,,,2023-05-02,108.89,,Food & Drink,,,,,,,,,,,,,,,,,,,X,
SB21B,C00410621,SB21B.7734,,,ORG,HELLOFRESH,,,,,,28 Liberty Street,,New York,NY,10005,,,2023-05-10,108.89,,Food & Drink,,,,,,,,,,,,,,,,,,,X,
SB21B,C00410621,SB21B.7735,,,ORG,HELLOFRESH,,,,,,28 Liberty Street,,New York,NY,10005,,,2023-05-23,108.89,,Food & Drink,,,,,,,,,,,,,,,,,,,X,
SB21B,C00410621,SB21B.7736,,,ORG,HELLOFRESH,,,,,,28 Liberty Street,,New York,NY,10005,,,2023-06-20,108.89,,Food & Drink,,,,,,,,,,,,,,,,,,,X,
