form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00829929,500066421,,,ORG,Amalgamated Bank,,,,,,275 7th Ave,Lbby 2,New York,NY,100018400,,,2024-11-27,320.00,0.00,Bank Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00829929,500066661,,,ORG,MBA Consulting Group,,,,,,611 Pennsylvania Ave SE,# 143,Washington,DC,200034303,,,2024-12-10,12687.62,0.00,Compliance Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00829929,500066642,,,ORG,ActBlue Technical Services,,,,,,366 Summer St,,Somerville,MA,021443132,,,2024-12-09,7.90,0.00,Credit Card Processing Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00829929,500067115,,,ORG,Amalgamated Bank,,,,,,275 7th Ave,Lbby 2,New York,NY,100018400,,,2024-12-30,150.00,0.00,Bank Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00829929,500067626,,,ORG,American Express,,,,,,200 Vesey St,,New York,NY,102851000,,,2024-12-27,1883.26,0.00,Credit Card Payment - See Below if Itemized,,,,,,,,,,,,,,,,,,,,
SB21B,C00829929,500067630,500067626,SB21B,ORG,Southwest Airlines,,,,,,2702 Love Field Dr,,Dallas,TX,752351908,,,2024-12-27,571.96,0.00,Travel,,,,,,,,,,,,,,,,,,,X,*
SB21B,C00829929,500067631,500067626,SB21B,ORG,Southwest Airlines,,,,,,2702 Love Field Dr,,Dallas,TX,752351908,,,2024-12-27,174.04,0.00,Travel,,,,,,,,,,,,,,,,,,,X,*
SB21B,C00829929,500067632,500067626,SB21B,ORG,Southwest Airlines,,,,,,2702 Love Field Dr,,Dallas,TX,752351908,,,2024-12-27,-913.96,0.00,Refund from Vendor,,,,,,,,,,,,,,,,,,,X,*
SB21B,C00829929,500067627,500067626,SB21B,ORG,Audio Visual Advisor,,,,,,3655 E Patrick Ln,,Las Vegas,NV,891203276,,,2024-12-27,300.00,0.00,Office Supplies,,,,,,,,,,,,,,,,,,,X,*
SB21B,C00829929,500067628,500067626,SB21B,ORG,Marriott International,,,,,,10400 Fernwood Rd,,Bethesda,MD,208171102,,,2024-12-27,736.23,0.00,Travel,,,,,,,,,,,,,,,,,,,X,*
SB21B,C00829929,500067629,500067626,SB21B,ORG,Southwest Airlines,,,,,,2702 Love Field Dr,,Dallas,TX,752351908,,,2024-12-27,913.96,0.00,Travel,,,,,,,,,,,,,,,,,,,X,*
SB21B,C00829929,500066666,,,ORG,"NGP VAN, Inc.",,,,,,PO Box 392264,,Pittsburgh,PA,152519264,,,2024-12-10,100.00,0.00,Software Subscription,,,,,,,,,,,,,,,,,,,,
SB21B,C00829929,500067057,,,CCM,Rosen for Nevada,,,,,,PO Box 46110,,Las Vegas,NV,891146110,,,2024-12-26,16867.01,0.00,Salary and Benefits,,C00606939,,,Rosen,Jacky,,,,S,NV,00,,,,,,,,
