form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00583153,SB21B.I44580,,,ORG,CLASSIC CITY BANK,,,,,,2365 W BROAD ST,,ATHENS,GA,30606,,,2024-10-31,20.00,,PAC BANK FEE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00583153,SB21B.I44551,,,ORG,CMDI,,,,,,1593 SPRING HILL RD #400,,VIENNA,VA,22182,,,2024-10-23,250.00,,PAC SOFTWARE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00583153,SB21B.I44708,,,ORG,CMDI,,,,,,1593 SPRING HILL RD #400,,VIENNA,VA,22182,,,2024-11-22,250.00,,PAC SOFTWARE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00583153,SB21B.I44670,,,ORG,IMPRESSION STRATEGY LLC,,,,,,8506 BETHANY COURT,,VIENNA,VA,22182,,,2024-11-12,55.77,,PAC SOFTWARE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00583153,SB21B.I44517,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,"1776 WILSON BOULEVARD, SUITE 530",,ARLINGTON,VA,22209,,,2024-10-21,6.16,,PAC CC TRANSACTION FEES,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00583153,SB21B.I44553,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,"1776 WILSON BOULEVARD, SUITE 530",,ARLINGTON,VA,22209,,,2024-10-28,149.97,,PAC CC TRANSACTION FEES,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00583153,SB21B.I44620,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,"1776 WILSON BOULEVARD, SUITE 530",,ARLINGTON,VA,22209,,,2024-11-04,164.75,,PAC CC TRANSACTION FEES,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00583153,SB21B.I44666,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,"1776 WILSON BOULEVARD, SUITE 530",,ARLINGTON,VA,22209,,,2024-11-11,84.85,,PAC CC TRANSACTION FEES,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00583153,SB21B.I44688,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,"1776 WILSON BOULEVARD, SUITE 530",,ARLINGTON,VA,22209,,,2024-11-18,71.39,,PAC CC TRANSACTION FEES,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00583153,SB21B.I44709,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,"1776 WILSON BOULEVARD, SUITE 530",,ARLINGTON,VA,22209,,,2024-11-25,33.66,,PAC CC TRANSACTION FEES,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00583153,SB21B.I44724,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,"1776 WILSON BOULEVARD, SUITE 530",,ARLINGTON,VA,22209,,,2024-11-25,33.90,,PAC CC TRANSACTION FEES,,,,,,,,,,,,,  ,,,,,,,
