form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00139659,SB21B.59840,,,ORG,ActBlue Technical Services,,,,,,366 Summer St,,Somerville,MA,02144,,,2023-06-01,1432.04,,credit processing fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00139659,SB21B.59841,,,ORG,ActBlue Technical Services,,,,,,366 Summer St,,Somerville,MA,02144,,,2023-06-08,916.61,,credit processing fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00139659,SB21B.59842,,,ORG,ActBlue Technical Services,,,,,,366 Summer St,,Somerville,MA,02144,,,2023-06-15,3.95,,credit processing fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00139659,SB21B.59844,,,ORG,ActBlue Technical Services,,,,,,366 Summer St,,Somerville,MA,02144,,,2023-06-16,493.78,,credit processing fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00139659,SB21B.59843,,,ORG,ActBlue Technical Services,,,,,,366 Summer St,,Somerville,MA,02144,,,2023-06-21,616.34,,credit processing fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00139659,SB21B.59845,,,ORG,ActBlue Technical Services,,,,,,366 Summer St,,Somerville,MA,02144,,,2023-06-27,1990.93,,credit processing fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00139659,SB21B.59846,,,ORG,ActBlue Technical Services,,,,,,366 Summer St,,Somerville,MA,02144,,,2023-06-30,796.51,,credit processing fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00139659,SB21B.59797,,,ORG,American Express,,,,,,Suite 0001,,Los Angeles,CA,90096,,,2023-06-07,1012.14,,credit card payment,,,,,,,,,,,,,,,,,,,,
SB21B,C00139659,SB21B.59797.0,SB21B.59797,SB21B,ORG,Constant Contact,,,,,,1601 Trapelo Road,Suite 329,Waltham,MA,02451,,,2023-04-28,200.00,,online fee,,,,,,,,,,,,,,,,,,,X,
SB21B,C00139659,SB21B.59797.2,SB21B.59797,SB21B,ORG,"Adobe Systems, Inc",,,,,,345 Park Ave,,San Jose,CA,95110,,,2023-05-01,58.43,,online fee,,,,,,,,,,,,,,,,,,,X,
