form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00540229,SB21B.103092,,,ORG,CAMPAIGN COMPLIANCE CENTER,,,,,,7151 RICHMOND ROAD,SUITE 201A,WILLIAMSBURG,VA,23188,G2024,,2024-12-02,3000.00,,Campaign Compliance,,C00540229,CONSTITUTIONAL RIGHTS PAC,,,,,,,,,,,,,,,,,
SB21B,C00540229,SB21B.103292,,,ORG,CMDI,,,,,,1593 Spring Hill Rd,#400,Vienna,VA,22182,G2024,,2024-12-06,6010.41,,Database Hosting,,,,,,,,,,,,,,,,,,,,
SB21B,C00540229,SB21B.103279,,,ORG,CMDI,,,,,,1593 Spring Hill Rd,#400,Vienna,VA,22182,G2024,,2024-12-23,2270.00,,Database Hosting,,,,,,,,,,,,,,,,,,,,
SB21B,C00540229,SB21B.103288,,,ORG,High Vaultage  Inc.,,,,,,900 Division St,,Nashville,TN,37203,G2024,,2024-12-16,20000.00,,,,,,,,,,,,,,,,,,,,,,
SB21B,C00540229,SB21B.103284,,,ORG,InfoCision  Inc.,,,,,,325 Springside Dr,,Akron,OH,44333,G2024,,2024-12-17,7.60,,Telephone Marketing,,,,,,,,,,,,,,,,,,,,
SB21B,C00540229,SB21B.103282,,,ORG,InfoCision  Inc.,,,,,,325 Springside Dr,,Akron,OH,44333,G2024,,2024-12-23,4.75,,Telephone Marketing,,,,,,,,,,,,,,,,,,,,
SB21B,C00540229,SB21B.118105,,,IND,,Logan,Gary,,,,1905 Whitcomb St.,Apt 8,Richmond,VA,23223,G2024,,2024-12-17,400.00,,Fundraising Commission,,,,,,,,,,,,,,,,,,,,
SB21B,C00540229,SB21B.103291,,,ORG,Stripe,,,,,,185 Berry Street,Suite 550,San Francisco,CA,94107,G2024,,2024-12-09,50.02,,Processing Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00540229,SB21B.118084,,,ORG,Stripe,,,,,,185 Berry Street,Suite 550,San Francisco,CA,94107,G2024,,2024-12-31,290.55,,Processing Fees,,C00540229,CONSTITUTIONAL RIGHTS PAC,,,,,,,,,,,,,,,,,
SB21B,C00540229,SB21B.103303,,,ORG,USPS,,,,,,685 Turnberry Blvd,,Newport News,VA,23608,G2024,,2024-11-26,5.64,,Postage,,,,,,,,,,,,,,,,,,,,
SB21B,C00540229,SB21B.103302,,,ORG,USPS,,,,,,685 Turnberry Blvd,,Newport News,VA,23608,G2024,,2024-11-27,7.52,,Postage,,,,,,,,,,,,,,,,,,,,
SB21B,C00540229,SB21B.103301,,,ORG,USPS,,,,,,685 Turnberry Blvd,,Newport News,VA,23608,G2024,,2024-11-29,3.76,,Postage,,,,,,,,,,,,,,,,,,,,
