form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00817122,SB21B.I24440,,,ORG,CROSBY OTTENHOFF GROUP,,,,,,421 OFFICE PARK DRIVE,,MOUNTAIN BROOK,AL,35223,,,2024-12-20,6875.00,,COMPLIANCE CONSULTING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00817122,SB21B.I24457,,,ORG,"FITZGERALD & CO., CPAS, P.C.",,,,,,8150 LEESBURG PIKE,SUITE 500,VIENNA,VA,22182,,,2024-12-16,11738.08,,COMPLIANCE CONSULTING - TO BE REFUNDED,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00817122,SB21B.I24441,,,ORG,"IMGE, LLC",,,,,,1401 H STREET NW,SUITE 550,WASHINGTON,DC,20005,,,2024-11-30,55.35,,DIGITAL FUNDRAISING CONSULTING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00817122,SB21B.I24442,,,ORG,"IMGE, LLC",,,,,,1401 H STREET NW,SUITE 550,WASHINGTON,DC,20005,,,2024-12-02,86.22,,DIGITAL FUNDRAISING CONSULTING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00817122,SB21B.I24443,,,ORG,"IMGE, LLC",,,,,,1401 H STREET NW,SUITE 550,WASHINGTON,DC,20005,,,2024-12-09,31.42,,DIGITAL FUNDRAISING CONSULTING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00817122,SB21B.I24444,,,ORG,"IMGE, LLC",,,,,,1401 H STREET NW,SUITE 550,WASHINGTON,DC,20005,,,2024-12-13,17108.70,,DIGITAL FUNDRAISING CONSULTULTING / DATABASE MANAGEMENT / MEDIA CONSULTING / SUBSCRIPTION,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00817122,SB21B.I24445,,,ORG,"IMGE, LLC",,,,,,1401 H STREET NW,SUITE 550,WASHINGTON,DC,20005,,,2024-12-16,52.86,,DIGITAL FUNDRAISING CONSULTING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00817122,SB21B.I24446,,,ORG,"IMGE, LLC",,,,,,1401 H STREET NW,SUITE 550,WASHINGTON,DC,20005,,,2024-12-23,95.60,,DIGITAL FUNDRAISING CONSULTING / DATABASE MANAGEMENT,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00817122,SB21B.I24447,,,ORG,"IMGE, LLC",,,,,,1401 H STREET NW,SUITE 550,WASHINGTON,DC,20005,,,2024-12-31,49.17,,DIGITAL FUNDRAISING CONSULTING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00817122,SB21B.I24450,,,ORG,"WINRED TECHNICAL SERVICES, INC",,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2024-11-30,35.18,,CREDIT CARD PROCESSING FEES,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00817122,SB21B.I24451,,,ORG,"WINRED TECHNICAL SERVICES, INC",,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2024-12-02,-46.69,,CREDIT CARD PROCESSING FEES,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00817122,SB21B.I24452,,,ORG,"WINRED TECHNICAL SERVICES, INC",,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2024-12-09,35.86,,CREDIT CARD PROCESSING FEES,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00817122,SB21B.I24453,,,ORG,"WINRED TECHNICAL SERVICES, INC",,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2024-12-16,40.09,,CREDIT CARD PROCESSING FEES ,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00817122,SB21B.I24454,,,ORG,"WINRED TECHNICAL SERVICES, INC",,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2024-12-23,89.49,,CREDIT CARD PROCESSING FEES ,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00817122,SB21B.I24455,,,ORG,"WINRED TECHNICAL SERVICES, INC",,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2024-12-30,113.49,,CREDIT CARD PROCESSING FEES ,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00817122,SB21B.I24456,,,ORG,"WINRED TECHNICAL SERVICES, INC",,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2024-12-31,63.23,,CREDIT CARD PROCESSING FEES ,,,,,,,,,,,,,  ,,,,,,,
