form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00011114,500028351,,,ORG,"Square, Inc.",,,,,,1455 Market St,Ste 600,San Francisco,CA,941031332,,,2023-12-20,3.65,0.00,merchant service charge,,,,,,,,,,,,,,,,,,,,
SB21B,C00011114,500027716,,,ORG,UnionWare,,,,,,P.O. Box 930473,,Atlanta,GA,311930473,,,2023-12-13,954.02,0.00,Merchant Service Charge,001,,,,,,,,,,,,,,,,,,,
SB21B,C00011114,500028374,,,ORG,"WEPAY, Inc.",,,,,,350 Convention Way,Suite 200,Redwood City,CA,940631436,,,2023-12-01,53.18,0.00,Service Charge,001,,,,,,,,,,,,,,,,,,,
SB21B,C00011114,500028375,,,ORG,"WEPAY, Inc.",,,,,,350 Convention Way,Suite 200,Redwood City,CA,940631436,,,2023-12-04,9.77,0.00,Service Charge,001,,,,,,,,,,,,,,,,,,,
SB21B,C00011114,500028376,,,ORG,"WEPAY, Inc.",,,,,,350 Convention Way,Suite 200,Redwood City,CA,940631436,,,2023-12-05,19.02,0.00,Service Charge,001,,,,,,,,,,,,,,,,,,,
SB21B,C00011114,500028377,,,ORG,"WEPAY, Inc.",,,,,,350 Convention Way,Suite 200,Redwood City,CA,940631436,,,2023-12-06,47.03,0.00,Service Charge,001,,,,,,,,,,,,,,,,,,,
SB21B,C00011114,500028378,,,ORG,"WEPAY, Inc.",,,,,,350 Convention Way,Suite 200,Redwood City,CA,940631436,,,2023-12-07,11.08,0.00,Service Charge,001,,,,,,,,,,,,,,,,,,,
SB21B,C00011114,500028379,,,ORG,"WEPAY, Inc.",,,,,,350 Convention Way,Suite 200,Redwood City,CA,940631436,,,2023-12-08,11.74,0.00,Service Charge,001,,,,,,,,,,,,,,,,,,,
SB21B,C00011114,500028380,,,ORG,"WEPAY, Inc.",,,,,,350 Convention Way,Suite 200,Redwood City,CA,940631436,,,2023-12-11,44.78,0.00,Service Charge,001,,,,,,,,,,,,,,,,,,,
SB21B,C00011114,500028381,,,ORG,"WEPAY, Inc.",,,,,,350 Convention Way,Suite 200,Redwood City,CA,940631436,,,2023-12-12,10.84,0.00,Service Charge,001,,,,,,,,,,,,,,,,,,,
SB21B,C00011114,500028382,,,ORG,"WEPAY, Inc.",,,,,,350 Convention Way,Suite 200,Redwood City,CA,940631436,,,2023-12-13,14.00,0.00,Service Charge,001,,,,,,,,,,,,,,,,,,,
SB21B,C00011114,500028383,,,ORG,"WEPAY, Inc.",,,,,,350 Convention Way,Suite 200,Redwood City,CA,940631436,,,2023-12-14,9.88,0.00,Service Charge,001,,,,,,,,,,,,,,,,,,,
SB21B,C00011114,500028384,,,ORG,"WEPAY, Inc.",,,,,,350 Convention Way,Suite 200,Redwood City,CA,940631436,,,2023-12-15,7.48,0.00,Service Charge,001,,,,,,,,,,,,,,,,,,,
SB21B,C00011114,500028385,,,ORG,"WEPAY, Inc.",,,,,,350 Convention Way,Suite 200,Redwood City,CA,940631436,,,2023-12-18,4.94,0.00,Service Charge,001,,,,,,,,,,,,,,,,,,,
SB21B,C00011114,500028386,,,ORG,"WEPAY, Inc.",,,,,,350 Convention Way,Suite 200,Redwood City,CA,940631436,,,2023-12-19,7.72,0.00,Service Charge,001,,,,,,,,,,,,,,,,,,,
SB21B,C00011114,500028387,,,ORG,"WEPAY, Inc.",,,,,,350 Convention Way,Suite 200,Redwood City,CA,940631436,,,2023-12-20,25.40,0.00,Service Charge,001,,,,,,,,,,,,,,,,,,,
SB21B,C00011114,500028388,,,ORG,"WEPAY, Inc.",,,,,,350 Convention Way,Suite 200,Redwood City,CA,940631436,,,2023-12-21,13.61,0.00,Service Charge,001,,,,,,,,,,,,,,,,,,,
SB21B,C00011114,500028389,,,ORG,"WEPAY, Inc.",,,,,,350 Convention Way,Suite 200,Redwood City,CA,940631436,,,2023-12-22,8.25,0.00,Service Charge,001,,,,,,,,,,,,,,,,,,,
SB21B,C00011114,500028390,,,ORG,"WEPAY, Inc.",,,,,,350 Convention Way,Suite 200,Redwood City,CA,940631436,,,2023-12-26,11.71,0.00,Service Charge,001,,,,,,,,,,,,,,,,,,,
SB21B,C00011114,500028391,,,ORG,"WEPAY, Inc.",,,,,,350 Convention Way,Suite 200,Redwood City,CA,940631436,,,2023-12-27,4.04,0.00,Service Charge,001,,,,,,,,,,,,,,,,,,,
SB21B,C00011114,500028392,,,ORG,"WEPAY, Inc.",,,,,,350 Convention Way,Suite 200,Redwood City,CA,940631436,,,2023-12-28,51.88,0.00,Service Charge,001,,,,,,,,,,,,,,,,,,,
SB21B,C00011114,500028393,,,ORG,"WEPAY, Inc.",,,,,,350 Convention Way,Suite 200,Redwood City,CA,940631436,,,2023-12-29,36.54,0.00,Service Charge,001,,,,,,,,,,,,,,,,,,,
