form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00563601,SB21B.6655,,,ORG,ActBlue Technical Service,,,,,,PO Box 441146,,Somerville,MA,02144,,,2024-12-09,19.75,,PAC Credit Card Processing Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00563601,SB21B.6675,,,ORG,ActBlue Technical Service,,,,,,PO Box 441146,,Somerville,MA,02144,,,2024-12-23,158.00,,PAC Credit Card Processing Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00563601,SB21B.6656,,,ORG,Bank of America,,,,,,1801 K St NW,,Washington,DC,20006,,,2024-12-04,15.00,,PAC Bank Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00563601,SB21B.6657,,,ORG,Bank of America,,,,,,1801 K St NW,,Washington,DC,20006,,,2024-12-10,15.00,,PAC Bank Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00563601,SB21B.6677,,,ORG,Bank of America,,,,,,1801 K St NW,,Washington,DC,20006,,,2024-12-24,15.00,,PAC Bank Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00563601,SB21B.6663,,,PAC,BLUE MAJORITY PAC,,,,,,PO BOX 327,,MADISON,WI,53701,,,2024-12-06,351.40,,PAC Reimbursement - See Below if Itemized,,C00529693,,,,,,,,,,,,,,,,,,
SB21B,C00563601,SB21B.6663.0,SB21B.6663,SB21B,ORG,"Ambar, Capitol Hill",,,,,,"523 8th Street, SE",,Washington,DC,20003,,,2024-12-06,351.40,,PAC Event Catering,,,,,,,,,,,,,,,,,,,X,
SB21B,C00563601,SB21B.6666,,,ORG,"Molly Allen Associates, LLC",,,,,,10402 Parkwood Dr,,Kensington,MD,20895,,,2024-12-03,1500.00,,PAC Fundraising Consulting Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00563601,SB21B.6667,,,ORG,"Molly Allen Associates, LLC",,,,,,10402 Parkwood Dr,,Kensington,MD,20895,,,2024-12-03,701.62,,PAC Reimbursement - See Below if Itemized,,,,,,,,,,,,,,,,,,,,
SB21B,C00563601,SB21B.6667.0,SB21B.6667,SB21B,ORG,Uber,,,,,,1455 Market St,Ste 400,San Francisco,CA,94103,,,2024-12-03,207.47,,PAC Travel Expense,,,,,,,,,,,,,,,,,,,X,
SB21B,C00563601,SB21B.6667.1,SB21B.6667,SB21B,ORG,Jaleo,,,,,,"480 7th Street, NW",,Washington,DC,20004,,,2024-12-03,462.80,,PAC Event Catering,,,,,,,,,,,,,,,,,,,X,
SB21B,C00563601,SB21B.6671,,,ORG,"Political Compliance Management Services, LLC",,,,,,910 17th St NW,STE 925,Washington,DC,20006,,,2024-12-09,1239.91,,PAC Accounting Services,,,,,,,,,,,,,,,,,,,,
