form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00868117,500064876,,,ORG,Actblue,,,,,,PO Box 441146,,West Somerville,MA,021440031,,,2024-03-05,197.50,0.00,Merchant Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00868117,500064877,,,ORG,Actblue,,,,,,PO Box 441146,,West Somerville,MA,021440031,,,2024-03-05,197.50,0.00,Merchant Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00868117,500064878,,,ORG,Actblue,,,,,,PO Box 441146,,West Somerville,MA,021440031,,,2024-03-14,197.50,0.00,Merchant Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00868117,500064879,,,ORG,Actblue,,,,,,PO Box 441146,,West Somerville,MA,021440031,,,2024-03-14,98.75,0.00,Merchant Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00868117,500064881,,,ORG,Actblue,,,,,,PO Box 441146,,West Somerville,MA,021440031,,,2024-03-21,888.75,0.00,Merchant Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00868117,500064882,,,ORG,Actblue,,,,,,PO Box 441146,,West Somerville,MA,021440031,,,2024-03-31,1481.25,0.00,Merchant Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00868117,500064887,,,ORG,Arcarde Silverado JV LLC,,,,,,1600 Atlas Peak Rd,,Napa,CA,945581425,,,2024-03-18,5682.77,0.00,Fundraising Event,,,,,,,,,,,,,,,,,,,,
SB21B,C00868117,500064896,,,ORG,Silver Oak Cellars,,,,,,915 Oakville Cross Rd,,Oakville,CA,94562,,,2024-03-31,5748.75,0.00,Fundraising Event,,,,,,,,,,,,,,,,,,,X,*
SB21B,C00868117,500065478,,,ORG,Silverado Resort & Spa,,,,,,1600 Atlas Peak Rd,,Napa,CA,945581425,,,2024-03-31,13000.00,0.00,Fundraising Event,,,,,,,,,,,,,,,,,,,X,*
SB21B,C00868117,500064885,,,ORG,Villa Encina Partners LP,,,,,,600 Trancas St,,Napa,CA,945583083,,,2024-03-21,19533.68,0.00,Fundraising Event,,,,,,,,,,,,,,,,,,,,
