form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00483883,21b-17-00759-01401,,,ORG,"Message Digital, LLC",,,,,,PO Box 391527,,Mountain View,CA,94039,,,2024-10-17,143.93,,Texting Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00483883,21b-17-00760-01402,,,ORG,"Magnify Strategies, LLC",,,,,,2723 Prairie Ave,,Evanston,IL,60201,,,2024-10-17,15000.00,,Fundraising Consulting Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00483883,21b-17-00761-01403,,,ORG,Mothership Strategies,,,,,,1328 Florida Ave NW Building C,,Washington,DC,20009,,,2024-10-17,119947.00,,Fundraising Consulting Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00483883,21b-17-00762-01404,,,ORG,Perkins Coie,,,,,,1201 Third Avenue Ste 4800,,Seattle,WA,98101,,,2024-10-17,2500.00,,Legal Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00483883,21b-17-00717-01337,,,ORG,Actblue Technical Services,,,,,,PO Box 441146,,Somerville,MA,02144,,,2024-10-20,6861.89,,Credit Card Processing Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00483883,21b-17-00764-01406,,,ORG,Mothership Strategies,,,,,,1328 Florida Ave NW Building C,,Washington,DC,20009,,,2024-10-21,50000.00,,Fundraising Consulting Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00483883,21b-17-00765-01407,,,ORG,Mothership Strategies,,,,,,1328 Florida Ave NW Building C,,Washington,DC,20009,,,2024-10-21,37999.28,,Fundraising Consulting Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00483883,21b-17-00768-01410,,,ORG,Truist,,,,,,214 N Tryon Street,,Charlotte,NC,28202,,,2024-10-21,171.96,,Bank Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00483883,21b-17-00771-01419,,,ORG,Alper Strategies,,,,,,"17000 Kercheval, Suite 211",,Grosse Pointe,MI,48230,,,2024-10-21,-1686.40,,Advertisement Production,,,,,,,,,,,,,,,,,,,,
SB21B,C00483883,21b-17-00766-01413,,,ORG,Sage Media Planning & Placement,,,,,,"1322 G Street, SE",,Washington,DC,20003,,,2024-10-24,160.01,,Payment Processing Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00483883,21b-17-00767-01415,,,ORG,Sage Media Planning & Placement,,,,,,"1322 G Street, SE",,Washington,DC,20003,,,2024-10-24,-65559.89,,Refund,,,,,,,,,,,,,,,,,,,,
