form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB23,C00602805,SB23.6285,,,PAC,AMERICAN MOSAIC PAC,,,,,,600 PENNSYLVANIA AVE SE,#15180,WASHINGTON,DC,20003,,,2024-06-04,-1000.00,,Voided Political Contribution - Originally Reported 5/28/24,011,C00694471,,,,,,,,,,,,,,,,,,
SB23,C00602805,SB23.6261,,,CCM,ANDREA SALINAS FOR OREGON,,,,,,PO BOX 230985,,TIGARD,OR,97281,G2024,,2024-06-12,1000.00,,Political Contribution,011,C00793703,ANDREA SALINAS FOR OREGON,H2OR06066,SALINAS,ANDREA,,,,H,OR,06,,,,,,,,
SB23,C00602805,SB23.6264,,,CCM,ANGIE CRAIG FOR CONGRESS,,,,,,P.O. BOX 22116,,EAGAN,MN,55122,P2024,,2024-06-12,1000.00,,Political Contribution,011,C00575209,ANGIE CRAIG FOR CONGRESS,H6MN02131,CRAIG,ANGELA DAWN,,,,H,MN,02,,,,,,,,
SB23,C00602805,SB23.6259,,,CCM,DEBBIE DINGELL FOR CONGRESS,,,,,,19855 W. OUTER DR.,SUITE 103 A-E,DEARBORN,MI,48124,P2024,,2024-06-05,1000.00,,Political Contribution,011,C00558213,DEBBIE DINGELL FOR CONGRESS,H4MI12079,DINGELL,DEBBIE,,,,H,MI,12,,,,,,,,
SB23,C00602805,SB23.6267,,,CCM,DON DAVIS FOR NC,,,,,,PO BOX 511,,SNOW HILL,NC,28580,G2024,,2024-06-12,1000.00,,Political Contribution,011,C00795211,DON DAVIS FOR NC,H2NC02287,DAVIS,DON,,,,H,NC,01,,,,,,,,
SB23,C00602805,SB23.6270,,,CCM,DR KIM SCHRIER FOR CONGRESS,,,,,,PO BOX 2728,,ISSAQUAH,WA,98027,P2024,,2024-06-12,1000.00,,Political Contribution,011,C00652628,DR KIM SCHRIER FOR CONGRESS,H8WA08189,SCHRIER,KIM DR.,,,,H,WA,08,,,,,,,,
SB23,C00602805,SB23.6273,,,CCM,GABE VASQUEZ FOR CONGRESS,,,,,,DRAWER L,,MESILLA,NM,88046,G2024,,2024-06-12,1000.00,,Political Contribution,011,C00789404,GABE VASQUEZ FOR CONGRESS,H2NM02191,VASQUEZ,GABRIEL,,,,H,NM,02,,,,,,,,
SB23,C00602805,SB23.6260,,,CCM,LAUREN UNDERWOOD FOR CONGRESS,,,,,,13400 S ROUTE 59,STE 116 BOX 248,PLAINFIELD,IL,60585,G2024,,2024-06-05,1000.00,,Political Contribution,011,C00652719,LAUREN UNDERWOOD FOR CONGRESS,H8IL14174,UNDERWOOD,LAUREN,,,,H,IL,14,,,,,,,,
SB23,C00602805,SB23.6276,,,CCM,MRVAN FOR CONGRESS,,,,,,PO BOX 55,,CROWN POINT,IN,46308,G2024,,2024-06-12,1000.00,,Political Contribution,011,C00727529,MRVAN FOR CONGRESS,H0IN01150,MRVAN,FRANK J.,,,,H,IN,01,,,,,,,,
SB23,C00602805,SB23.6279,,,CCM,NEVADANS FOR STEVEN HORSFORD,,,,,,PO BOX 336664,,NORTH LAS VEGAS,NV,89033,G2024,,2024-06-12,1000.00,,Political Contribution,011,C00668228,NEVADANS FOR STEVEN HORSFORD,H2NV04011,HORSFORD,STEVEN ALEXZANDER,,,,H,NV,04,,,,,,,,
SB23,C00602805,SB23.6282,,,CCM,STAND WITH SANCHEZ,,,,,,PO BOX 4006,,WHITTIER,CA,90607,G2024,,2024-06-25,1000.00,,Political Contribution,011,C00384057,STAND WITH SANCHEZ,H2CA39078,SANCHEZ,LINDA,,,,H,CA,38,,,,,,,,
SB23,C00602805,SB23.6284,,,CCM,STAND WITH SANCHEZ,,,,,,PO BOX 4006,,WHITTIER,CA,90607,G2024,,2024-06-25,-1000.00,,Voided Political Contribution - Originally Reported 4/2/2024,011,C00384057,STAND WITH SANCHEZ,H2CA39078,SANCHEZ,LINDA,,,,H,CA,38,,,,,,,,
