form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB29,C00225342,SB29.7910,,,CCM,Bennett for Senate,,,,,,P.O. Box 1383,,Champaign,IL,61824,,,2023-03-21,-500.00,,Void check #9739; dated 10/11/21,,,,,,,,,,,,,,,,,,,,
SB29,C00225342,SB29.7947,,,CCM,Bill Hixon for SC House,,,,,,P.O. Box 7927,,North Augusta,SC,29861,,,2023-03-15,1000.00,,Non-federal contribution; SC House,,,,,,,,,,,,,,,,,,,,
SB29,C00225342,SB29.7961,,,CCM,Bill Sandifer for the SC House,,,,,,112 Cardinal Drive,,Seneca,SC,29672,,,2023-03-15,1000.00,,Non-federal contribution; SC House,,,,,,,,,,,,,,,,,,,,
SB29,C00225342,SB29.7958,,,CCM,Bruce Bannister for House,,,,,,P.O. Box 10007,,Greenville,SC,29603,,,2023-03-15,1000.00,,Non-federal contribution; SC House,,,,,,,,,,,,,,,,,,,,
SB29,C00225342,SB29.7966,,,CCM,Chip Campsen for Senate,,,,,,360 Concord Street,Suite 201,Charleston,SC,29401,,,2023-03-14,1000.00,,Non-federal contribution; SC Senate,,,,,,,,,,,,,,,,,,,,
SB29,C00225342,SB29.7937,,,CCM,Citizens for Jim Langfelder,,,,,,2125 Lake Crest Drive,,Springfield,IL,62712,,,2023-03-23,500.00,,"Non-federal contribution; Springfield, IL Mayor",,,,,,,,,,,,,,,,,,,,
SB29,C00225342,SB29.7950,,,CCM,Danny Verdin for SC Senate,,,,,,P.O. Box 272,,Laurens,SC,29360,,,2023-03-13,1000.00,,Non-federal contribution; SC Senate,,,,,,,,,,,,,,,,,,,,
SB29,C00225342,SB29.7946,,,CCM,Davey Hiott for House of Representatives,,,,,,P.O. Box 997,,Pickens,SC,29671,,,2023-03-15,1000.00,,Non-federal contributoin; SC House,,,,,,,,,,,,,,,,,,,,
SB29,C00225342,SB29.7913,,,PTY,Democratic Party of Illinois,,,,,,P.O. Box 518,,Springfield,IL,627050518,,,2023-03-21,-1000.00,,Void Check #9998; dated 2/9/22,,,,,,,,,,,,,,,,,,,,
SB29,C00225342,SB29.7928,,,CCM,Friends of Billy Nungesser,,,,,,P.O. Box 6107,,Metairie,LA,70009,,,2023-03-20,500.00,,Non-federal contribution; LA Lt. Governor,,,,,,,,,,,,,,,,,,,,
SB29,C00225342,SB29.7909,,,CCM,"Friends of Curtis J. Tarver, II",,,,,,4533 S Oakwood Avenue,,Chicago,IL,60690,,,2023-03-21,-250.00,,Void Check #9675; dated 9/1/21,,,,,,,,,,,,,,,,,,,,
SB29,C00225342,SB29.7932,,,CCM,Friends of Jeylu Gutierrez,,,,,,4638 S. Troy St.,,Chicago,IL,60632,,,2023-03-01,1000.00,,Non-federal contribution; Chicago Alderman,,,,,,,,,,,,,,,,,,,,
SB29,C00225342,SB29.7911,,,COM,Friends of Kelly Burke,,,,,,330 N. Wabash Avenue,Suite 4000,Chicago,IL,60611,,,2023-03-21,-500.00,,Void Check #9778; dated 10/26/21,,,,,,,,,,,,,,,,,,,,
SB29,C00225342,SB29.7931,,,CCM,Friends of Kevin Olickal,,,,,,P.O. Box 1545,,Shokie,IL,60077,,,2023-03-01,250.00,,Non-federal contribution; IL House,,,,,,,,,,,,,,,,,,,,
SB29,C00225342,SB29.7930,,,CCM,Friends of Timmy Knudsen,,,,,,334 W. Menomonee Street,Apt. 302,Chicago,IL,60614,,,2023-03-01,500.00,,Non-federal contribution; Chicago Alderman,,,,,,,,,,,,,,,,,,,,
SB29,C00225342,SB29.7935,,,CCM,Friends to Elect Harry Benton,,,,,,13250 Sunderlin Road,,Plainfield,IL,60585,,,2023-03-23,250.00,,Non-federal contribution; IL House,,,,,,,,,,,,,,,,,,,,
SB29,C00225342,SB29.7944,,,CCM,Greg Hembree for SC Senate,,,,,,604 Gressette Bldg.,,Columbia,SC,29201,,,2023-03-15,1000.00,,Non-federal contribution; SC Senate,,,,,,,,,,,,,,,,,,,,
SB29,C00225342,SB29.7939,,,CCM,Jay Jordan for SC House,,,,,,P.O. Box 7273,,Florence,SC,29502,,,2023-03-13,1000.00,,Non-federal Contribution; SC House,,,,,,,,,,,,,,,,,,,,
SB29,C00225342,SB29.7963,,,CCM,Jay West for House,,,,,,402 Brown Avenue,,Belton,SC,29627,,,2023-03-13,1000.00,,Non-federal contribution; SC House,,,,,,,,,,,,,,,,,,,,
SB29,C00225342,SB29.7964,,,CCM,Jeff Bradley for SC House,,,,,,304 Seabrook Drive,,Hilton Head,SC,29926,,,2023-03-13,1000.00,,Non-federal contributoin; SC House,,,,,,,,,,,,,,,,,,,,
SB29,C00225342,SB29.7965,,,CCM,Jeff Johnson for SC House,,,,,,7223 Pee Dee Highway,,Conway,SC,29527,,,2023-03-13,1000.00,,Non-federal contribution; SC House,,,,,,,,,,,,,,,,,,,,
SB29,C00225342,SB29.7949,,,CCM,John Scott for Senate,,,,,,1107 Anthony Avenue,,Columbia,SC,29201,,,2023-03-15,1000.00,,Non-federal contribution; SC Senate,,,,,,,,,,,,,,,,,,,,
SB29,C00225342,SB29.7959,,,CCM,Josh Kimbrell,,,,,,1661 Old Furnace Road,,Boiling Springs,SC,29316,,,2023-03-15,1000.00,,Non-federal contribution; SC Senate,,,,,,,,,,,,,,,,,,,,
SB29,C00225342,SB29.7942,,,CCM,Larry Grooms for Senate,,,,,,203 Gressette Bldg.,,Columbia,SC,29201,,,2023-03-15,1000.00,,Non-federal contribution; SC Senate,,,,,,,,,,,,,,,,,,,,
SB29,C00225342,SB29.7954,,,CCM,Mike Reichenbach for SC Senate,,,,,,P.O. Box 3254,,Florence,SC,29502,,,2023-03-15,1000.00,,Non-federal contribution; SC House,,,,,,,,,,,,,,,,,,,,
SB29,C00225342,SB29.7940,,,CCM,Murrell Smith for House,,,,,,P.O. Box 580,,Sumter,SC,29151,,,2023-03-15,1000.00,,Non-federal contribution; SC House,,,,,,,,,,,,,,,,,,,,
SB29,C00225342,SB29.7945,,,CCM,Ronnie Sabb for Senate,,,,,,P.O. Box 88,,Kingstree,SC,29556,,,2023-03-15,1000.00,,Non-federal contribution; SC Senate,,,,,,,,,,,,,,,,,,,,
SB29,C00225342,SB29.7967,,,CCM,Shane Martin for Senate,,,,,,P.O. Box 575,,Pauline,SC,29374,,,2023-03-14,1000.00,,Non-federal contribution; SC Senate,,,,,,,,,,,,,,,,,,,,
