form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB29,C00193433,SB29-413833,,,CCM,Snodgrass for Assembly  ,,,,,,415 S Olde Oneida St,Apt 204,Appleton,WI,54911,,,2024-05-10,1000.00,0.00,Candidate Contribution,,,Lee Snodgrass ,,,,,,,,,,,,,,,,,State House; WI-57
SB29,C00193433,SB29-413802,,,CCM,Committee to Elect Joy Garratt ,,,,,,10308 Marin Dr. NW,,Albuquerque,NM,87114,,,2024-05-10,1000.00,0.00,Candidate Contribution,,,Joy Garratt ,,,,,,,,,,,,,,,,,State House; NM-29
SB29,C00193433,SB29-413804,,,CCM,Charlotte Little for HD 68 ,,,,,,10018 Erlitz Dr. NW,,Albuquerque,NM,87114,,,2024-05-10,5000.00,0.00,Candidate Contribution,,,Charlotte Little ,,,,,,,,,,,,,,,,,State House; NM-68
SB29,C00193433,SB29-413816,,,CCM,Palmeri for WI ,,,,,,212 W Parkway Ave,,Oshkosh,WI,54901,,,2024-05-10,1000.00,0.00,Candidate Contribution,,,Lori Palmeri ,,,,,,,,,,,,,,,,,State House; WI-54
SB29,C00193433,SB29-413805,,,CCM,Billings for Assembly ,,,,,,1403 Johnson Street,,La Crosse,WI,54601,,,2024-05-10,1000.00,0.00,Candidate Contribution,,,Jill Billings ,,,,,,,,,,,,,,,,,State House; WI-95
SB29,C00193433,SB29-413817,,,CCM,Steele for PA ,,,,,,P.O. Box 11361,,Pittsburgh,PA,15238,,,2024-05-10,10000.00,0.00,Candidate Contribution,,,Mandy Steele ,,,,,,,,,,,,,,,,,State House; PA-33
SB29,C00193433,SB29-413818,,,CCM,Emerson for Assembly ,,,,,,519 Chauncey St.,,Eau Claire,WI,54701,,,2024-05-10,1000.00,0.00,Candidate Contribution,,,Jodi Emerson ,,,,,,,,,,,,,,,,,State House; WI-91
SB29,C00193433,SB29-413819,,,CCM,FRIENDS OF ANNA PAYNE ,,,,,,346 Stratton Ct,,Langhorne,PA,19047,,,2024-05-10,5000.00,0.00,Candidate Contribution,,,ANNA PAYNE ,,,,,,,,,,,,,,,,,State House; PA-142
SB29,C00193433,SB29-413823,,,CCM,Vote for Kathleen ,,,,,,3115 May Cir. SE,,Rio Rancho,NM,87124,,,2024-05-10,2500.00,0.00,Candidate Contribution,,,Kathleen Cates ,,,,,,,,,,,,,,,,,State House; NM-44
SB29,C00193433,SB29-413824,,,CCM,Herndon For New Mexico ,,,,,,P.O. Box 27724,,Albuquerque,NM,87125,,,2024-05-10,5000.00,0.00,Candidate Contribution,,,Pamelya Herndon ,,,,,,,,,,,,,,,,,State House; NM-28
SB29,C00193433,SB29-413814,,,CCM,Cynthia 4 NM House ,,,,,,8731 Springhill Dr. NW,,Albuquerque,NM,87114,,,2024-05-10,1000.00,0.00,Candidate Contribution,,,Cynthia Borrego ,,,,,,,,,,,,,,,,,State House; NM-5
SB29,C00193433,SB29-413820,,,CCM,Friends of Anna Thomas ,,,,,,3325 Darien Rd.,,Bethlehem,PA,18020,,,2024-05-10,5000.00,0.00,Candidate Contribution,,,Anna Thomas ,,,,,,,,,,,,,,,,,State House; PA-137
SB29,C00193433,SB29-413821,,,CCM,Friends of Elizabeth Moro ,,,,,,100 McFadden Rd,,Chadds Ford,PA,19317,,,2024-05-10,5000.00,0.00,Candidate Contribution,,,Friends of Elizabeth Moro ,,,,,,,,,,,,,,,,,State House; PA-160
SB29,C00193433,SB29-413822,,,CCM,Friends of Hadley Haas ,,,,,,1309 Linden ST,,Sewickley,PA,15143,,,2024-05-10,5000.00,0.00,Candidate Contribution,,,Friends of Hadley Haas ,,,,,,,,,,,,,,,,,State House; PA-44
SB29,C00193433,SB29-413825,,,CCM,Tara Jaramillo for New Mexico ,,,,,,407 Park St,,Socorro,NM,87801,,,2024-05-10,5500.00,0.00,Candidate Contribution,,,Tara Jaramillo for New Mexico ,,,,,,,,,,,,,,,,,State House; NM-38
SB29,C00193433,SB29-413836,,,CCM,Friends of Sara Agerton ,,,,,,611 E Keller Street,,Mechanicsburg,PA,17055,,,2024-05-13,5000.00,0.00,Candidate Contribution,,,Friends of Sara Agerton ,,,,,,,,,,,,,,,,,State House; PA-88
SB29,C00193433,SB29-414045,,,CCM,Angel For Senate ,,,,,,PO Box 209,,Acomita,NM,87034,,,2024-05-17,5500.00,0.00,Candidate Contribution,,,Angel For Senate ,,,,,,,,,,,,,,,,,State Senate; NM-30
SB29,C00193433,SB29-414047,,,CCM,Heather for NM Senate ,,,,,,PO Box 35267,,Albuquerque,NM,87176,,,2024-05-17,5500.00,0.00,Candidate Contribution,,,Heather for NM Senate ,,,,,,,,,,,,,,,,,State Senate; NM-15
SB29,C00193433,SB29-414054,,,CCM,Michelle Paulene Abeyta for New Mexico ,,,,,,PO Box 3928,,Tohajiilee,NM,87026,,,2024-05-17,2500.00,0.00,Candidate Contribution,,,Michelle Paulene Abeyta for New Mexico ,,,,,,,,,,,,,,,,,State House; NM-69
SB29,C00193433,SB29-414058,,,CCM,Friends for Anita Gonzales ,,,,,,HC 80 Box 193C,,Las Vegas,NM,87701,,,2024-05-17,5500.00,0.00,Candidate Contribution,,,Friends for Anita Gonzales ,,,,,,,,,,,,,,,,,State House; NM-70
SB29,C00193433,SB29-414062,,,PTY,Democratic Party of Wisconsin ,,,,,,"15 N Pinckney St., Suite 200",,Madison,WI,53703,,,2024-05-17,12000.00,0.00,Committee Contribution,,,Democratic Party of Wisconsin ,,,,,,,,,,,,,,,,,
SB29,C00193433,SB29-414160,,,ORG,National Partnership for Women and Families,,,,,,"1875 Connecticut Ave, NW #650",,Washington,DC,20009,,,2024-05-23,5000.00,0.00,Charitable Contribution,,,,,,,,,,,,,,,,,,,,
