form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00801803,SB21B.5048,,,ORG,Anedot,,,,,,5555 Hilton Ave,Suite 106,Baton Rouge,LA,70808,,,2023-06-30,18806.70,,Merchant Fees,003,,,,,,,,,,,,,,,,,,,
SB21B,C00801803,SB21B.4811,,,ORG,Artisan Media Group,,,,,,4960 SW 72 Ave,Ste 202,Miami,FL,33155,,,2023-06-16,69700.00,,National Republican Voter Survey,005,,,,,,,,,,,,,,,,,,,
SB21B,C00801803,SB21B.4812,,,ORG,Artisan Media Group,,,,,,4960 SW 72 Ave,Ste 202,Miami,FL,33155,,,2023-06-20,29000.00,,Political Consulting,001,,,,,,,,,,,,,,,,,,,
SB21B,C00801803,SB21B.4813,,,ORG,Artisan Media Group,,,,,,4960 SW 72 Ave,Ste 202,Miami,FL,33155,,,2023-06-20,10716.48,,Website design,004,,,,,,,,,,,,,,,,,,,
SB21B,C00801803,SB21B.4814,,,ORG,Artisan Media Group,,,,,,4960 SW 72 Ave,Ste 202,Miami,FL,33155,,,2023-06-21,12834.60,,SC Magmedia Data File,005,,,,,,,,,,,,,,,,,,,
SB21B,C00801803,SB21B.4815,,,ORG,Artisan Media Group,,,,,,4960 SW 72 Ave,Ste 202,Miami,FL,33155,,,2023-06-21,11100.00,,"Voter Data Files - IA,NH,NV",005,,,,,,,,,,,,,,,,,,,
SB21B,C00801803,SB21B.5046,,,ORG,Artisan Media Group,,,,,,4960 SW 72 Ave,Ste 202,Miami,FL,33155,,,2023-06-22,2675.00,,Short code aggregation,005,,,,,,,,,,,,,,,,,,,
SB21B,C00801803,SB21B.5047,,,ORG,Artisan Media Group,,,,,,4960 SW 72 Ave,Ste 202,Miami,FL,33155,,,2023-06-22,31384.88,,Magmedia File - Donors,005,,,,,,,,,,,,,,,,,,,
SB21B,C00801803,SB21B.4672,,,IND,,Bennett,Barry,,,,14 West Oak Street,,Alexandria,VA,22301,,,2023-04-17,20000.00,,Strategic Consulting,001,,,,,,,,,,,,,,,,,,,
SB21B,C00801803,SB21B.4675,,,IND,,Bennett,Barry,,,,14 West Oak Street,,Alexandria,VA,22301,,,2023-05-01,20000.00,,Strategic Consulting,001,,,,,,,,,,,,,,,,,,,
SB21B,C00801803,SB21B.4677,,,IND,,Bennett,Barry,,,,14 West Oak Street,,Alexandria,VA,22301,,,2023-06-01,23070.45,,Strategic Consulting,001,,,,,,,,,,,,,,,,,,,
SB21B,C00801803,SB21B.4665,,,ORG,Berke Farah LLP,,,,,,"1717 K Street, NW",Suite 900,Washington,DC,20006,,,2023-02-02,2145.00,,legal consulting,001,,,,,,,,,,,,,,,,,,,
SB21B,C00801803,SB21B.4666,,,ORG,Berke Farah LLP,,,,,,"1717 K Street, NW",Suite 900,Washington,DC,20006,,,2023-02-09,1300.00,,legal consulting,001,,,,,,,,,,,,,,,,,,,
SB21B,C00801803,SB21B.4668,,,ORG,Berke Farah LLP,,,,,,"1717 K Street, NW",Suite 900,Washington,DC,20006,,,2023-03-17,780.00,,legal consulting,001,,,,,,,,,,,,,,,,,,,
SB21B,C00801803,SB21B.4674,,,ORG,Berke Farah LLP,,,,,,"1717 K Street, NW",Suite 900,Washington,DC,20006,,,2023-04-17,535.00,,legal consulting,001,,,,,,,,,,,,,,,,,,,
SB21B,C00801803,SB21B.4657,,,ORG,BFF Compliance,,,,,,6619 S Dixie Hwy No 148,,Miami,FL,33143,,,2023-01-06,6300.00,,Accounting & Compliance,001,,,,,,,,,,,,,,,,,,,
SB21B,C00801803,SB21B.4678,,,ORG,BFF Compliance,,,,,,6619 S Dixie Hwy No 148,,Miami,FL,33143,,,2023-06-09,2625.00,,Accounting & Compliance,001,,,,,,,,,,,,,,,,,,,
SB21B,C00801803,SB21B.4658,,,ORG,BYG Strategies Inc.,,,,,,951 Brickell Ave,#410,Miami,FL,33131,,,2023-01-12,200000.00,,Fundraising Consulting,003,,,,,,,,,,,,,,,,,,,
SB21B,C00801803,SB21B.4667,,,ORG,BYG Strategies Inc.,,,,,,951 Brickell Ave,#410,Miami,FL,33131,,,2023-03-02,48717.50,,Fundraising Consulting,003,,,,,,,,,,,,,,,,,,,
SB21B,C00801803,SB21B.5043,,,ORG,"Harris Media, LLC",,,,,,66 W Flagler Street,Unit PH-1,Miami,FL,33130,,,2023-06-14,37851.43,,"Consulting, Web Design & Development",004,,,,,,,,,,,,,,,,,,,
SB21B,C00801803,SB21B.4680,,,ORG,"i360, LLC",,,,,,2300 Clarendon Blvd,Ste 800,Arlington,VA,22201,,,2023-06-22,35000.00,,IA Caucus List,005,,,,,,,,,,,,,,,,,,,
SB21B,C00801803,SB21B.4659,,,ORG,Synovus Bank,,,,,,1148 Broadway,,Columbus,GA,31901,,,2023-01-26,844.81,,bank fees,001,,,,,,,,,,,,,,,,,,,
SB21B,C00801803,SB21B.4660,,,ORG,Synovus Bank,,,,,,1148 Broadway,,Columbus,GA,31901,,,2023-02-24,644.38,,bank fees,001,,,,,,,,,,,,,,,,,,,
SB21B,C00801803,SB21B.4661,,,ORG,Synovus Bank,,,,,,1148 Broadway,,Columbus,GA,31901,,,2023-03-27,680.25,,bank fees,001,,,,,,,,,,,,,,,,,,,
SB21B,C00801803,SB21B.4662,,,ORG,Synovus Bank,,,,,,1148 Broadway,,Columbus,GA,31901,,,2023-04-24,648.35,,bank fees,001,,,,,,,,,,,,,,,,,,,
SB21B,C00801803,SB21B.4663,,,ORG,Synovus Bank,,,,,,1148 Broadway,,Columbus,GA,31901,,,2023-05-26,658.15,,bank fees,001,,,,,,,,,,,,,,,,,,,
SB21B,C00801803,SB21B.4664,,,ORG,Synovus Bank,,,,,,1148 Broadway,,Columbus,GA,31901,,,2023-06-29,609.77,,bank fees,001,,,,,,,,,,,,,,,,,,,
SB21B,C00801803,SB21B.4670,,,ORG,The Tarrance Group,,,,,,201 N. Union St.,Ste 410,Alexandria,VA,22314,,,2023-03-17,52000.00,,Focus Groups,005,,,,,,,,,,,,,,,,,,,
SB21B,C00801803,SB21B.4673,,,ORG,The Tarrance Group,,,,,,201 N. Union St.,Ste 410,Alexandria,VA,22314,,,2023-04-17,54000.00,,Focus Groups,005,,,,,,,,,,,,,,,,,,,
