form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00405050,500173840,,,ORG,ActBlue Technical Services,,,,,,366 Summer St,,Somerville,MA,021443132,,,2024-10-06,197.50,0.00,Credit Card Processing Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00405050,500173291,,,ORG,Delta Airlines,,,,,,PO Box 20706,,Atlanta,GA,303206001,,,2024-10-02,313.48,0.00,Travel Expenses,,,,,,,,,,,,,,,,,,,,
SB21B,C00405050,500173293,,,ORG,Delta Airlines,,,,,,PO Box 20706,,Atlanta,GA,303206001,,,2024-10-07,478.48,0.00,Travel Expenses,,,,,,,,,,,,,,,,,,,,
SB21B,C00405050,500173294,,,ORG,Delta Airlines,,,,,,PO Box 20706,,Atlanta,GA,303206001,,,2024-10-07,478.48,0.00,Travel Expenses,,,,,,,,,,,,,,,,,,,,
SB21B,C00405050,500173289,,,ORG,Expedia,,,,,,333 108Th Ave NE,,Bellevue,WA,980045703,,,2024-10-02,672.76,0.00,Travel Expenses,,,,,,,,,,,,,,,,,,,,
SB21B,C00405050,500173295,,,ORG,Expedia,,,,,,333 108Th Ave NE,,Bellevue,WA,980045703,,,2024-10-07,36.00,0.00,Travel Expenses,,,,,,,,,,,,,,,,,,,,
SB21B,C00405050,500173296,,,ORG,Expedia,,,,,,333 108Th Ave NE,,Bellevue,WA,980045703,,,2024-10-08,1475.44,0.00,Travel Expenses,,,,,,,,,,,,,,,,,,,,
SB21B,C00405050,500173290,,,ORG,Geico,,,,,,5260 Western Ave,,Chevy Chase,MD,208153701,,,2024-10-02,501.93,0.00,Insurance,,,,,,,,,,,,,,,,,,,,
SB21B,C00405050,500173831,,,ORG,Somerset Inn,,,,,,2601 W Big Beaver Rd,,Troy,MI,480843305,,,2024-10-16,162.13,0.00,Travel Expenses,,,,,,,,,,,,,,,,,,,,
SB21B,C00405050,500173832,,,ORG,Somerset Inn,,,,,,2601 W Big Beaver Rd,,Troy,MI,480843305,,,2024-10-16,162.13,0.00,Travel Expenses,,,,,,,,,,,,,,,,,,,,
SB21B,C00405050,500173833,,,ORG,Spring House Inn,,,,,,303 N Mineral Springs Rd,,Porter,IN,463049788,,,2024-10-16,122.08,0.00,Travel Expenses,,,,,,,,,,,,,,,,,,,,
SB21B,C00405050,500173834,,,ORG,Spring House Inn,,,,,,303 N Mineral Springs Rd,,Porter,IN,463049788,,,2024-10-16,122.08,0.00,Travel Expenses,,,,,,,,,,,,,,,,,,,,
SB21B,C00405050,500173835,,,ORG,Spring House Inn,,,,,,303 N Mineral Springs Rd,,Porter,IN,463049788,,,2024-10-16,122.08,0.00,Travel Expenses,,,,,,,,,,,,,,,,,,,,
SB21B,C00405050,500173826,,,ORG,Uber,,,,,,1515 3Rd St,,San Francisco,CA,941582211,,,2024-10-15,48.01,0.00,Travel Expenses,,,,,,,,,,,,,,,,,,,,
SB21B,C00405050,500173292,,,ORG,University Club Of Saint Paul,,,,,,420 Summit Ave,,Saint Paul,MN,551022624,,,2024-10-03,69.00,0.00,Food & Beverage,,,,,,,,,,,,,,,,,,,,
SB21B,C00405050,500173297,,,ORG,University Club Of Saint Paul,,,,,,420 Summit Ave,,Saint Paul,MN,551022624,,,2024-10-08,159.02,0.00,Food & Beverage,,,,,,,,,,,,,,,,,,,,
