form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00846675,SB21B.4195,,,ORG,AT&T,,,,,,208 S Akard St,,Dallas,TX,75202,,,2024-06-20,383.98,,Phone,001,,,,,,,,,,,,,,,,,,,
SB21B,C00846675,SB21B.4180,,,ORG,Home Depot,,,,,,2330 Crest View Dr,,Hudson,WI,54016,,,2024-06-14,261.11,,,001,,,,,,,,,,,,,,,,,,,
SB21B,C00846675,SB21B.4150,,,ORG,Public Storage,,,,,,701 Western Ave,,Glendale,CA,91201,,,2024-04-03,189.00,,Rent,001,C00846675,Dedicated Action Victory Initiative Strategy DAVIS PAC,,,,,,,,,,,,,,,,,
SB21B,C00846675,SB21B.4151,,,ORG,Public Storage,,,,,,701 Western Ave,,Glendale,CA,91201,,,2024-04-03,291.00,,Rent,001,C00846675,Dedicated Action Victory Initiative Strategy DAVIS PAC,,,,,,,,,,,,,,,,,
SB21B,C00846675,SB21B.4198,,,ORG,Public Storage,,,,,,701 Western Ave,,Glendale,CA,91201,,,2024-05-03,189.00,,Rent,001,,,,,,,,,,,,,,,,,,,
SB21B,C00846675,SB21B.4199,,,ORG,Public Storage,,,,,,701 Western Ave,,Glendale,CA,91201,,,2024-05-03,291.00,,Rent,001,,,,,,,,,,,,,,,,,,,
SB21B,C00846675,SB21B.4196,,,ORG,Public Storage,,,,,,701 Western Ave,,Glendale,CA,91201,,,2024-06-03,291.00,,Rent,001,,,,,,,,,,,,,,,,,,,
SB21B,C00846675,SB21B.4197,,,ORG,Public Storage,,,,,,701 Western Ave,,Glendale,CA,91201,,,2024-06-03,189.00,,Rent,001,,,,,,,,,,,,,,,,,,,
SB21B,C00846675,SB21B.4149,,,ORG,Same Day Processing,,,,,,502 6th St,,Hudson,WI,54016,,,2024-04-02,550.00,,Caging,001,C00846675,Dedicated Action Victory Initiative Strategy DAVIS PAC,,,,,,,,,,,,,,,,,
SB21B,C00846675,SB21B.4207,,,ORG,Same Day Processing,,,,,,502 6th St,,Hudson,WI,54016,,,2024-05-02,550.00,,Caging,001,C00846675,Dedicated Action Victory Initiative Strategy DAVIS PAC,,,,,,,,,,,,,,,,,
SB21B,C00846675,SB21B.4208,,,ORG,Same Day Processing,,,,,,502 6th St,,Hudson,WI,54016,,,2024-05-28,1000.00,,Caging,001,C00846675,Dedicated Action Victory Initiative Strategy DAVIS PAC,,,,,,,,,,,,,,,,,
SB21B,C00846675,SB21B.4209,,,ORG,Same Day Processing,,,,,,502 6th St,,Hudson,WI,54016,,,2024-06-03,750.00,,Caging,001,C00846675,Dedicated Action Victory Initiative Strategy DAVIS PAC,,,,,,,,,,,,,,,,,
SB21B,C00846675,SB21B.4191,,,ORG,U-Haul,,,,,,593 Schommer Dr,,Hudson,WI,54016,,,2024-06-20,117.11,,,001,,,,,,,,,,,,,,,,,,,
SB21B,C00846675,SB21B.4178,,,ORG,U-Haul,,,,,,593 Schommer Dr,,Hudson,WI,54016,,,2024-06-21,54.76,,,001,,,,,,,,,,,,,,,,,,,
SB21B,C00846675,SB21B.4175,,,ORG,U-Haul,,,,,,593 Schommer Dr,,Hudson,WI,54016,,,2024-06-24,14.83,,,001,,,,,,,,,,,,,,,,,,,
SB21B,C00846675,SB21B.4177,,,ORG,U-Haul,,,,,,593 Schommer Dr,,Hudson,WI,54016,,,2024-06-24,21.57,,,,,,,,,,,,,,,,,,,,,,
SB21B,C00846675,SB21B.4171,,,ORG,Walmart,,,,,,2222 Crest View Dr,,Hudson,WI,54016,,,2024-06-25,80.01,,,001,,,,,,,,,,,,,,,,,,,
