form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,dissemination_date,expenditure_amount,disbursement_date,calendar_y_t_d_per_election_office,expenditure_purpose_descrip,category_code,payee_cmtte_fec_id_number,support_oppose_code,candidate_id_number,candidate_last_name,candidate_first_name,candidate_middle_name,candidate_prefix,candidate_suffix,candidate_office,candidate_district,candidate_state,completing_last_name,completing_first_name,completing_middle_name,completing_prefix,completing_suffix,date_signed,memo_code,memo_text_description
SE,C00883215,SE.4300,,,ORG,Google Ads,,,,,,1600 Amphitheater Parkway,,Mountain View,CA,94043,G2024,,2024-10-17,245.63,2024-10-17,6874.03,Support Harris; oppose Trump,004,C00883215,S,P00009423,HARRIS,KAMALA,,,,P,,,Peters,Barry,,,,2024-12-02,
SE,C00883215,SE.4323,,,ORG,Google Ads,,,,,,1600 Amphitheater Parkway,,Mountain View,CA,94043,G2024,,2024-10-17,276.35,2024-10-17,2854.10,Support Calvarese; oppose Boebert,004,C00883215,S,H4CO04280,CALVARESE,TRISHA,,,,H,04,CO,Peters,Barry,,,,2024-12-02,
SE,C00883215,SE.4301,,,ORG,Google Ads,,,,,,1600 Amphitheater Parkway,,Mountain View,CA,94043,G2024,,2024-10-18,234.54,2024-10-18,7108.57,Support Harris; oppose Trump,004,C00883215,S,P00009423,HARRIS,KAMALA,,,,P,,,Peters,Barry,,,,2024-12-02,
SE,C00883215,SE.4324,,,ORG,Google Ads,,,,,,1600 Amphitheater Parkway,,Mountain View,CA,94043,G2024,,2024-10-18,164.06,2024-10-18,3018.16,Support Calvarese; oppose Boebert,004,C00883215,S,H4CO04280,CALVARESE,TRISHA,,,,H,04,CO,Peters,Barry,,,,2024-12-02,
SE,C00883215,SE.4302,,,ORG,Google Ads,,,,,,1600 Amphitheater Parkway,,Mountain View,CA,94043,G2024,,2024-10-19,240.90,2024-10-19,7349.47,Support Harris; oppose Trump,004,C00883215,S,P00009423,HARRIS,KAMALA,,,,P,,,Peters,Barry,,,,2024-12-02,
SE,C00883215,SE.4325,,,ORG,Google Ads,,,,,,1600 Amphitheater Parkway,,Mountain View,CA,94043,G2024,,2024-10-19,162.96,2024-10-19,3181.12,Support Calvarese; oppose Boebert,004,C00883215,S,H4CO04280,CALVARESE,TRISHA,,,,H,04,CO,Peters,Barry,,,,2024-12-02,
SE,C00883215,SE.4303,,,ORG,Google Ads,,,,,,1600 Amphitheater Parkway,,Mountain View,CA,94043,G2024,,2024-10-20,257.24,2024-10-20,7606.71,Support Harris; oppose Trump,004,C00883215,S,P00009423,HARRIS,KAMALA,,,,P,,,Peters,Barry,,,,2024-12-02,
SE,C00883215,SE.4326,,,ORG,Google Ads,,,,,,1600 Amphitheater Parkway,,Mountain View,CA,94043,G2024,,2024-10-20,165.19,2024-10-20,3346.31,Support Calvarese; oppose Boebert,004,C00883215,S,H4CO04280,CALVARESE,TRISHA,,,,H,04,CO,Peters,Barry,,,,2024-12-02,
SE,C00883215,SE.4304,,,ORG,Google Ads,,,,,,1600 Amphitheater Parkway,,Mountain View,CA,94043,G2024,,2024-10-21,145.79,2024-10-21,7752.50,Support Harris; oppose Trump,004,C00883215,S,P00009423,HARRIS,KAMALA,,,,P,,,Peters,Barry,,,,2024-12-02,
SE,C00883215,SE.4327,,,ORG,Google Ads,,,,,,1600 Amphitheater Parkway,,Mountain View,CA,94043,G2024,,2024-10-21,40.68,2024-10-21,3386.99,Support Calvarese; oppose Boebert,004,C00883215,S,H4CO04280,CALVARESE,TRISHA,,,,H,04,CO,Peters,Barry,,,,2024-12-02,
