form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,dissemination_date,expenditure_amount,disbursement_date,calendar_y_t_d_per_election_office,expenditure_purpose_descrip,category_code,payee_cmtte_fec_id_number,support_oppose_code,candidate_id_number,candidate_last_name,candidate_first_name,candidate_middle_name,candidate_prefix,candidate_suffix,candidate_office,candidate_district,candidate_state,completing_last_name,completing_first_name,completing_middle_name,completing_prefix,completing_suffix,date_signed,memo_code,memo_text_description
SE,C00556860,XEALC61,,,COM,House Majority PAC,,,,,,"1029 Vermont Avenue, NW",Suite 300,Washington,DC,20005,G2024,,2024-09-27,500.00,2024-09-27,38303.96,Polling,24A,,O,,Baugh,Scott,,,,H,47,CA,Ragsac,Nikki,,,,2024-10-15,
SE,C00556860,XEALC85,,,ORG,Planned Parenthood Affiliates of California,,,,,,"1201 K Street, Suite 710",,Sacramento,CA,95814,G2024,,2024-07-01,1383.84,2024-09-19,3427.44,Staff Time (7/1-8/31),24A,,O,,Duarte,John,,,,H,13,CA,Ragsac,Nikki,,,,2024-10-15,
SE,C00556860,XEALC87,,,ORG,Planned Parenthood Affiliates of California,,,,,,"1201 K Street, Suite 710",,Sacramento,CA,95814,G2024,,2024-07-01,601.85,2024-09-19,2159.62,Staff Time (7/1-8/31),24A,,O,,Kiley,Kevin,,,,H,03,CA,Ragsac,Nikki,,,,2024-10-15,
SE,C00556860,XEALC88,,,ORG,Planned Parenthood Affiliates of California,,,,,,"1201 K Street, Suite 710",,Sacramento,CA,95814,G2024,,2024-07-01,601.85,2024-09-19,2159.61,Staff Time (7/1-8/31),24A,,O,,Valadao,David,,,,H,22,CA,Ragsac,Nikki,,,,2024-10-15,
SE,C00556860,XEALC89,,,ORG,Planned Parenthood Affiliates of California,,,,,,"1201 K Street, Suite 710",,Sacramento,CA,95814,G2024,,2024-07-01,601.86,2024-09-19,2159.62,Staff Time (7/1-8/31),24A,,O,,Calvert,Ken,,,,H,41,CA,Ragsac,Nikki,,,,2024-10-15,
SE,C00556860,XEALC90,,,ORG,Planned Parenthood Affiliates of California,,,,,,"1201 K Street, Suite 710",,Sacramento,CA,95814,G2024,,2024-07-01,601.85,2024-09-19,2159.62,Staff Time (7/1-8/31),24A,,O,,Garcia,Mike,,,,H,27,CA,Ragsac,Nikki,,,,2024-10-15,
SE,C00556860,BE168,,,ORG,Planned Parenthood Affiliates of California,,,,,,"1201 K Street, Suite 710",,Sacramento,CA,95814,G2024,,2024-09-01,377.63,2024-09-30,3427.44,Staff Time (9/1-9/30).  Actual amount for 48-hour report filed on 10/9/24,24A,,O,,Duarte,John,,,,H,13,CA,Ragsac,Nikki,,,,2024-10-15,X
SE,C00556860,BE170,,,ORG,Planned Parenthood Affiliates of California,,,,,,"1201 K Street, Suite 710",,Sacramento,CA,95814,G2024,,2024-09-19,377.64,2024-09-30,2159.62,Staff Time (9/1-9/30),24A,,O,,Garcia,Mike,,,,H,27,CA,Ragsac,Nikki,,,,2024-10-15,X
SE,C00556860,BE171,,,ORG,Planned Parenthood Affiliates of California,,,,,,"1201 K Street, Suite 710",,Sacramento,CA,95814,G2024,,2024-09-19,377.63,2024-09-30,2159.62,Staff Time (9/1-9/30),24A,,O,,Calvert,Ken,,,,H,41,CA,Ragsac,Nikki,,,,2024-10-15,X
SE,C00556860,BE172,,,ORG,Planned Parenthood Affiliates of California,,,,,,"1201 K Street, Suite 710",,Sacramento,CA,95814,G2024,,2024-09-19,377.63,2024-09-30,2159.61,Staff Time (9/1-9/30),24A,,O,,Valadao,David,,,,H,22,CA,Ragsac,Nikki,,,,2024-10-15,X
