form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,dissemination_date,expenditure_amount,disbursement_date,calendar_y_t_d_per_election_office,expenditure_purpose_descrip,category_code,payee_cmtte_fec_id_number,support_oppose_code,candidate_id_number,candidate_last_name,candidate_first_name,candidate_middle_name,candidate_prefix,candidate_suffix,candidate_office,candidate_district,candidate_state,completing_last_name,completing_first_name,completing_middle_name,completing_prefix,completing_suffix,date_signed,memo_code,memo_text_description
SE,C00880765,SE.4195,,,ORG,A Better Wisconsin Together,,,,,,"6516 Monona Drive, Ste 244",,Monona,WI,53716,G2024,,2024-09-10,5183.75,2024-09-10,1034034.81,Staff time creating social media graphics 9/10-9/22 - estimate,004,C00880765,S,,Harris,Kamala,,,,P,,,Cone,Amanda,,,,2024-10-14,X
SE,C00880765,SE.4198,,,ORG,A Better Wisconsin Together,,,,,,"6516 Monona Drive, Ste 244",,Monona,WI,53716,G2024,,2024-09-10,1727.89,2024-09-10,600000.00,Staff time creating social media content 9/10-9/22 - actual,004,C00880765,S,,Baldwin,Tammy,,,,S,,WI,Cone,Amanda,,,,2024-10-14,
SE,C00880765,SE.4200,,,ORG,A Better Wisconsin Together,,,,,,"6516 Monona Drive, Ste 244",,Monona,WI,53716,G2024,,2024-09-10,1727.89,2024-09-10,600000.00,Staff time creating social media graphics 9/10-9/22 - estimate,004,C00880765,O,,Hovde,Eric,,,,S,,WI,Cone,Amanda,,,,2024-10-14,X
SE,C00880765,SE.4294,,,ORG,A Better Wisconsin Together,,,,,,"6516 Monona Drive, Ste 244",,Monona,WI,53716,G2024,,2024-09-10,5183.75,2024-09-10,1034034.81,Staff time creating social media graphics 9/10-9/22 - actual,004,C00880765,S,,Harris,Kamala,,,,P,,,Cone,Amanda,,,,2024-10-14,
SE,C00880765,SE.4296,,,ORG,A Better Wisconsin Together,,,,,,"6516 Monona Drive, Ste 244",,Monona,WI,53716,G2024,,2024-09-10,5183.75,2024-09-10,1034034.81,Staff time creating social media graphics 9/10-9/22 - actual,004,C00880765,O,,Trump,Donald,,,,P,,,Cone,Amanda,,,,2024-10-14,
SE,C00880765,SE.4297,,,ORG,A Better Wisconsin Together,,,,,,"6516 Monona Drive, Ste 244",,Monona,WI,53716,G2024,,2024-09-10,1727.89,2024-09-10,600000.00,Staff time creating social media content 9/10-9/22 - actual,004,C00880765,O,,Hovde,Eric,,,,S,,WI,Cone,Amanda,,,,2024-10-14,
SE,C00880765,SE.4211,,,ORG,A Better Wisconsin Together,,,,,,"6516 Monona Drive, Ste 244",,Monona,WI,53716,G2024,,2024-09-19,69.24,2024-09-19,632000.16,Staff time on radio ad 9/19-10/5,004,C00880765,O,,Hovde,Eric,,,,S,,WI,Cone,Amanda,,,,2024-10-14,
SE,C00880765,SE.4214,,,ORG,A Better Wisconsin Together,,,,,,"6516 Monona Drive, Ste 244",,Monona,WI,53716,G2024,,2024-09-24,692.40,2024-09-20,1188727.21,Staff time on 15 second 'Deanna' ad 9/21-10/15,004,C00880765,S,,Harris,Kamala,,,,P,,,Cone,Amanda,,,,2024-10-14,
SE,C00880765,SE.4215,,,ORG,A Better Wisconsin Together,,,,,,"6516 Monona Drive, Ste 244",,Monona,WI,53716,G2024,,2024-09-21,173.10,2024-09-20,1188900.31,Staff time on 15 second 'Rising Costs' ad 9/21-10/15,004,C00880765,S,,Harris,Kamala,,,,P,,,Cone,Amanda,,,,2024-10-14,
SE,C00880765,SE.4219,,,ORG,A Better Wisconsin Together,,,,,,"6516 Monona Drive, Ste 244",,Monona,WI,53716,G2024,,2024-09-24,1384.80,2024-09-20,1344285.11,Staff time on 30 second 'Deanna' ad 9/21-10/15,004,C00880765,S,,Harris,Kamala,,,,P,,,Cone,Amanda,,,,2024-10-14,
SE,C00880765,SE.4220,,,ORG,A Better Wisconsin Together,,,,,,"6516 Monona Drive, Ste 244",,Monona,WI,53716,G2024,,2024-09-21,346.20,2024-09-20,1344631.31,Staff time on 30 second 'Rising Costs' ad 9/21-10/15,004,C00880765,S,,Harris,Kamala,,,,P,,,Cone,Amanda,,,,2024-10-14,
SE,C00880765,SE.4222,,,ORG,A Better Wisconsin Together,,,,,,"6516 Monona Drive, Ste 244",,Monona,WI,53716,G2024,,2024-09-21,276.96,2024-09-20,1386908.27,Staff time on 30 second 'Seren Comstock' ad 9/21-10/15,004,C00880765,O,,Trump,Donald,,,,P,,,Cone,Amanda,,,,2024-10-14,
SE,C00880765,SE.4197,,,ORG,A Better Wisconsin Together,,,,,,"6516 Monona Drive, Ste 244",,Monona,WI,53716,G2024,,2024-09-23,5204.10,2024-09-23,1386908.27,Staff time creating social media content 9/23-10/7 - estimate,004,C00880765,O,,Trump,Donald,,,,P,,,Cone,Amanda,,,,2024-10-14,X
SE,C00880765,SE.4236,,,ORG,A Better Wisconsin Together,,,,,,"6516 Monona Drive, Ste 244",,Monona,WI,53716,G2024,,2024-09-23,1731.44,2024-09-23,632000.16,Staff time creating social media content 9/23-10/7 - estimate,004,C00880765,S,,Baldwin,Tammy,,,,S,,WI,Cone,Amanda,,,,2024-10-14,X
SE,C00880765,SE.4237,,,ORG,A Better Wisconsin Together,,,,,,"6516 Monona Drive, Ste 244",,Monona,WI,53716,G2024,,2024-09-23,1731.44,2024-09-23,632000.16,Staff time creating social media content 9/23-10/7 - actual,004,C00880765,O,,Hovde,Eric,,,,S,,WI,Cone,Amanda,,,,2024-10-14,
SE,C00880765,SE.4238,,,ORG,A Better Wisconsin Together,,,,,,"6516 Monona Drive, Ste 244",,Monona,WI,53716,G2024,,2024-09-23,5204.10,2024-09-23,1386908.27,Staff time creating social media content 9/23-10/7 - estimate,004,C00880765,S,,Harris,Kamala,,,,P,,,Cone,Amanda,,,,2024-10-14,X
SE,C00880765,SE.4298,,,ORG,A Better Wisconsin Together,,,,,,"6516 Monona Drive, Ste 244",,Monona,WI,53716,G2024,,2024-09-23,5204.10,2024-09-23,1386908.27,Staff time creating social media content 9/23-10/7 - actual,004,C00880765,O,,Trump,Donald,,,,P,,,Cone,Amanda,,,,2024-10-14,
SE,C00880765,SE.4299,,,ORG,A Better Wisconsin Together,,,,,,"6516 Monona Drive, Ste 244",,Monona,WI,53716,G2024,,2024-09-23,5204.10,2024-09-23,1386908.27,Staff time creating social media content 9/23-10/7 - actual,004,C00880765,S,,Harris,Kamala,,,,P,,,Cone,Amanda,,,,2024-10-14,
SE,C00880765,SE.4300,,,ORG,A Better Wisconsin Together,,,,,,"6516 Monona Drive, Ste 244",,Monona,WI,53716,G2024,,2024-09-23,1731.44,2024-09-23,632000.16,Staff time creating social media content 9/23-10/7 - actual,004,C00880765,S,,Baldwin,Tammy,,,,S,,WI,Cone,Amanda,,,,2024-10-14,
SE,C00880765,SE.4208,,,ORG,Civic Media,,,,,,202 State Street #200,,Madison,WI,53703,G2024,,2024-09-19,31344.00,2024-09-19,631344.00,Radio ad placement 9/19-10/5,004,C00880765,O,,Hovde,Eric,,,,S,,WI,Cone,Amanda,,,,2024-10-14,
SE,C00880765,SE.4210,,,ORG,CMS Productions,,,,,,4223 Glencoe Ave,Ste A200,Marina Del Rey,CA,90292,G2024,,2024-09-19,586.92,2024-09-19,631930.92,Voiceover for radio ad to run 9/19-10/5,004,C00880765,O,,Hovde,Eric,,,,S,,WI,Cone,Amanda,,,,2024-10-14,
SE,C00880765,SE.4133,,,ORG,Left Hook,,,,,,2601 Ocean Park Blvd,,Santa Monica,CA,90405,G2024,,2024-07-12,304200.00,2024-07-11,701584.81,Increase frequency of ad previously reported ID 4017,004,C00880765,O,,Trump,Donald,,,,P,,,Cone,Amanda,,,,2024-10-14,
SE,C00880765,SE.4170,,,ORG,Left Hook,,,,,,2601 Ocean Park Blvd,,Santa Monica,CA,90405,G2024,,2024-07-19,162000.00,2024-07-19,162000.00,"Ad buy and production costs, 30 second ad",004,C00880765,O,,Hovde,Eric,,,,S,,WI,Cone,Amanda,,,,2024-10-14,
SE,C00880765,SE.4172,,,ORG,Left Hook,,,,,,2601 Ocean Park Blvd,,Santa Monica,CA,90405,G2024,,2024-07-19,138000.00,2024-07-19,300000.00,"Ad buy and production costs, 15 second ad",004,C00880765,O,,Hovde,Eric,,,,S,,WI,Cone,Amanda,,,,2024-10-14,
SE,C00880765,SE.4174,,,ORG,Left Hook,,,,,,2601 Ocean Park Blvd,,Santa Monica,CA,90405,G2024,,2024-07-25,187450.00,2024-07-24,187450.00,"Ad buy and production costs, 30 second ad",004,C00880765,O,,Trump,Donald,,,,P,,WI,Cone,Amanda,,,,2024-10-14,
