form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB23,C00139659,SB23.60411,,,CCM,ADAM FOR COLORADO,,,,,,PO BOX 371,,WOODY CREEK,CO,81656,P2024,,2023-09-26,30.00,,earmarked through ActBlue-Milgrom/Barnett,,C00805275,ADAM FOR COLORADO,H2CO03351,FRISCH,ADAM,,,,H,CO,03,,,,,,,X,
SB23,C00139659,SB23.60406,,,CCM,ELIZABETH PANNILL FLETCHER FOR CONGRESS,,,,,,3262 WESTHEIMER RD,#636,HOUSTON,TX,77098,P2024,,2023-09-28,75.00,,"earmarked through ActBlue-Atlas, Annie",,C00640045,ELIZABETH PANNILL FLETCHER FOR CONGRESS,H8TX07140,FLETCHER,ELIZABETH,,,,H,TX,07,,,,,,,X,
SB23,C00139659,SB23.60407,,,CCM,ELIZABETH PANNILL FLETCHER FOR CONGRESS,,,,,,3262 WESTHEIMER RD,#636,HOUSTON,TX,77098,P2024,,2023-09-28,150.00,,"earmarked through ActBlue-Sher, Jamie Blake",,C00640045,ELIZABETH PANNILL FLETCHER FOR CONGRESS,H8TX07140,FLETCHER,ELIZABETH,,,,H,TX,07,,,,,,,X,
SB23,C00139659,SB23.60408,,,CCM,ELIZABETH PANNILL FLETCHER FOR CONGRESS,,,,,,3262 WESTHEIMER RD,#636,HOUSTON,TX,77098,P2024,,2023-09-28,250.00,,"earmarked through ActBlue-Zisook , Amy",,C00640045,ELIZABETH PANNILL FLETCHER FOR CONGRESS,H8TX07140,FLETCHER,ELIZABETH,,,,H,TX,07,,,,,,,X,
SB23,C00139659,SB23.60242,,,CCM,ELIZABETH PANNILL FLETCHER FOR CONGRESS,,,,,,3262 WESTHEIMER RD,#636,HOUSTON,TX,77098,P2024,,2023-09-29,2500.00,,direct campaign contribution,,C00640045,ELIZABETH PANNILL FLETCHER FOR CONGRESS,H8TX07140,FLETCHER,ELIZABETH,,,,H,TX,07,,,,,,,,
SB23,C00139659,SB23.60405,,,CCM,ERIC SORENSEN FOR ILLINOIS,,,,,,PO BOX 1172,,MOLINE,IL,61265,P2024,,2023-09-28,250.00,,"earmarked through ActBlue-Zisook, Amy",,C00793935,ERIC SORENSEN FOR ILLINOIS,H2IL17147,SORENSEN,ERIC,,,,H,IL,17,,,,,,,X,
SB23,C00139659,SB23.60241,,,CCM,MIKIE SHERRILL FOR CONGRESS,,,,,,P.O. BOX 43032,,MONTCLAIR,NJ,07043,P2024,,2023-09-01,2500.00,,direct campaign contribution,,C00640003,MIKIE SHERRILL FOR CONGRESS,H8NJ11142,SHERRILL,REBECCA MICHELLE,,,,H,NJ,11,,,,,,,,
SB23,C00139659,SB23.60436,,,CCM,MIKIE SHERRILL FOR CONGRESS,,,,,,P.O. BOX 43032,,MONTCLAIR,NJ,07043,P2024,,2023-09-01,150.00,,"earmarked through ActBlue-Muhl, Tracy Katz",,C00640003,MIKIE SHERRILL FOR CONGRESS,H8NJ11142,SHERRILL,REBECCA MICHELLE,,,,H,NJ,11,,,,,,,X,
SB23,C00139659,SB23.60437,,,CCM,MIKIE SHERRILL FOR CONGRESS,,,,,,P.O. BOX 43032,,MONTCLAIR,NJ,07043,P2024,,2023-09-01,150.00,,"earmarked-Fisher, Linda",,C00640003,MIKIE SHERRILL FOR CONGRESS,H8NJ11142,SHERRILL,REBECCA MICHELLE,,,,H,NJ,11,,,,,,,X,
SB23,C00139659,SB23.60438,,,CCM,MIKIE SHERRILL FOR CONGRESS,,,,,,P.O. BOX 43032,,MONTCLAIR,NJ,07043,P2024,,2023-09-01,100.00,,"earmarked through ActBlue-Sher, Jamie",,C00640003,MIKIE SHERRILL FOR CONGRESS,H8NJ11142,SHERRILL,REBECCA MICHELLE,,,,H,NJ,11,,,,,,,X,
SB23,C00139659,SB23.60441,,,CCM,MIKIE SHERRILL FOR CONGRESS,,,,,,P.O. BOX 43032,,MONTCLAIR,NJ,07043,P2024,,2023-09-04,150.00,,"earmarked through ActBlue-Berk, Janna",,C00640003,MIKIE SHERRILL FOR CONGRESS,H8NJ11142,SHERRILL,REBECCA MICHELLE,,,,H,NJ,11,,,,,,,X,
