form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00489336,SB21B.I18915,,,ORG,THE TOWNSEND GROUP,,,,,,2308 MT VERNON AVE,,ALEXANDRIA,VA,22301,,,2024-10-17,4629.96,,FUNDRAISING CONSULTING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00489336,SB21B.I18923,,,ORG,TRUIST BANKCARD CENTER,,,,,,P.O. BOX 580364,,CHARLOTTE,NC,282580340,,,2024-10-22,2733.77,,CREDIT CARD PAYMENT,,,,,,,,,,,,,  ,,,,,,,SEE BELOW SUB VENDORS REACHING ITEMIZATION THRESHOLD
SB21B,C00489336,SB21B.I18926,SB21B.I18923,SB21B,ORG,AMAZON.COM,,,,,,410 TERRY AVENUE NORTH  ,,SEATTLE,WA,98109,,,2024-09-17,445.06,,EVENT SUPPLIES,,,,,,,,,,,,,  ,,,,,,X,
SB21B,C00489336,SB21B.I18925,SB21B.I18923,SB21B,ORG,COLLECTIVE CATERING,,,,,,1525 SANSOM ST 2ND FLOOR,,PHILADELPHIA,PA,19102,,,2024-09-11,937.65,,EVENT CATERING,,,,,,,,,,,,,  ,,,,,,X,
SB21B,C00489336,SB21B.I18928,SB21B.I18923,SB21B,ORG,COLLECTIVE CATERING,,,,,,1525 SANSOM ST 2ND FLOOR,,PHILADELPHIA,PA,19102,,,2024-09-23,937.65,,EVENT CATERING,,,,,,,,,,,,,  ,,,,,,X,
SB21B,C00489336,SB21B.I18927,SB21B.I18923,SB21B,ORG,SAFEWAY,,,,,,415 14TH STREET SE,,WASHINGTON,DC,02003,,,2024-09-18,118.81,,EVENT SUPPLIES,,,,,,,,,,,,,  ,,,,,,X,
SB21B,C00489336,SB21B.I18935,,,ORG,WELLS FARGO,,,,,,PO BOX 6995,,PORTLAND,OR,97228,,,2024-10-22,25.00,,BANK FEE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00489336,SB21B.I18936,,,ORG,WELLS FARGO,,,,,,PO BOX 6995,,PORTLAND,OR,97228,,,2024-10-28,25.00,,BANK FEE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00489336,SB21B.I18922,,,ORG,BSB SOLUTIONS,,,,,,3538 SOUTH WAKEFIELD STREET,,ARLINGTON,VA,22206,,,2024-10-30,250.00,,COMPLIANCE CONSULTING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00489336,SB21B.I18921,,,ORG,THE TOWNSEND GROUP,,,,,,2308 MT VERNON AVE,,ALEXANDRIA,VA,22301,,,2024-10-30,3000.00,,FUNDRAISING CONSULTING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00489336,SB21B.I18937,,,ORG,CMDI,,,,,,7704 LEESBURG PIKE,,FALLS CHURCH,VA,22043,,,2024-11-04,250.00,,SOFTWARE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00489336,SB21B.I18934,,,ORG,BSB SOLUTIONS,,,,,,3538 SOUTH WAKEFIELD STREET,,ARLINGTON,VA,22206,,,2024-11-15,250.00,,COMPLIANCE CONSULTING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00489336,SB21B.I18930,,,ORG,TRUIST BANKCARD CENTER,,,,,,P.O. BOX 580364,,CHARLOTTE,NC,282580340,,,2024-11-21,3507.95,,CREDIT CARD PAYMENT,,,,,,,,,,,,,  ,,,,,,,SEE BELOW SUB VENDORS REACHING ITEMIZATION THRESHOLD
SB21B,C00489336,SB21B.I18931,SB21B.I18930,SB21B,ORG,AMERICAN AIRLINES,,,,,,PO BOX 619612,,DALLAS,TX,75261,,,2024-09-27,732.95,,TRAVEL,,,,,,,,,,,,,  ,,,,,,X,
SB21B,C00489336,SB21B.I18932,SB21B.I18930,SB21B,ORG,CHARLIE PALMER STEAKHOUSE,,,,,,101 CONSTITUTION AVE NW,,WASHINGTON,DC,20001,,,2024-09-29,1350.00,,EVENT FOOD AND BEVERAGE,,,,,,,,,,,,,  ,,,,,,X,
SB21B,C00489336,SB21B.I18933,SB21B.I18930,SB21B,ORG,US SENATE GIFT SHOP,,,,,,DIRKSEN SENATE OFFICE BUILDING,,WASHINGTON,DC,20510,,,2024-10-22,1425.00,,CHRISTMAS ORNAMENTS,,,,,,,,,,,,,  ,,,,,,X,
