form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB29,C00796946,SB29.4509,,,COM,Angie Chen Button Campaign,,,,,,6914 Clear Springs Cir,,Garland,TX,75044,,,2024-11-07,10000.00,,Nonfederal Contribution Non-Contribution Account,,,,,,,,,,,,,,,,,,,,
SB29,C00796946,SB29.4511,,,COM,Denise Villalobos Campaign,,,,,,10330 Kingsbury Dr,,Corpus Christi,TX,78410,,,2024-11-01,5000.00,,Nonfederal Contribution Non-Contribution Account,,,,,,,,,,,,,,,,,,,,
SB29,C00796946,SB29.4492,,,COM,Janie Lopez for Texas House,,,,,,PO Box 2073,,San Benito,TX,78586,,,2024-10-01,15821.39,,Nonfederal Contribution Received Inkind Paid to KAP Print,,,,,,,,,,,,,,,,,,,X,
SB29,C00796946,SB29.4498,,,COM,Janie Lopez for Texas House,,,,,,PO Box 2073,,San Benito,TX,78586,,,2024-10-01,5805.72,,Nonfederal Contribution Received Inkind Paid to Leon Strategies,,,,,,,,,,,,,,,,,,,X,
SB29,C00796946,SB29.4504,,,COM,Janie Lopez for Texas House,,,,,,PO Box 2073,,San Benito,TX,78586,,,2024-10-31,5000.00,,Nonfederal Contribution Received Inkind Paid to Leon Strategies,,,,,,,,,,,,,,,,,,,X,
SB29,C00796946,SB29.4505,,,COM,Janie Lopez for Texas House,,,,,,PO Box 2073,,San Benito,TX,78586,,,2024-10-31,7500.00,,Nonfederal Contribution Received Inkind Paid to Leon Strategies,,,,,,,,,,,,,,,,,,,X,
SB29,C00796946,SB29.4508,,,COM,Janie Lopez for Texas House,,,,,,PO Box 2073,,San Benito,TX,78586,,,2024-10-31,18279.89,,Nonfederal Contribution Received Inkind Paid to KAP Print,,,,,,,,,,,,,,,,,,,X,
SB29,C00796946,SB29.4515,,,COM,John Lujan Campaign,,,,,,30003 FM 1937,,San Antonio,TX,78221,,,2024-10-30,25000.00,,Nonfederal Contribution Non-Contribution Account,,,,,,,,,,,,,,,,,,,,
SB29,C00796946,SB29.4493,,,ORG,KAP Print,,,,,,220 Quinn Drive,,Dripping Springs,TX,78620,,,2024-10-01,15821.39,,Nonfederal Inkind Contribution to J Lopez for TX,,,,,,,,,,,,,,,,,,,,
SB29,C00796946,SB29.4507,,,ORG,KAP Print,,,,,,220 Quinn Drive,,Dripping Springs,TX,78620,,,2024-10-31,18279.89,,Nonfederal Inkind Contribution to J Lopez for TX,,,,,,,,,,,,,,,,,,,,
SB29,C00796946,SB29.4516,,,COM,Lacey Hull Campaign,,,,,,PO Box 19231,,Houston,TX,77224,,,2024-10-30,10000.00,,Nonfederal Contribution Non-Contribution Account,,,,,,,,,,,,,,,,,,,,
SB29,C00796946,SB29.4499,,,ORG,Leon Strategies,,,,,,PO Box 311,,Lenader,TX,78646,,,2024-10-01,5805.72,,Nonfederal Inkind Contribution to J Lopez for TX,,,,,,,,,,,,,,,,,,,,
SB29,C00796946,SB29.4502,,,ORG,Leon Strategies,,,,,,PO Box 311,,Lenader,TX,78646,,,2024-10-31,5000.00,,Nonfederal Inkind Contribution to J Lopez for TX,,,,,,,,,,,,,,,,,,,,
SB29,C00796946,SB29.4503,,,ORG,Leon Strategies,,,,,,PO Box 311,,Lenader,TX,78646,,,2024-10-31,7500.00,,Nonfederal Inkind Contribution to J Lopez for TX,,,,,,,,,,,,,,,,,,,,
SB29,C00796946,SB29.4496,,,ORG,RightSide Compliance,,,,,,PO Box 341027,,Austin,TX,78734,,,2024-10-01,345.00,,Compliance Consulting Non-Contribution Account,,,,,,,,,,,,,,,,,,,,
SB29,C00796946,SB29.4522,,,ORG,RightSide Compliance,,,,,,PO Box 341027,,Austin,TX,78734,,,2024-10-01,1200.00,,Compliance Consulting Non-Contribution Account,,,,,,,,,,,,,,,,,,,,
