form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00854059,SB21B.4476,,,ORG,ActBlue Technical Services,,,,,,366 Summer Street,,Somerville,MA,02144,,,2024-10-13,434.50,,Service Fee,001,,,,,,,,,,,,,,,,,,,
SB21B,C00854059,SB21B.4443,,,ORG,Blue Bird Consulting LLC,,,,,,PO Box 2153,,Purcellville,VA,20134,,,2024-10-11,2000.00,,Accounting and Compliance Services,001,,,,,,,,,,,,,,,,,,,
SB21B,C00854059,SB21B.4444,,,ORG,Boysenberry Strategies LLC,,,,,,1804 Bay Street SE,,Washington,DC,20003,,,2024-10-11,7500.00,,Fundraising Consulting,003,,,,,,,,,,,,,,,,,,,
SB21B,C00854059,SB21B.4445,,,ORG,Boysenberry Strategies LLC,,,,,,1804 Bay Street SE,,Washington,DC,20003,,,2024-10-11,7500.00,,Fundraising Consulting,003,,,,,,,,,,,,,,,,,,,
SB21B,C00854059,SB21B.4446,,,ORG,Boysenberry Strategies LLC,,,,,,1804 Bay Street SE,,Washington,DC,20003,,,2024-10-11,7500.00,,Fundraising Consulting,003,,,,,,,,,,,,,,,,,,,
SB21B,C00854059,SB21B.4447,,,ORG,Boysenberry Strategies LLC,,,,,,1804 Bay Street SE,,Washington,DC,20003,,,2024-10-11,376.44,,Lodging,003,,,,,,,,,,,,,,,,,,,
SB21B,C00854059,SB21B.4448,,,ORG,Boysenberry Strategies LLC,,,,,,1804 Bay Street SE,,Washington,DC,20003,,,2024-10-11,195.14,,Lodging,003,,,,,,,,,,,,,,,,,,,
SB21B,C00854059,SB21B.4449,,,ORG,Boysenberry Strategies LLC,,,,,,1804 Bay Street SE,,Washington,DC,20003,,,2024-10-11,434.00,,Travel,003,,,,,,,,,,,,,,,,,,,
SB21B,C00854059,SB21B.4450,,,ORG,Boysenberry Strategies LLC,,,,,,1804 Bay Street SE,,Washington,DC,20003,,,2024-10-11,237.00,,Travel,003,,,,,,,,,,,,,,,,,,,
SB21B,C00854059,SB21B.4451,,,ORG,Boysenberry Strategies LLC,,,,,,1804 Bay Street SE,,Washington,DC,20003,,,2024-10-11,180.10,,Travel,003,,,,,,,,,,,,,,,,,,,
SB21B,C00854059,SB21B.4452,,,ORG,Boysenberry Strategies LLC,,,,,,1804 Bay Street SE,,Washington,DC,20003,,,2024-10-11,226.95,,Travel,003,,,,,,,,,,,,,,,,,,,
SB21B,C00854059,SB21B.4436,,,ORG,"My Warchest, Inc.",,,,,,4200 Wisconsin Ave NW,#106-206,Washington,DC,20016,,,2024-10-11,500.00,,Software,001,,,,,,,,,,,,,,,,,,,
SB21B,C00854059,SB21B.4437,,,ORG,Sena | Kozar Strategies,,,,,,3723 Jenifer St NW,,Washington,DC,20015,,,2024-10-11,7500.00,,Political Strategy Consulting,001,,,,,,,,,,,,,,,,,,,
SB21B,C00854059,SB21B.4438,,,ORG,Sena | Kozar Strategies,,,,,,3723 Jenifer St NW,,Washington,DC,20015,,,2024-10-11,7500.00,,Political Strategy Consulting,001,,,,,,,,,,,,,,,,,,,
