form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00589507,501067665,,,ORG,"Blue Wave Political Partners, LLC",,,,,,401 2Nd Ave S,Ste 303,Seattle,WA,981042862,,,2023-03-07,1250.00,0.00,Compliance Consulting,,,,,,,,,,,,,,,,,,,,
SB21B,C00589507,501067673,,,ORG,Business Wire,,,,,,101 California St,Fl 20,San Francisco,CA,941115852,,,2023-05-17,2465.00,0.00,Subscription,,,,,,,,,,,,,,,,,,,,
SB21B,C00589507,501067685,,,ORG,Guideline,,,,,,625 Avenue Of The Americas,,New York,NY,100112020,,,2023-01-05,73.00,0.00,Employee Benefits,,,,,,,,,,,,,,,,,,,,
SB21B,C00589507,501067689,,,ORG,Guideline,,,,,,625 Avenue Of The Americas,,New York,NY,100112020,,,2023-01-10,1175.00,0.00,Employee Benefits,,,,,,,,,,,,,,,,,,,,
SB21B,C00589507,501067690,,,ORG,Guideline,,,,,,625 Avenue Of The Americas,,New York,NY,100112020,,,2023-01-24,1175.00,0.00,Employee Benefits,,,,,,,,,,,,,,,,,,,,
SB21B,C00589507,501067686,,,ORG,Guideline,,,,,,625 Avenue Of The Americas,,New York,NY,100112020,,,2023-02-06,73.00,0.00,Employee Benefits,,,,,,,,,,,,,,,,,,,,
SB21B,C00589507,501067691,,,ORG,Guideline,,,,,,625 Avenue Of The Americas,,New York,NY,100112020,,,2023-02-07,1175.00,0.00,Employee Benefits,,,,,,,,,,,,,,,,,,,,
SB21B,C00589507,501067692,,,ORG,Guideline,,,,,,625 Avenue Of The Americas,,New York,NY,100112020,,,2023-02-22,1175.00,0.00,Employee Benefits,,,,,,,,,,,,,,,,,,,,
SB21B,C00589507,501067687,,,ORG,Guideline,,,,,,625 Avenue Of The Americas,,New York,NY,100112020,,,2023-03-06,73.00,0.00,Employee Benefits,,,,,,,,,,,,,,,,,,,,
SB21B,C00589507,501067693,,,ORG,Guideline,,,,,,625 Avenue Of The Americas,,New York,NY,100112020,,,2023-03-07,1295.00,0.00,Employee Benefits,,,,,,,,,,,,,,,,,,,,
SB21B,C00589507,501067694,,,ORG,Guideline,,,,,,625 Avenue Of The Americas,,New York,NY,100112020,,,2023-03-23,1295.00,0.00,Employee Benefits,,,,,,,,,,,,,,,,,,,,
